ds,y
2000-01-01,550000.0
2000-02-01,389333.3333333333
2000-04-01,600000.0
2000-05-01,496500.0
2000-06-01,558000.0
2000-08-01,541666.6666666666
2000-09-01,529000.0
2000-10-01,412000.0
2000-11-01,582500.0
2000-12-01,464300.0
2001-01-01,556500.0
2001-02-01,534200.0
2001-03-01,468000.0
2001-04-01,537500.0
2001-05-01,533000.0
2001-06-01,492000.0
2001-07-01,555000.0
2001-08-01,543000.0
2001-10-01,527000.0
2001-11-01,532250.0
2001-12-01,494600.0
2002-01-01,500000.0
2002-02-01,513000.0
2002-03-01,529750.0
2002-04-01,449500.0
2002-05-01,508000.0
2002-06-01,406500.0
2002-07-01,472037.6
2002-08-01,505000.0
2002-09-01,421000.0
2002-11-01,527500.0
2002-12-01,390000.0
2003-01-01,435000.0
2003-02-01,370000.0
2003-03-01,366000.0
2003-04-01,465166.6666666667
2003-05-01,520000.0
2003-06-01,369000.0
2003-08-01,475000.0
2003-09-01,500000.0
2003-10-01,454500.0
2003-11-01,390000.0
2004-01-01,459750.0
2004-03-01,489000.0
2004-06-01,487500.0
2004-07-01,281000.0
2004-08-01,425000.0
2004-09-01,465000.0
2004-12-01,396500.0
2005-01-01,488000.0
2005-02-01,440888.0
2005-03-01,465000.0
2005-04-01,381500.0
2005-06-01,439629.62666666665
2005-07-01,415000.0
2005-08-01,363281.48
2005-09-01,405000.0
2005-10-01,440000.0
2005-11-01,390000.0
2006-01-01,338000.0
2006-02-01,442500.0
2006-03-01,417333.3333333333
2006-05-01,419000.0
2006-06-01,465000.0
2006-07-01,390000.0
2006-09-01,413333.3333333333
2007-01-01,465333.3333333333
2007-02-01,457500.0
2007-05-01,458333.3333333333
2007-06-01,490800.0
2007-07-01,507000.0
2007-08-01,465100.0
2007-09-01,552750.0
2007-10-01,527200.0
2007-11-01,546699.3333333334
2007-12-01,525000.0
2008-01-01,497666.6666666667
2008-02-01,610000.0
2008-04-01,543100.0
2008-05-01,608000.0
2008-06-01,595500.0
2008-07-01,591944.0
2008-08-01,570000.0
2008-09-01,577000.0
2008-11-01,585000.0
2008-12-01,582500.0
2009-01-01,550000.0
2009-02-01,585000.0
2009-03-01,570250.0
2009-05-01,560000.0
2009-07-01,585000.0
2009-08-01,572500.0
2009-09-01,560000.0
2009-10-01,551000.0
2009-11-01,585000.0
2009-12-01,570000.0
2010-01-01,591000.0
2010-03-01,583333.3333333334
2010-05-01,621666.6666666666
2010-06-01,634800.0
2010-07-01,627000.0
2010-09-01,659000.0
2010-10-01,646000.0
2010-11-01,600000.0
2010-12-01,700000.0
2011-05-01,815000.0
2011-08-01,720000.0
2011-12-01,740000.0
2012-01-01,730000.0
2012-02-01,755000.0
2012-05-01,744000.0
2012-06-01,795000.0
2012-07-01,720000.0
2012-08-01,815000.0
2012-09-01,795000.0
2012-10-01,824000.0
2012-11-01,830000.0
2013-02-01,813000.0
2013-05-01,808000.0
2013-07-01,785000.0
2013-09-01,928000.0
2013-10-01,900000.0
2013-11-01,818000.0
2014-02-01,800000.0
2014-04-01,785000.0
2014-10-01,834000.0
2014-11-01,793888.0
2014-12-01,938000.0
2015-05-01,792500.0
2015-06-01,843000.0
2015-08-01,820000.0
2015-10-01,800000.0
2015-12-01,760000.0
2016-02-01,820000.0
2016-04-01,857944.0
2016-05-01,720000.0
2016-06-01,709000.0
2016-08-01,800000.0
2016-09-01,779000.0
2016-11-01,731962.6666666666
2016-12-01,771666.6666666666
2017-01-01,888000.0
2017-03-01,820000.0
2017-04-01,770000.0
2017-06-01,800000.0
2017-07-01,860000.0
2017-09-01,878000.0
2017-11-01,855000.0
2017-12-01,718000.0
2018-01-01,660000.0
2018-02-01,777000.0
2018-03-01,831000.0
2018-04-01,873000.0
2018-05-01,837500.0
2018-06-01,841600.0
2018-07-01,810000.0
2018-08-01,788000.0
2018-09-01,815000.0
2018-11-01,863000.0
2018-12-01,840000.0
2019-03-01,791444.0
2019-09-01,850888.0
2019-12-01,780333.3333333334
2020-01-01,696500.0
2020-02-01,700000.0
2020-05-01,1030000.0
2020-08-01,795000.0
2020-09-01,807200.0
2020-11-01,802000.0
2020-12-01,851250.0
2021-01-01,808333.3333333334
2021-02-01,850000.0
2021-04-01,860000.0
2021-05-01,920000.0
2021-06-01,812000.0
2021-07-01,925000.0
2021-08-01,828000.0
2021-09-01,876500.0
2021-10-01,937500.0
2021-11-01,975000.0
2021-12-01,962296.0
2022-01-01,896666.6666666666
2022-02-01,940000.0
2022-04-01,909000.0
2022-05-01,918000.0
2022-07-01,983250.0
2022-08-01,911666.6666666666
2022-09-01,930000.0
2022-10-01,1100000.0
2023-01-01,1138000.0
2023-03-01,895000.0
2023-03-31,948587.0625
2023-04-30,982877.4375
2023-05-31,934691.3125
2023-06-30,971807.125
2023-07-31,928685.125
2023-08-31,970199.25
2023-09-30,1011176.5625
2023-10-31,978004.8125
2023-11-30,952255.1875
2023-12-31,963265.8125
2024-01-31,935395.9375
2024-02-29,961035.5625
2024-03-31,980430.25
2024-04-30,1009348.875
2024-05-31,964665.9375
2024-06-30,998432.5625
2024-07-31,957532.3125
2024-08-31,998288.5
2024-09-30,1043970.5625
2024-10-31,1002844.6875
2024-11-30,982912.375
2024-12-31,987928.125
2025-01-31,964887.0625
2025-02-28,989429.5625
2025-03-31,1007583.0625
2025-04-30,1039925.0625
2025-05-31,991361.5625
2025-06-30,1028086.125
2025-07-31,983996.9375
2025-08-31,1027127.5
2025-09-30,1073463.5
2025-10-31,1032841.8125
2025-11-30,1009608.25
2025-12-31,1016938.875
2026-01-31,990789.375
2026-02-28,1017873.0625
2026-03-31,1034644.4375
2026-04-30,1070576.25
2026-05-31,1018002.5625
2026-06-30,1057791.5
2026-07-31,1010424.1875
2026-08-31,1055983.0
2026-09-30,1102885.0
2026-10-31,1062946.75
2026-11-30,1036230.4375
2026-12-31,1046034.1875
2027-01-31,1016625.6875
2027-02-28,1046364.6875
2027-03-31,1061616.0
2027-04-30,1101300.5
2027-05-31,1044590.6875
2027-06-30,1087547.0
2027-07-31,1036816.0
2027-08-31,1084854.5
2027-09-30,1132235.0
2027-10-31,1093159.0
2027-11-30,1062780.0
2027-12-31,1075212.5
2028-01-31,1042397.125
2028-02-29,1071869.625
