ds,y
2000-01-01,168674.3111111111
2000-02-01,168306.66666666666
2000-03-01,164891.48936170212
2000-04-01,163957.14285714287
2000-05-01,169560.17699115045
2000-06-01,164721.70542635658
2000-07-01,161639.8989090909
2000-08-01,164041.66666666666
2000-09-01,160024.5283018868
2000-10-01,155993.47826086957
2000-11-01,158573.4495412844
2000-12-01,158326.61386138614
2001-01-01,157044.5652173913
2001-02-01,155412.83516483515
2001-03-01,154448.31460674157
2001-04-01,153236.19047619047
2001-05-01,149935.8969072165
2001-06-01,147173.27659574468
2001-07-01,150475.9090909091
2001-08-01,147225.26315789475
2001-09-01,146572.87234042553
2001-10-01,146638.49122807017
2001-11-01,147284.37931034484
2001-12-01,144385.55844155845
2002-01-01,144707.0
2002-02-01,146231.30952380953
2002-03-01,147418.085106383
2002-04-01,143732.8125
2002-05-01,149377.42857142858
2002-06-01,144134.78260869565
2002-07-01,147063.94690265486
2002-08-01,151692.1
2002-09-01,155775.38461538462
2002-10-01,147142.85714285713
2002-11-01,153067.67676767678
2002-12-01,153570.83333333334
2003-01-01,149574.2857142857
2003-02-01,149414.0350877193
2003-03-01,154640.37837837837
2003-04-01,160903.94736842104
2003-05-01,158361.90476190476
2003-06-01,163970.13888888888
2003-07-01,167971.0843373494
2003-08-01,169022.3661971831
2003-09-01,167454.3896103896
2003-10-01,171247.8260869565
2003-11-01,172651.72413793104
2003-12-01,174059.81308411216
2004-01-01,174567.1923076923
2004-02-01,175321.18
2004-03-01,174547.50476190477
2004-04-01,181160.27397260274
2004-05-01,179188.925
2004-06-01,188053.17333333334
2004-07-01,182070.45454545456
2004-08-01,176123.07692307694
2004-09-01,179065.84905660377
2004-10-01,181010.20408163266
2004-11-01,180283.68539325843
2004-12-01,183754.44444444444
2005-01-01,179137.568627451
2005-02-01,181336.32432432432
2005-03-01,181726.73267326734
2005-04-01,182128.93023255814
2005-05-01,177483.2
2005-06-01,171091.9090909091
2005-07-01,163841.33333333334
2005-08-01,168668.53012048194
2005-09-01,162671.64179104476
2005-10-01,164339.94805194804
2005-11-01,165241.875
2005-12-01,163933.33333333334
2006-01-01,167986.29411764705
2006-02-01,166135.21126760563
2006-03-01,163223.68421052632
2006-04-01,165878.31666666668
