ds,y
2000-01-01,518083.3333333333
2000-02-01,534454.5454545454
2000-03-01,538875.0
2000-04-01,530136.3636363636
2000-05-01,521561.53846153844
2000-06-01,492974.0
2000-07-01,519028.5714285714
2000-08-01,527181.8181818182
2000-09-01,532777.7777777778
2000-10-01,486795.45454545453
2000-11-01,498341.6666666667
2000-12-01,516742.0
2001-01-01,499378.6666666667
2001-02-01,455666.6666666667
2001-03-01,479636.36363636365
2001-04-01,496093.75
2001-05-01,473615.3846153846
2001-06-01,474549.4
2001-07-01,485136.36363636365
2001-08-01,473275.0
2001-09-01,507571.4285714286
2001-10-01,442687.5
2001-11-01,451307.6923076923
2001-12-01,421000.0
2002-01-01,439250.0
2002-02-01,444984.0
2002-03-01,432500.0
2002-04-01,462500.0
2002-05-01,448618.0
2002-06-01,459250.0
2002-07-01,411111.1111111111
2002-08-01,428100.0
2002-09-01,448230.76923076925
2002-10-01,423100.0
2002-11-01,427236.0
2002-12-01,431111.1111111111
2003-01-01,425714.28571428574
2003-02-01,467285.71428571426
2003-03-01,415025.0
2003-04-01,440583.3333333333
2003-05-01,425944.0
2003-06-01,463333.3333333333
2003-07-01,466666.6666666667
2003-08-01,414333.3333333333
2003-09-01,418250.0
2003-10-01,450000.0
2003-11-01,463500.0
2003-12-01,413900.0
2004-01-01,372500.0
2004-02-01,430200.0
2004-03-01,393083.3333333333
2004-04-01,377177.6
2004-05-01,444500.0
2004-06-01,404625.0
2004-07-01,395000.0
2004-08-01,423950.0
2004-09-01,378475.0
2004-10-01,397166.6666666667
2004-11-01,373750.0
2004-12-01,369333.3333333333
2005-01-01,386250.0
2005-02-01,387500.0
2005-03-01,416733.2
2005-04-01,388000.0
2005-05-01,394222.22222222225
2005-06-01,361571.4285714286
2005-07-01,365250.0
2005-08-01,343160.0
2005-09-01,335875.0
2005-10-01,394250.0
2005-11-01,350648.0
2005-12-01,361600.0
2006-01-01,375200.0
2006-02-01,360875.0
2006-03-01,363833.3333333333
2006-04-01,361111.1111111111
2006-05-01,392000.0
2006-06-01,358800.0
2006-07-01,420600.0
2006-08-01,376791.6666666667
2006-09-01,337333.3333333333
2006-10-01,376250.25
2006-11-01,393928.5714285714
2006-12-01,369333.3333333333
2007-01-01,388166.6666666667
2007-02-01,393500.0
2007-03-01,381250.0
2007-04-01,384250.0
2007-05-01,428111.1111111111
2007-06-01,418888.8888888889
2007-07-01,407088.0
2007-08-01,406778.6666666667
2007-09-01,422433.3333333333
2007-10-01,436000.0
2007-11-01,508666.6666666667
2007-12-01,417296.0
2008-01-01,453285.71428571426
2008-02-01,421285.71428571426
2008-03-01,501000.0
2008-04-01,468222.22222222225
2008-05-01,493500.0
2008-06-01,489250.0
2008-07-01,457333.3333333333
2008-08-01,481125.0
2008-09-01,464432.0
2008-10-01,511400.0
2008-11-01,469666.6666666667
2008-12-01,500166.6666666667
2009-01-01,525100.0
2009-02-01,473285.71428571426
2009-03-01,479333.3333333333
2009-04-01,471320.0
2009-05-01,485500.0
2009-06-01,463750.0
2009-07-01,499760.0
2009-08-01,486625.0
2009-09-01,482428.5714285714
2009-10-01,478533.3333333333
2009-11-01,528500.0
2009-12-01,508250.0
2010-01-01,552986.0
2010-02-01,482800.0
2010-03-01,529488.8
2010-04-01,555363.6363636364
2010-05-01,566625.0
2010-06-01,561444.4444444445
2010-07-01,549181.8181818182
2010-08-01,603125.0
2010-09-01,561888.8888888889
2010-10-01,549555.5555555555
2010-11-01,575000.0
2010-12-01,549500.0
2011-01-01,624750.0
2011-02-01,581833.3333333334
2011-03-01,624000.0
2011-04-01,610000.0
2011-05-01,620500.0
2011-06-01,625400.0
2011-07-01,668900.0
2011-08-01,631000.0
2011-09-01,604300.0
2011-10-01,618000.0
2011-11-01,610000.0
2011-12-01,631000.0
2012-02-01,637166.6666666666
2012-03-01,661666.6666666666
2012-04-01,653000.0
2012-05-01,651269.7142857143
2012-06-01,696333.3333333334
2012-07-01,674000.0
2012-08-01,728750.0
2012-09-01,697142.8571428572
2012-10-01,762500.0
2012-11-01,769000.0
2012-12-01,652666.6666666666
2013-01-01,755000.0
2013-02-01,742600.0
2013-03-01,730625.0
2013-04-01,707009.0
2013-05-01,730950.0
2013-06-01,721000.0
2013-07-01,762250.0
2013-08-01,717500.0
2013-09-01,750000.0
2013-10-01,708333.3333333334
2013-11-01,652962.6666666666
2013-12-01,753166.6666666666
2014-01-01,710000.0
2014-02-01,650000.0
2014-03-01,667500.0
2014-04-01,643000.0
2014-05-01,677500.0
2014-06-01,719000.0
2014-07-01,636666.6666666666
2014-08-01,689444.0
2014-09-01,712400.0
2014-10-01,618333.3333333334
2014-11-01,666750.0
2014-12-01,726666.6666666666
2015-01-01,710750.0
2015-02-01,660000.0
2015-03-01,767500.0
2015-04-01,653333.3333333334
2015-05-01,775000.0
2015-06-01,711666.6666666666
2015-07-01,700750.0
2015-08-01,623472.0
2015-09-01,695000.0
2015-10-01,791250.0
2015-11-01,717877.6
2015-12-01,670000.0
2016-01-01,752500.0
2016-02-01,740636.3636363636
2016-03-01,667500.0
2016-04-01,683250.0
2016-05-01,690000.0
2016-06-01,669750.0
2016-07-01,695000.0
2016-08-01,700333.3333333334
2016-09-01,702428.5714285715
2016-11-01,691600.0
2016-12-01,703600.0
2017-01-01,698250.0
2017-02-01,800000.0
2017-03-01,697666.6666666666
2017-04-01,671097.0
2017-05-01,725250.0
2017-06-01,696722.0
2017-07-01,755750.0
2017-08-01,766148.0
2017-09-01,812500.0
2017-10-01,716565.3333333334
2017-11-01,727571.4285714285
2017-12-01,701154.2857142857
2018-01-01,670000.0
2018-02-01,722833.3333333334
2018-03-01,771666.6666666666
2018-04-01,695300.0
2018-05-01,693545.4545454546
2018-06-01,765000.0
2018-07-01,732666.6666666666
2018-08-01,692166.6666666666
2018-09-01,787500.0
2018-10-01,734000.0
2018-11-01,764981.3333333334
2018-12-01,679666.6666666666
2019-01-01,745125.0
2019-02-01,702755.2
2019-03-01,736000.0
2019-04-01,698750.0
2019-05-01,707000.0
2019-06-01,606666.6666666666
2019-07-01,733629.3333333334
2019-08-01,689500.0
2019-09-01,700800.0
2019-10-01,685700.0
2019-11-01,824500.0
2019-12-01,708666.6666666666
2020-01-01,697814.6666666666
2020-02-01,716000.0
2020-03-01,702499.8333333334
2020-04-01,780000.0
2020-05-01,670000.0
2020-06-01,709666.6666666666
2020-07-01,725126.8571428572
2020-08-01,709750.0
2020-09-01,705740.6666666666
2020-10-01,719481.3333333334
2020-11-01,673629.3333333334
2020-12-01,703987.5555555555
2021-01-01,762987.5555555555
2021-02-01,734333.3333333334
2021-03-01,772312.5
2021-04-01,779857.1428571428
2021-05-01,744750.0
2021-06-01,811828.5714285715
2021-07-01,778818.1818181818
2021-08-01,810000.0
2021-09-01,815500.0
2021-10-01,830222.0
2021-11-01,790000.0
2021-12-01,752777.6
2022-01-01,859431.3333333334
2022-02-01,740000.0
2022-03-01,826412.5714285715
2022-04-01,823900.0
2022-05-01,852200.0
2022-06-01,846347.0
2022-07-01,828625.0
2022-08-01,866977.6
2022-09-01,825438.8
2022-10-01,831694.0
2022-11-01,922320.8888888889
2022-12-01,863222.0
2023-01-01,865000.0
2023-02-01,889166.6666666666
2023-03-01,858750.0
2023-04-01,796268.75
2023-05-01,833400.75
2023-06-01,808575.0625
2023-07-01,846272.0
2023-08-01,816968.5
2023-09-01,859342.25
2023-10-01,819240.625
2023-11-01,864640.3125
2023-12-01,803056.25
2024-01-01,872104.875
2024-02-01,823271.625
2024-03-01,838770.375
2024-04-01,843532.0
2024-05-01,827278.875
2024-06-01,858252.125
2024-07-01,838868.75
2024-08-01,868732.375
2024-09-01,851557.25
2024-10-01,870299.0
2024-11-01,856955.6875
2024-12-01,852707.5
2025-01-01,865852.3125
2025-02-01,870825.25
2025-03-01,868949.0
2025-04-01,855482.6875
2025-05-01,857571.9375
2025-06-01,869973.9375
2025-07-01,870082.5625
2025-08-01,880085.25
2025-09-01,883400.25
2025-10-01,881787.0625
2025-11-01,888863.5
2025-12-01,863520.6875
2026-01-01,897535.5625
2026-02-01,883238.875
2026-03-01,899829.9375
2026-04-01,866677.5625
2026-05-01,888636.125
2026-06-01,880883.375
2026-07-01,902108.8125
2026-08-01,890584.5625
2026-09-01,916088.0
2026-10-01,892452.25
2026-11-01,921605.25
2026-12-01,873537.0
2027-01-01,930008.875
2027-02-01,894906.375
2027-03-01,931403.4375
2027-04-01,877123.625
2027-05-01,920463.0
2027-06-01,890986.9375
2027-07-01,934938.75
2027-08-01,900237.5625
2027-09-01,949614.0625
2027-10-01,902302.75
2027-11-01,955173.875
2027-12-01,882765.3125
2028-01-01,963264.9375
2028-02-01,905832.0625
2028-03-01,923670.625
