ds,y
2000-01-01,334016.12903225806
2000-02-01,308279.3103448276
2000-03-01,320875.056969697
2000-04-01,323424.24242424243
2000-05-01,315662.5
2000-06-01,323018.1818181818
2000-07-01,318222.93333333335
2000-08-01,308699.35135135136
2000-09-01,308323.6842105263
2000-10-01,322554.63157894736
2000-11-01,316042.85714285716
2000-12-01,308242.85714285716
2001-01-01,307783.87096774194
2001-02-01,297688.64864864864
2001-03-01,299953.9428571428
2001-04-01,302351.35135135136
2001-05-01,302609.67741935485
2001-06-01,293218.76923076925
2001-07-01,291135.29411764705
2001-08-01,303650.0
2001-09-01,293946.34146341466
2001-10-01,295464.70588235295
2001-11-01,288114.28571428574
2001-12-01,281943.58974358975
2002-01-01,270203.125
2002-02-01,289741.3793103448
2002-03-01,308283.0967741936
2002-04-01,315452.17391304346
2002-05-01,295805.53846153844
2002-06-01,302576.0
2002-07-01,298629.7297297297
2002-08-01,280503.3043478261
2002-09-01,308677.4193548387
2002-10-01,297486.0
2002-11-01,293161.29032258067
2002-12-01,296652.77777777775
2003-01-01,297477.2727272727
2003-02-01,296359.4
2003-03-01,311846.1538461539
2003-04-01,291404.63157894736
2003-05-01,280305.55555555556
2003-06-01,300993.3333333333
2003-07-01,275769.23076923075
2003-08-01,280196.25925925927
2003-09-01,279494.4
2003-10-01,283800.0
2003-11-01,294532.6060606061
2003-12-01,277141.7037037037
2004-01-01,285750.0
2004-02-01,289189.93548387097
2004-03-01,278477.4666666667
2004-04-01,295903.61904761905
2004-05-01,282083.3333333333
2004-06-01,276095.2380952381
2004-07-01,284333.8947368421
2004-08-01,279446.875
2004-09-01,280975.7931034483
2004-10-01,270307.52
2004-11-01,277181.8181818182
2004-12-01,289171.0857142857
2005-01-01,270119.04761904763
2005-02-01,291000.0
2005-03-01,293264.6153846154
2005-04-01,271676.7272727273
2005-05-01,279913.04347826086
2005-06-01,265909.9310344828
2005-07-01,280225.0
2005-08-01,282588.23529411765
2005-09-01,285865.71428571426
2005-10-01,268431.87096774194
2005-11-01,272295.0
2005-12-01,287916.6666666667
2006-01-01,281005.1111111111
2006-02-01,286392.0
2006-03-01,279861.1111111111
2006-04-01,284287.5294117647
2006-05-01,287550.0
2006-06-01,280548.14814814815
2006-07-01,275527.75
2006-08-01,290343.5
2006-09-01,273640.0
2006-10-01,291025.0
2006-11-01,287196.6666666667
2006-12-01,284857.14285714284
2007-01-01,293046.0
2007-02-01,297817.4347826087
2007-03-01,297892.85714285716
2007-04-01,293886.36363636365
2007-05-01,302175.52
2007-06-01,311300.0
2007-07-01,316138.8888888889
2007-08-01,328588.44444444444
2007-09-01,324281.2727272727
2007-10-01,343884.6153846154
2007-11-01,332380.0
2007-12-01,350361.1111111111
2008-01-01,354588.23529411765
2008-02-01,323360.0
2008-03-01,337777.73913043475
2008-04-01,374932.4324324324
2008-05-01,388979.1666666667
2008-06-01,377246.26086956525
2008-07-01,395785.86666666664
2008-08-01,375640.2
2008-09-01,388014.70588235295
2008-10-01,391203.7037037037
2008-11-01,409550.72
2008-12-01,416708.95238095237
2009-01-01,379992.5333333333
2009-02-01,395924.52173913043
2009-03-01,397049.5
2009-04-01,390042.28571428574
2009-05-01,395966.6666666667
2009-06-01,400299.47826086957
2009-07-01,382253.4285714286
2009-08-01,399562.5
2009-09-01,393194.4210526316
2009-10-01,384942.9459459459
2009-11-01,402453.23076923075
2009-12-01,414100.0
2010-01-01,418965.5172413793
2010-02-01,423666.6666666667
2010-03-01,421569.1111111111
2010-04-01,443567.4285714286
2010-05-01,433268.75
2010-06-01,452437.5172413793
2010-07-01,453551.28205128206
2010-08-01,449838.46153846156
2010-09-01,479451.22580645164
2010-10-01,478315.52
2010-11-01,465250.0
2010-12-01,451833.3333333333
2011-01-01,454325.86666666664
2011-02-01,452934.444
2011-03-01,456444.3888888889
2011-04-01,472812.52173913043
2011-05-01,494737.55555555556
2011-06-01,491600.0
2011-07-01,505969.5652173913
2011-08-01,515404.22222222225
2011-09-01,513535.2727272727
2011-10-01,511466.6666666667
2011-11-01,503847.61904761905
2011-12-01,521916.6666666667
2012-01-01,498837.53846153844
2012-02-01,499636.36363636365
2012-03-01,526375.52
2012-04-01,520937.5
2012-05-01,502705.8823529412
2012-06-01,499513.04347826086
2012-07-01,520187.5
2012-08-01,492166.6666666667
2012-09-01,556888.888
2012-10-01,541928.5714285715
2012-11-01,536933.3333333334
2012-12-01,523846.1538461539
2013-01-01,531222.1764705882
2013-02-01,538333.3333333334
2013-03-01,560492.0
2013-04-01,547000.0
2013-05-01,556214.2857142857
2013-06-01,581350.0
2013-07-01,552555.5555555555
2013-08-01,538740.6666666666
2013-09-01,540068.3076923077
2013-10-01,529083.3333333334
2013-11-01,547992.0
2013-12-01,556731.3333333334
2014-01-01,499750.0
2014-02-01,543230.7692307692
2014-03-01,508291.6666666667
2014-04-01,513583.3333333333
2014-05-01,504490.6666666667
2014-06-01,534376.0
2014-07-01,527333.3333333334
2014-08-01,536363.6363636364
2014-09-01,538930.5
2014-10-01,538333.3333333334
2014-11-01,516083.3333333333
2014-12-01,526900.0
2015-01-01,530266.6666666666
2015-02-01,528788.8
2015-03-01,531188.8
2015-04-01,538071.4285714285
2015-05-01,523233.3333333333
2015-06-01,539666.6666666666
2015-07-01,555618.0
2015-08-01,499153.8461538461
2015-09-01,554272.7272727273
2015-10-01,512772.7272727273
2015-11-01,565989.8181818182
2015-12-01,535110.1566666666
2016-01-01,564384.6153846154
2016-02-01,537714.2857142857
2016-03-01,525118.0
2016-04-01,573857.1428571428
2016-05-01,563941.1764705882
2016-06-01,548833.3333333334
2016-07-01,520500.0
2016-08-01,538228.7058823529
2016-09-01,577812.5
2016-10-01,615836.2105263158
2016-11-01,622774.8
2016-12-01,621716.0
2017-01-01,547700.0
2017-02-01,611718.4
2017-03-01,546882.6666666666
2017-04-01,575232.7619047619
2017-05-01,578076.9230769231
2017-06-01,571732.7619047619
2017-07-01,584642.8571428572
2017-08-01,565856.0
2017-09-01,587833.3333333334
2017-10-01,575783.3
2017-11-01,570391.304347826
2017-12-01,578876.0
2018-01-01,538166.6666666666
2018-02-01,567866.6666666666
2018-03-01,553081.7894736842
2018-04-01,607529.8461538461
2018-05-01,621125.0
2018-06-01,555708.3333333334
2018-07-01,544041.6666666666
2018-08-01,533548.5
2018-09-01,596362.5263157894
2018-10-01,564243.0
2018-11-01,563111.1111111111
2018-12-01,524126.85714285716
2019-01-01,575649.5384615385
2019-02-01,520706.28571428574
2019-03-01,531568.1818181818
2019-04-01,572416.6666666666
2019-05-01,539000.0
2019-06-01,509277.71428571426
2019-07-01,577376.0
2019-08-01,561451.7333333333
2019-09-01,586400.0
2019-10-01,525271.04
2019-11-01,546777.7777777778
2019-12-01,562818.1818181818
2020-01-01,529464.0
2020-02-01,556071.4285714285
2020-03-01,540555.4782608695
2020-04-01,641000.0
2020-05-01,490000.0
2020-06-01,567641.1666666666
2020-07-01,537000.0
2020-08-01,519407.6923076923
2020-09-01,526347.8260869565
2020-10-01,582400.0
2020-11-01,521142.0
2020-12-01,529620.6206896552
2021-01-01,567896.551724138
2021-02-01,545576.9230769231
2021-03-01,556513.1428571428
2021-04-01,582041.1612903225
2021-05-01,572459.2
2021-06-01,561653.6666666666
2021-07-01,582620.695652174
2021-08-01,566871.04
2021-09-01,607888.8275862068
2021-10-01,615827.1111111111
2021-11-01,604991.3846153846
2021-12-01,594884.4
2022-01-01,619948.2
2022-02-01,636750.0
2022-03-01,605531.7142857143
2022-04-01,624615.3846153846
2022-05-01,666171.6363636364
2022-06-01,628666.6666666666
2022-07-01,626619.7894736842
2022-08-01,666769.2307692308
2022-09-01,633257.2631578947
2022-10-01,712491.1428571428
2022-11-01,701400.0
2022-12-01,659375.0
2023-01-01,680563.4285714285
2023-02-01,684914.4615384615
2023-03-01,737694.0
2023-04-01,628448.25
2023-05-01,630963.0
2023-06-01,606809.75
2023-07-01,632041.5
2023-08-01,600034.75
2023-09-01,649577.125
2023-10-01,633214.3125
2023-11-01,647309.4375
2023-12-01,619531.75
2024-01-01,636938.5
2024-02-01,623464.5
2024-03-01,619930.375
2024-04-01,661129.6875
2024-05-01,621646.3125
2024-06-01,639979.875
2024-07-01,622107.875
2024-08-01,633874.4375
2024-09-01,640943.875
2024-10-01,666946.6875
2024-11-01,638142.5
2024-12-01,652423.5625
2025-01-01,627868.5
2025-02-01,654862.5
2025-03-01,637982.3125
2025-04-01,666953.625
2025-05-01,640624.875
2025-06-01,644606.6875
2025-07-01,641243.0
2025-08-01,637904.125
2025-09-01,660336.0
2025-10-01,672368.4375
2025-11-01,657511.0
