ds,y
2000-01-01,537500.0
2000-02-01,560833.3333333334
2000-03-01,561750.0
2000-04-01,563200.0
2000-05-01,540600.0
2000-06-01,574600.0
2000-07-01,582800.0
2000-08-01,572333.3333333334
2000-09-01,636000.0
2000-10-01,547250.0
2000-11-01,547666.6666666666
2000-12-01,570000.0
2001-01-01,546000.0
2001-02-01,561333.3333333334
2001-03-01,594250.0
2001-04-01,540400.0
2001-05-01,547000.0
2001-06-01,513666.6666666667
2001-07-01,531900.0
2001-08-01,510000.0
2001-09-01,526257.1428571428
2001-10-01,531376.4444444445
2001-11-01,526000.0
2001-12-01,536500.0
2002-01-01,510750.0
2002-02-01,497500.0
2002-03-01,534000.0
2002-04-01,535500.0
2002-05-01,526350.0
2002-06-01,516142.85714285716
2002-07-01,516400.0
2002-08-01,515000.0
2002-09-01,571666.6666666666
2002-10-01,550000.0
2002-11-01,505666.6666666667
2003-01-01,494000.0
2003-03-01,471500.0
2003-04-01,499250.0
2003-05-01,506857.14285714284
2003-06-01,535000.0
2003-07-01,497777.6
2003-08-01,509375.0
2003-09-01,498333.3333333333
2003-10-01,505400.0
2003-11-01,481666.6666666667
2003-12-01,460000.0
2004-01-01,454525.0
2004-02-01,517500.0
2004-03-01,520000.0
2004-04-01,459166.6666666667
2004-05-01,458438.6
2004-06-01,460000.0
2004-07-01,482428.5714285714
2004-08-01,465360.0
2004-09-01,464750.0
2004-10-01,428333.3333333333
2004-11-01,471800.0
2004-12-01,468714.28571428574
2005-01-01,421500.0
2005-02-01,504000.0
2005-03-01,460200.0
2005-04-01,454666.6666666667
2005-05-01,431000.0
2005-06-01,438833.3333333333
2005-07-01,421500.0
2005-08-01,428598.6666666667
2005-10-01,404214.28571428574
2005-11-01,422000.0
2005-12-01,429285.71428571426
2006-01-01,438500.0
2006-02-01,424500.0
2006-03-01,420666.6666666667
2006-04-01,401000.0
2006-05-01,403083.3333333333
2006-06-01,403285.71428571426
2006-07-01,423800.0
2006-08-01,440000.0
2006-09-01,456333.3333333333
2006-10-01,446750.0
2006-11-01,435125.0
2006-12-01,454333.3333333333
2007-01-01,437833.3333333333
2007-03-01,446400.0
2007-04-01,471000.0
2007-05-01,467760.0
2007-06-01,489600.0
2007-07-01,463857.14285714284
2007-08-01,511250.0
2007-09-01,487333.3333333333
2007-10-01,545000.0
2007-11-01,561428.5714285715
2007-12-01,543875.0
2008-01-01,602177.6
2008-02-01,591800.0
2008-03-01,583000.0
2008-04-01,568500.0
2008-05-01,602375.0
2008-06-01,616500.0
2008-07-01,571975.0
2008-08-01,593571.4285714285
2008-09-01,565000.0
2008-10-01,645000.0
2008-11-01,616600.0
2008-12-01,620000.0
2009-01-01,578666.6666666666
2009-02-01,604500.0
2009-03-01,608000.0
2009-04-01,600412.5714285715
2009-06-01,599598.6666666666
2009-07-01,585400.0
2009-08-01,613811.1111111111
2009-09-01,577571.4285714285
2009-10-01,603285.7142857143
