ds,y
2000-01-01,480000.0
2000-02-01,530000.0
2000-04-01,450000.0
2000-05-01,635000.0
2000-11-01,559000.0
2001-03-01,490000.0
2002-12-01,530000.0
2003-05-01,527000.0
2003-06-01,540000.0
2004-03-01,475000.0
2004-12-01,540000.0
2005-08-01,488000.0
2006-02-01,490000.0
2006-07-01,495000.0
2007-02-01,440000.0
2007-04-01,380000.0
2008-03-01,660000.0
2009-08-01,620000.0
2010-01-01,698000.0
2010-02-01,675000.0
2010-04-01,698000.0
2011-03-01,780000.0
2012-03-01,900000.0
2012-05-01,790000.0
2012-09-01,942500.0
2012-12-01,810000.0
2015-06-01,805000.0
2017-11-01,910000.0
2019-06-01,840000.0
2019-07-01,930000.0
2019-10-01,905000.0
2019-11-01,988888.0
2020-10-01,940000.0
2021-05-01,820000.0
2021-06-01,921000.0
2021-09-01,955000.0
2021-10-01,890000.0
2021-10-31,1009592.4375
2021-11-30,849329.125
2021-12-31,800812.25
2022-01-31,765141.125
2022-02-28,905787.0625
2022-03-31,739469.125
2022-04-30,838620.0
2022-05-31,903786.375
2022-06-30,987633.0
2022-07-31,740390.625
2022-08-31,973423.875
2022-09-30,942871.8125
2022-10-31,1029519.8125
2022-11-30,864352.875
2022-12-31,814754.75
2023-01-31,775227.5
2023-02-28,922314.9375
2023-03-31,750454.5
2023-04-30,852061.875
2023-05-31,917799.0625
2023-06-30,1007788.9375
2023-07-31,750701.4375
2023-08-31,990318.1875
2023-09-30,959224.125
2023-10-31,1049450.5
2023-11-30,879442.5
2023-12-31,828750.25
2024-01-31,785248.5
2024-02-29,936313.3125
2024-03-31,761086.8125
2024-04-30,867031.25
2024-05-31,938949.6875
2024-06-30,1020001.5625
2024-07-31,763138.25
2024-08-31,1010424.375
2024-09-30,977341.375
2024-10-31,1066699.5
2024-11-30,891626.8125
2024-12-31,838066.9375
2025-01-31,801989.1875
2025-02-28,952932.0
2025-03-31,771994.0
2025-04-30,880511.375
2025-05-31,952926.125
2025-06-30,1040254.875
2025-07-31,773324.4375
2025-08-31,1027405.875
2025-09-30,993634.875
2025-10-31,1086703.25
2025-11-30,906667.1875
2025-12-31,852090.125
2026-01-31,811951.1875
2026-02-28,969542.6875
2026-03-31,782945.625
2026-04-30,893951.0
2026-05-31,966818.1875
2026-06-30,1060574.625
2026-07-31,783542.8125
2026-08-31,1044298.6875
2026-09-30,1009933.25
