ds,y
2000-01-01,238968.2641509434
2000-02-01,249376.4705882353
2000-03-01,240385.7142857143
2000-04-01,242547.0588235294
2000-05-01,243655.31914893616
2000-06-01,241835.0588235294
2000-07-01,222450.74509803922
2000-08-01,238221.31147540984
2000-09-01,228465.5172413793
2000-10-01,221796.875
2000-11-01,232516.68181818182
2000-12-01,225567.16417910447
2001-01-01,224721.42857142858
2001-02-01,223391.80327868852
2001-03-01,218752.5641025641
2001-04-01,227359.97101449277
2001-05-01,217392.75362318842
2001-06-01,221312.12121212122
2001-07-01,223459.61538461538
2001-08-01,224103.80105263158
2001-09-01,230714.11864406778
2001-10-01,236156.94949494948
2001-11-01,228723.56818181818
2001-12-01,229948.48484848486
2002-01-01,222086.95652173914
2002-02-01,219292.07692307694
2002-03-01,224210.7142857143
2002-04-01,227009.80392156861
2002-05-01,224950.70422535212
2002-06-01,210904.10204081633
2002-07-01,215269.46031746033
2002-08-01,212079.41176470587
2002-09-01,228055.97916666666
2002-10-01,222569.6923076923
2002-11-01,218859.25925925927
2002-12-01,215058.16326530612
2003-01-01,231895.83333333334
2003-02-01,227109.76
2003-03-01,234484.61538461538
2003-04-01,219482.05128205128
2003-05-01,227744.44444444444
2003-06-01,223203.67346938775
2003-07-01,234876.19047619047
2003-08-01,222307.6923076923
2003-09-01,234026.92307692306
2003-10-01,234926.92307692306
2003-11-01,233600.13559322033
2003-12-01,218006.57142857142
2004-01-01,224220.83333333334
2004-02-01,226846.9387755102
2004-03-01,237123.12
2004-04-01,224733.33333333334
2004-05-01,221716.66666666666
2004-06-01,234310.60869565216
2004-07-01,234225.0
2004-08-01,231955.22222222222
2004-09-01,228713.15789473685
2004-10-01,214128.94736842104
2004-11-01,237031.54545454544
2004-12-01,225817.5
2005-01-01,229520.0
2005-02-01,231055.2888888889
2005-03-01,237133.89830508476
2005-04-01,225291.66666666666
2005-05-01,233137.2
2005-06-01,226592.22222222222
2005-07-01,222285.16666666666
2005-08-01,222332.25806451612
2005-09-01,229931.41463414635
2005-10-01,219621.62162162163
2005-11-01,231283.33333333334
2005-12-01,224089.4054054054
2006-01-01,228603.7037037037
2006-02-01,224200.0
2006-03-01,223508.82352941178
2006-04-01,227029.64705882352
2006-05-01,237325.8260869565
2006-06-01,231400.0
2006-07-01,224275.8620689655
2006-08-01,230059.52380952382
2006-09-01,229822.5806451613
2006-10-01,246476.46153846153
2006-11-01,230040.02475
2006-12-01,220066.66666666666
2007-01-01,248061.7142857143
2007-02-01,228250.0
2007-03-01,236174.39024390245
2007-04-01,243118.18181818182
2007-05-01,227446.42857142858
2007-06-01,243891.08571428573
2007-07-01,258661.07692307694
2007-08-01,245351.35135135136
2007-09-01,264160.9032258064
2007-10-01,277234.11363636365
2007-11-01,256454.2857142857
2007-12-01,287617.75
2008-01-01,307835.62264150946
2008-02-01,296010.6382978723
2008-03-01,311351.06382978725
2008-04-01,309958.4038461539
2008-05-01,310451.2195121951
2008-06-01,310829.26829268294
2008-07-01,315136.48979591834
2008-08-01,343312.5128205128
2008-09-01,319957.4680851064
2008-10-01,339155.9298245614
2008-11-01,330395.8125
2008-12-01,329597.0588235294
2009-01-01,333847.22222222225
2009-02-01,318544.77419354836
2009-03-01,314089.0833333333
2009-04-01,328544.1176470588
2009-05-01,336471.8431372549
2009-06-01,322719.2363636364
2009-07-01,340240.7272727273
2009-08-01,340792.4528301887
2009-09-01,330703.1746031746
2009-10-01,349457.14285714284
2009-11-01,344625.52
2009-12-01,360427.0833333333
2010-01-01,349165.1923076923
2010-02-01,347909.0714285714
2010-03-01,366359.48387096776
2010-04-01,352284.90566037735
