ds,y
2000-01-01,416000.0
2000-02-01,457666.6666666667
2000-03-01,452625.0
2000-04-01,452500.0
2000-05-01,447833.3333333333
2000-06-01,450740.0
2000-07-01,422757.14285714284
2000-08-01,422486.0
2000-09-01,451285.71428571426
2000-10-01,429250.0
2000-11-01,431200.0
2000-12-01,423437.5
2001-01-01,440111.0
2001-02-01,420914.46153846156
2001-03-01,422354.54545454547
2001-04-01,403325.86666666664
2001-05-01,393833.3333333333
2001-06-01,390923.07692307694
2001-07-01,392789.4736842105
2001-08-01,398590.9090909091
2001-09-01,419384.6153846154
2001-10-01,416404.7619047619
2001-11-01,441552.63157894736
2001-12-01,426457.2631578947
2002-01-01,434805.2631578947
2002-02-01,418750.0
2002-03-01,419285.71428571426
2002-04-01,417072.467368421
2002-05-01,415100.0
2002-06-01,437750.0
2002-07-01,392506.6666666667
2002-08-01,403950.0
2002-09-01,424278.0
2002-10-01,438571.4285714286
2002-11-01,417350.0
2002-12-01,409950.0
2003-01-01,383045.45454545453
2003-02-01,437750.0
2003-03-01,390357.14285714284
2003-04-01,424187.5
2003-05-01,391333.3333333333
2003-06-01,408750.0
2003-07-01,422571.4285714286
2003-08-01,424800.0
2003-09-01,411225.0
2003-10-01,396700.0
2003-11-01,407583.3333333333
2003-12-01,362666.6666666667
2004-01-01,380000.0
2004-02-01,386441.6666666667
2004-03-01,408833.3333333333
2004-04-01,353750.0
2004-05-01,393800.0
2004-06-01,390400.0
2004-07-01,359800.0
2004-08-01,365750.0
2004-09-01,387632.0
2004-10-01,415333.3333333333
2004-11-01,373777.77777777775
2004-12-01,373125.0
2005-01-01,394625.0
2005-02-01,342500.0
2005-03-01,372125.0
2005-04-01,372533.3333333333
2005-05-01,379083.3333333333
2005-06-01,373571.4285714286
2005-07-01,356000.0
2005-08-01,328750.0
2005-09-01,342333.3333333333
2005-10-01,368666.6666666667
2005-11-01,355111.1111111111
2005-12-01,357535.2727272727
2006-01-01,333357.14285714284
2006-02-01,370714.28571428574
2006-03-01,345240.0
2006-04-01,361375.0
2006-05-01,364333.25
2006-06-01,365622.22222222225
2006-07-01,403542.85714285716
2006-08-01,343846.1538461539
2006-09-01,379543.1111111111
2006-10-01,356214.28571428574
2006-11-01,379700.0
2006-12-01,391845.45454545453
2007-01-01,370400.0
2007-02-01,372564.6666666667
2007-03-01,359711.1111111111
2007-04-01,392250.0
2007-05-01,360000.0
2007-06-01,380545.45454545453
2007-07-01,383480.0
2007-08-01,364000.0
2007-09-01,391857.14285714284
2007-10-01,414244.36363636365
2007-11-01,403866.6666666667
2007-12-01,396403.75
2008-01-01,415038.46153846156
2008-02-01,516285.71428571426
2008-03-01,466833.3333333333
2008-04-01,413800.0
2008-05-01,476200.0
2008-06-01,467857.14285714284
2008-07-01,471500.0
2008-08-01,464857.14285714284
2008-09-01,452888.8888888889
2008-10-01,504750.0
2008-11-01,492500.0
2008-12-01,445625.0
2009-01-01,522500.0
2009-02-01,424000.0
2009-03-01,486666.6666666667
2009-04-01,465600.0
2009-05-01,496416.6666666667
2009-06-01,475428.5714285714
2009-07-01,485833.3333333333
2009-08-01,503285.71428571426
2009-09-01,468153.8461538461
2009-10-01,493833.3333333333
2009-11-01,494489.4736842105
2009-12-01,463100.0
2010-01-01,497312.5
2010-02-01,504555.55555555556
2010-03-01,499080.7272727273
2010-04-01,531230.7692307692
2010-05-01,497462.5
2010-06-01,508072.7272727273
2010-07-01,535000.0
2010-08-01,588153.8461538461
2010-09-01,567233.3333333334
2010-10-01,567000.0
2010-11-01,551555.7777777778
2010-12-01,571500.0
2011-01-01,559800.0
2011-02-01,576100.0
2011-03-01,586750.0
2011-04-01,584200.0
2011-05-01,612750.0
2011-06-01,586907.3333333334
2011-07-01,576800.0
2011-08-01,594000.0
2011-09-01,640000.0
2011-10-01,603875.0
2011-11-01,620750.0
2011-12-01,646700.0
2012-01-01,621916.6666666666
2012-02-01,655250.0
2012-03-01,669857.1428571428
2012-04-01,623909.0909090909
2012-05-01,641545.4545454546
2012-06-01,628100.0
2012-07-01,662125.0
2012-08-01,641142.8571428572
2012-09-01,684750.0
2012-10-01,670363.6363636364
2012-11-01,681597.6
2012-12-01,677000.0
2013-01-01,732200.0
2013-02-01,713500.0
2013-03-01,732800.0
2013-04-01,656000.0
2013-05-01,700361.0
2013-06-01,765000.0
2013-07-01,716000.0
2013-08-01,634000.0
2013-09-01,668000.0
2013-10-01,709560.0
2013-11-01,675800.0
2013-12-01,685000.0
2014-01-01,714333.3333333334
2014-02-01,620000.0
2014-03-01,663125.0
2014-04-01,668600.0
2014-05-01,657000.0
2014-06-01,614666.6666666666
2014-07-01,651300.0
2014-08-01,840000.0
2014-09-01,682500.0
2014-10-01,594000.0
2014-11-01,653500.0
2014-12-01,643500.0
2015-01-01,535000.0
2015-02-01,623250.0
2015-03-01,622500.0
2015-04-01,586500.0
2015-05-01,643314.6666666666
2015-06-01,665333.3333333334
2015-07-01,620222.0
2015-08-01,601833.3333333334
2015-09-01,620600.0
2015-10-01,655000.0
2015-11-01,644000.0
2015-12-01,622600.0
2016-01-01,667166.6666666666
2016-02-01,621142.8571428572
2016-03-01,637000.0
2016-04-01,625000.0
2016-05-01,592500.0
2016-06-01,585750.0
2016-07-01,657750.0
2016-08-01,666000.0
2016-09-01,714000.0
2016-10-01,625500.0
2016-11-01,608200.0
2016-12-01,685000.0
2017-01-01,714666.6666666666
2017-02-01,648000.0
2017-03-01,632666.6666666666
2017-04-01,614722.0
2017-05-01,696500.0
2017-06-01,656000.0
2017-07-01,634833.3333333334
2017-08-01,678750.0
2017-09-01,653333.3333333334
2017-10-01,636142.8571428572
2017-11-01,664000.0
2017-12-01,697000.0
2018-01-01,674571.4285714285
2018-02-01,630200.0
2018-03-01,595555.5555555555
2018-04-01,585125.0
2018-05-01,596166.6666666666
2018-06-01,628179.2
2018-07-01,584812.5
2018-08-01,624777.7777777778
2018-09-01,607629.9583333334
2018-10-01,576666.6666666666
2018-11-01,595400.0
2018-12-01,591888.0
2019-01-01,655252.3636363636
2019-02-01,649966.6666666666
2019-03-01,595222.2222222222
2019-04-01,601272.7272727273
2019-05-01,587288.8
2019-06-01,601250.0
2019-07-01,575666.6666666666
2019-08-01,577200.0
2019-09-01,627428.5714285715
2019-10-01,614347.0
2019-11-01,638750.0
2019-12-01,636500.0
2020-01-01,640428.5714285715
2020-02-01,597447.0
2020-03-01,600334.5
2020-04-01,575000.0
2020-05-01,570000.0
2020-06-01,640088.8888888889
2020-07-01,577333.3333333334
2020-08-01,573600.0
2020-09-01,594800.0
2020-10-01,638642.8571428572
2020-11-01,660500.0
2020-12-01,636088.6666666666
2021-01-01,663400.0
2021-02-01,675182.3333333334
2021-03-01,715641.7777777778
