ds,y
2000-01-01,69000.0
2000-03-01,82500.0
2000-04-01,89000.0
2000-05-01,77500.0
2000-06-01,89625.0
2000-07-01,76500.0
2000-08-01,77350.0
2000-09-01,83700.0
2000-10-01,76000.0
2000-11-01,86000.0
2000-12-01,78250.0
2001-01-01,69666.66666666667
2001-02-01,83166.66666666667
2001-03-01,75000.0
2001-04-01,79500.0
2001-05-01,75550.0
2001-06-01,71380.0
2001-07-01,80000.0
2001-08-01,72900.0
2001-09-01,72000.0
2001-10-01,71500.0
2001-11-01,67875.0
2001-12-01,66500.0
2002-01-01,64150.0
2002-02-01,67500.0
2002-03-01,79666.66666666667
2002-04-01,75625.0
2002-05-01,70500.0
2002-07-01,83750.0
2002-08-01,80833.33333333333
2002-09-01,75666.66666666667
2002-10-01,81500.0
2002-11-01,89000.0
2002-12-01,76500.0
2003-01-01,77100.0
2003-02-01,83750.0
2003-03-01,100000.0
2003-04-01,100000.0
2003-05-01,81875.0
2003-06-01,88000.0
2003-07-01,126000.0
2003-09-01,99500.0
2003-10-01,93000.0
2003-11-01,101000.0
2003-12-01,104500.0
2004-01-01,111333.33333333333
2004-02-01,98500.0
2004-03-01,117250.0
2004-04-01,107666.66666666667
2004-05-01,106150.0
2004-06-01,103500.0
2004-08-01,114000.0
2004-09-01,113000.0
2004-10-01,101500.0
2004-11-01,96500.0
2004-12-01,99600.0
2005-01-01,99083.33333333333
2005-02-01,115666.66666666667
2005-03-01,124000.0
2005-04-01,117666.66666666667
2005-05-01,113500.0
2005-06-01,99050.0
2005-07-01,106666.66666666667
2005-08-01,124666.66666666667
2005-09-01,109500.0
2005-10-01,94000.0
2005-11-01,117200.0
2005-12-01,119666.66666666667
2006-01-01,105800.0
2006-02-01,103875.0
2006-03-01,113050.0
2006-04-01,100000.0
2006-06-01,119857.14285714286
2006-07-01,95000.0
2006-08-01,126600.0
2006-09-01,115000.0
2006-10-01,115400.0
2006-11-01,124416.66666666667
2006-12-01,125666.66666666667
2007-01-01,119500.0
2007-02-01,124375.0
2007-03-01,123333.33333333333
2007-04-01,102000.0
2007-05-01,119500.0
2007-06-01,128400.0
2007-07-01,131266.66666666666
2007-08-01,135250.0
2007-09-01,138000.0
2007-10-01,144400.0
2007-11-01,146500.0
2007-12-01,137250.0
2008-01-01,164333.33333333334
2008-02-01,179250.0
2008-03-01,160888.0
2008-04-01,167000.0
2008-05-01,161600.0
2008-06-01,176000.0
2008-08-01,168333.33333333334
2008-09-01,195000.0
2008-10-01,185000.0
2008-12-01,190000.0
2009-01-01,195000.0
2009-02-01,200000.0
2009-03-01,190750.0
2009-04-01,186166.66666666666
2009-05-01,202333.33333333334
2009-06-01,187000.0
2009-07-01,190500.0
2009-08-01,200000.0
2009-09-01,203000.0
2009-10-01,227250.0
2009-11-01,207357.0
2009-12-01,201600.0
2010-01-01,206333.33333333334
2010-02-01,217333.33333333334
2010-03-01,205500.0
2010-04-01,225714.2857142857
2010-05-01,275000.0
2010-06-01,213833.33333333334
2010-07-01,237500.0
2010-08-01,260000.0
2010-09-01,258000.0
2010-10-01,251666.66666666666
2010-11-01,251000.0
2010-12-01,266000.0
2011-01-01,260600.0
2011-02-01,245166.66666666666
2011-03-01,315000.0
2011-04-01,264000.0
2011-05-01,251648.0
2011-06-01,308000.0
2011-07-01,265000.0
2011-08-01,305857.14285714284
2011-09-01,278666.6666666667
2011-10-01,281383.3333333333
2011-11-01,260500.0
2011-12-01,270600.0
2012-01-01,358000.0
2012-02-01,278400.0
2012-03-01,284629.3333333333
2012-04-01,279142.85714285716
2012-05-01,293296.0
2012-06-01,298000.0
2012-07-01,301666.6666666667
2012-08-01,282750.0
2012-09-01,295750.0
2012-10-01,316000.0
2012-11-01,300833.3333333333
2012-12-01,291000.0
2013-01-01,282857.14285714284
2013-03-01,310000.0
2013-04-01,300500.0
2013-05-01,284600.0
