ds,y
2000-07-01,180000.0
2001-05-01,465000.0
2002-05-01,398000.0
2002-12-01,352000.0
2010-09-01,620000.0
2021-04-01,720000.0
2021-06-01,750000.0
2021-12-01,887000.0
2021-12-31,1351573.25
2022-01-31,1773933.5
2022-02-28,402520.875
2022-03-31,674019.0
2022-04-30,1224765.375
2022-05-31,783609.0
2022-06-30,191957.1875
2022-07-31,1138385.875
2022-08-31,1029782.5625
2022-09-30,2335260.25
2022-10-31,2211696.0
2022-11-30,907223.5625
2022-12-31,1392167.25
2023-01-31,1837620.375
2023-02-28,425268.5
2023-03-31,678734.0625
2023-04-30,1269432.125
2023-05-31,808541.9375
2023-06-30,195267.125
2023-07-31,1163713.25
2023-08-31,1065237.0
2023-09-30,2396861.5
2023-10-31,2305829.25
2023-11-30,933087.375
2023-12-31,1432473.0
2024-01-31,1901297.125
2024-02-29,390398.09375
2024-03-31,740470.8125
2024-04-30,1292770.875
2024-05-31,824376.5625
2024-06-30,187480.15625
2024-07-31,1231480.0
2024-08-31,1086049.0
2024-09-30,2533627.75
2024-10-31,2323196.25
2024-11-30,963594.0625
2024-12-31,1490629.875
2025-01-31,1952966.75
2025-02-28,412770.0
2025-03-31,745219.0625
2025-04-30,1337570.0
2025-05-31,849411.0
2025-06-30,190426.109375
2025-07-31,1257143.5
2025-08-31,1121101.5
2025-09-30,2595535.25
2025-10-31,2417492.25
2025-11-30,989142.625
2025-12-31,1530890.125
2026-01-31,2017105.625
2026-02-28,436369.9375
2026-03-31,748925.5625
2026-04-30,1382688.25
2026-05-31,874556.625
2026-06-30,193753.25
2026-07-31,1281886.125
2026-08-31,1156618.5
2026-09-30,2655964.75
2026-10-31,2513062.75
2026-11-30,1014766.9375
