ds,y
2018-05-01,200000.0
2018-06-01,250000.0
2018-09-01,230000.0
2018-10-01,223000.0
2018-11-01,228000.0
2018-12-01,219333.33333333334
2019-02-01,229296.0
2019-03-01,242000.0
2019-04-01,255000.0
2019-06-01,226500.0
2019-07-01,242000.0
2019-08-01,239000.0
2019-09-01,221500.0
2019-10-01,235000.0
2019-12-01,222044.0
2020-01-01,232900.0
2020-02-01,224500.0
2020-03-01,241250.0
2020-06-01,227500.0
2020-07-01,236666.66666666666
2020-08-01,227500.0
2020-09-01,244500.0
2020-12-01,255000.0
2021-01-01,265000.0
2021-02-01,274000.0
2021-03-01,261666.66666666666
2021-04-01,290000.0
2021-05-01,276944.0
2021-06-01,272500.0
2021-07-01,263972.0
2021-08-01,275000.0
2021-09-01,270000.0
2021-10-01,290000.0
2021-11-01,287000.0
2021-12-01,287666.6666666667
2022-01-01,310000.0
2022-02-01,262500.0
2022-04-01,308666.6666666667
2022-05-01,332000.0
2022-06-01,287600.0
2022-07-01,280000.0
2022-09-01,294333.3333333333
2022-11-01,316000.0
2022-12-01,290000.0
2023-01-01,319000.0
2023-02-01,293500.0
2023-03-01,309525.03125
2023-04-01,329404.5
2023-05-01,347766.53125
2023-06-01,302115.5625
2023-07-01,303977.875
2023-08-01,301696.21875
2023-09-01,313399.34375
2023-10-01,319236.71875
2023-11-01,335093.59375
2023-12-01,304072.0625
2024-01-01,346779.0
2024-02-01,299145.25
2024-03-01,316839.375
2024-04-01,361745.3125
2024-05-01,357790.0625
2024-06-01,329122.5
2024-07-01,306876.4375
2024-08-01,330194.875
2024-09-01,316676.75
2024-10-01,350517.125
2024-11-01,340061.8125
2024-12-01,332632.65625
2025-01-01,353636.25
2025-02-01,324515.0625
2025-03-01,336451.0625
2025-04-01,378806.625
2025-05-01,383497.5625
2025-06-01,341700.6875
2025-07-01,325510.09375
2025-08-01,341833.875
2025-09-01,336463.5625
2025-10-01,364137.375
2025-11-01,362819.28125
2025-12-01,343734.71875
2026-01-01,377422.4375
2026-02-01,335141.5625
2026-03-01,356953.5625
2026-04-01,394770.9375
2026-05-01,410315.25
2026-06-01,353269.78125
2026-07-01,345236.5625
2026-08-01,352317.25
2026-09-01,357379.96875
2026-10-01,376577.125
2026-11-01,386761.0
2026-12-01,353703.46875
2027-01-01,402304.5625
2027-02-01,344820.34375
2027-03-01,378340.625
2027-04-01,409640.90625
2027-05-01,438236.3125
2027-06-01,363833.8125
2027-07-01,366051.34375
2027-08-01,361648.1875
2027-09-01,379424.625
2027-10-01,387840.59375
2027-11-01,411883.375
2027-12-01,362546.0625
2028-01-01,428276.75
2028-02-01,353553.8125
