ds,y
2000-01-01,445000.0
2000-02-01,424800.0
2000-03-01,423883.3333333333
2000-04-01,425750.0
2000-05-01,428000.0
2000-06-01,449000.0
2000-07-01,413666.6666666667
2000-08-01,406333.3333333333
2000-09-01,410000.0
2000-10-01,425000.0
2000-11-01,410500.0
2000-12-01,382550.0
2001-01-01,414400.0
2001-02-01,391166.6666666667
2001-03-01,398142.85714285716
2001-04-01,385000.0
2001-05-01,389192.3076923077
2001-06-01,382500.0
2001-07-01,389000.0
2001-08-01,381142.85714285716
2001-09-01,381100.0
2001-10-01,364333.3333333333
2001-11-01,372200.0
2001-12-01,365000.0
2002-01-01,357942.85714285716
2002-02-01,371500.0
2002-03-01,363785.71428571426
2002-04-01,388000.0
2002-05-01,361738.8
2002-06-01,378444.44444444444
2002-07-01,384333.3333333333
2002-08-01,364300.0
2002-09-01,379800.0
2002-10-01,386142.85714285716
2002-11-01,380577.6
2002-12-01,342275.0
2003-01-01,363571.4285714286
2003-02-01,375543.1111111111
2003-03-01,383333.3333333333
2003-04-01,381166.6666666667
2003-05-01,375722.22222222225
2003-06-01,382486.0
2003-07-01,379454.54545454547
2003-08-01,378333.3333333333
2003-09-01,363250.0
2003-10-01,370375.0
2003-11-01,387857.14285714284
2003-12-01,365500.0
2004-01-01,345125.0
2004-02-01,390750.0
2004-03-01,346857.14285714284
2004-04-01,376700.0
2004-05-01,358666.6666666667
2004-06-01,359500.0
2004-07-01,346000.0
2004-08-01,357166.6666666667
2004-09-01,352833.3333333333
2004-10-01,363333.3333333333
2004-11-01,356666.6666666667
2004-12-01,342500.0
2005-01-01,351760.0
2005-02-01,353125.0
2005-03-01,361333.3333333333
2005-04-01,341363.63636363635
2005-05-01,363000.0
2005-06-01,370000.0
2005-07-01,329571.4285714286
2005-08-01,339999.71428571426
2005-09-01,320666.6666666667
2005-10-01,348083.3333333333
2005-11-01,343988.8
2005-12-01,326888.8888888889
2006-01-01,321000.0
2006-02-01,333840.0
2006-03-01,329125.0
2006-04-01,337500.0
2006-05-01,348511.8
2006-06-01,327666.6666666667
2006-07-01,327833.3333333333
2006-08-01,316136.36363636365
2006-09-01,311250.0
2006-10-01,327660.0
2006-11-01,330500.0
2006-12-01,341034.3333333333
2007-01-01,332500.0
2007-02-01,312888.8888888889
2007-03-01,351107.14285714284
2007-04-01,336000.0
2007-05-01,335652.92307692306
2007-06-01,336833.3333333333
2007-07-01,352888.8888888889
2007-08-01,347000.0
2007-09-01,363986.0
2007-10-01,401166.6666666667
2007-11-01,387700.0
2007-12-01,388166.6666666667
2008-01-01,400000.0
2008-02-01,432800.0
2008-03-01,384000.0
2008-04-01,372500.0
2008-05-01,398500.0
2008-06-01,409560.8888888889
2008-07-01,449458.3333333333
