ds,y
2000-01-01,186000.0
2000-02-01,183000.0
2000-03-01,175000.0
2000-04-01,155000.0
2000-05-01,175000.0
2000-06-01,185000.0
2000-07-01,177000.0
2000-08-01,173933.33333333334
2000-09-01,170000.0
2000-10-01,179344.0
2000-12-01,175000.0
2001-01-01,194000.0
2001-02-01,168000.0
2001-03-01,166500.0
2001-04-01,174000.0
2001-05-01,150000.0
2001-06-01,172750.0
2001-07-01,158500.0
2001-08-01,165000.0
2001-10-01,185000.0
2001-11-01,219000.0
2001-12-01,195000.0
2002-01-01,180000.0
2002-02-01,184000.0
2002-04-01,187200.0
2002-05-01,173000.0
2002-06-01,183833.33333333334
2002-07-01,215000.0
2002-08-01,188000.0
2002-09-01,188000.0
2002-10-01,163000.0
2002-11-01,195000.0
2002-12-01,202000.0
2003-01-01,143000.0
2003-02-01,188000.0
2003-04-01,195500.0
2003-06-01,172750.0
2003-08-01,194000.0
2003-09-01,178250.0
2003-10-01,186333.33333333334
2003-11-01,207000.0
2003-12-01,184166.66666666666
2004-01-01,217666.66666666666
2004-02-01,208666.66666666666
2004-04-01,198000.0
2004-05-01,210000.0
2004-07-01,210000.0
2004-08-01,205500.0
2004-09-01,183500.0
2004-10-01,185000.0
2004-11-01,179000.0
2004-12-01,180000.0
2005-02-01,188500.0
2005-03-01,194500.0
2005-04-01,210000.0
2005-05-01,195900.0
2005-06-01,200500.0
2005-07-01,183800.0
2005-08-01,178000.0
2005-09-01,208000.0
2005-10-01,188000.0
2005-11-01,221888.0
2006-01-01,189333.33333333334
2006-02-01,216000.0
2006-03-01,182000.0
2006-04-01,185000.0
2006-06-01,185800.0
2006-07-01,181500.0
2006-08-01,186500.0
2006-09-01,188000.0
2006-11-01,215888.0
2006-12-01,219500.0
2007-03-01,228000.0
2007-04-01,207666.66666666666
2007-07-01,250000.0
2007-10-01,300000.0
2007-11-01,231000.0
2007-12-01,230000.0
2008-01-01,245000.0
2008-02-01,265000.0
2008-03-01,295000.0
2008-05-01,265000.0
2008-06-01,294000.0
2008-07-01,313500.0
