ds,y
2000-01-01,564000.0
2000-02-01,520000.0
2000-04-01,565000.0
2000-05-01,519000.0
2000-06-01,590000.0
2000-08-01,550000.0
2000-09-01,582500.0
2000-10-01,515000.0
2000-11-01,532500.0
2000-12-01,516500.0
2001-01-01,544200.0
2001-02-01,490000.0
2001-03-01,515000.0
2001-04-01,547000.0
2001-05-01,515000.0
2001-07-01,528000.0
2001-09-01,520000.0
2001-11-01,496000.0
2001-12-01,511000.0
2002-01-01,470000.0
2002-02-01,524000.0
2002-04-01,491250.0
2002-05-01,510000.0
2002-06-01,523000.0
2002-07-01,530000.0
2002-12-01,515000.0
2003-03-01,484000.0
2003-05-01,493000.0
2003-07-01,466000.0
2003-09-01,482000.0
2003-11-01,480000.0
2004-02-01,467000.0
2004-03-01,464000.0
2004-05-01,392000.0
2004-06-01,487000.0
2004-08-01,488000.0
2004-10-01,503600.0
2005-01-01,370000.0
2005-04-01,452000.0
2005-06-01,438000.0
2005-07-01,468000.0
2005-08-01,417500.0
2005-09-01,377000.0
2005-10-01,422500.0
2005-11-01,442500.0
2005-12-01,423000.0
2006-01-01,395000.0
2006-02-01,439500.0
2006-03-01,450000.0
2006-05-01,426000.0
2006-06-01,480000.0
2006-07-01,385000.0
2006-08-01,440500.0
2006-09-01,455000.0
2006-11-01,448000.0
2007-01-01,395000.0
2007-02-01,448000.0
2007-03-01,448000.0
2007-06-01,500000.0
2007-07-01,473000.0
2007-08-01,638000.0
2007-09-01,634000.0
2007-10-01,635000.0
2007-12-01,643333.3333333334
2008-01-01,490000.0
2008-03-01,668500.0
2008-04-01,655000.0
2008-05-01,706500.0
2008-06-01,650000.0
2008-07-01,630000.0
2008-08-01,644333.3333333334
2008-10-01,683500.0
2008-11-01,654000.0
2009-01-01,665000.0
2009-07-01,620000.0
2009-08-01,615750.0
2009-09-01,646944.0
2009-10-01,647200.0
2009-11-01,661500.0
2009-12-01,630000.0
2010-01-01,670000.0
2010-02-01,676933.3333333334
2010-03-01,651666.6666666666
2010-04-01,674000.0
2010-06-01,608000.0
2010-07-01,686500.0
2010-09-01,705000.0
2010-10-01,670000.0
2010-12-01,730000.0
2011-01-01,738000.0
2011-04-01,710000.0
2011-05-01,749000.0
