ds,y
2000-03-01,89500.0
2000-05-01,95000.0
2000-06-01,92000.0
2000-07-01,93666.66666666667
2000-08-01,79000.0
2000-10-01,96500.0
2000-12-01,99500.0
2001-03-01,102666.66666666667
2001-05-01,105333.33333333333
2001-06-01,91300.0
2001-07-01,96000.0
2001-08-01,92666.66666666667
2001-09-01,92500.0
2001-10-01,92000.0
2001-11-01,96360.0
2001-12-01,99000.0
2002-03-01,110000.0
2002-04-01,112500.0
2002-05-01,110000.0
2002-07-01,95400.0
2002-08-01,118000.0
2002-09-01,126500.0
2002-10-01,101500.0
2002-12-01,109000.0
2003-03-01,113000.0
2003-04-01,110000.0
2003-06-01,120000.0
2003-07-01,124500.0
2003-08-01,105000.0
2003-10-01,116000.0
2004-01-01,95000.0
2004-03-01,129400.0
2004-05-01,145000.0
2004-06-01,115000.0
2004-07-01,126000.0
2004-09-01,124000.0
2004-10-01,125250.0
2004-11-01,120000.0
2005-01-01,125000.0
2005-02-01,123888.0
2005-03-01,123450.0
2005-04-01,120500.0
2005-05-01,127000.0
2005-06-01,119000.0
2005-07-01,126500.0
2005-08-01,121500.0
2005-09-01,130000.0
2005-11-01,127500.0
2006-01-01,126500.0
2006-02-01,120000.0
2006-04-01,162000.0
2006-05-01,125000.0
2006-06-01,123000.0
2006-07-01,133000.0
2006-09-01,129000.0
2006-11-01,136000.0
2007-01-01,120000.0
2007-02-01,158000.0
2007-03-01,134000.0
2007-05-01,139500.0
2007-10-01,146000.0
2007-11-01,167500.0
2007-12-01,198000.0
2008-01-01,148000.0
2008-02-01,190000.0
2008-03-01,189500.0
2008-04-01,178000.0
2008-05-01,147000.0
2008-06-01,200000.0
2008-08-01,192000.0
2008-10-01,193800.0
2008-11-01,212500.0
2009-03-01,195000.0
2009-07-01,190000.0
2009-08-01,208000.0
2009-09-01,207594.0
2009-10-01,195000.0
2010-01-01,245000.0
2010-02-01,208000.0
2010-04-01,243166.66666666666
2010-05-01,238000.0
2010-06-01,226000.0
2010-07-01,245750.0
2010-09-01,248000.0
2010-10-01,247000.0
2011-02-01,295000.0
2011-05-01,347000.0
2011-07-01,260500.0
2011-08-01,279000.0
2011-09-01,256000.0
2012-01-01,278000.0
2012-04-01,288944.0
2012-06-01,277000.0
2012-07-01,266000.0
2012-08-01,290000.0
2012-10-01,348000.0
2012-12-01,274000.0
2013-01-01,300000.0
2013-05-01,282000.0
2013-07-01,288296.6666666667
2013-08-01,312000.0
2013-09-01,319333.3333333333
2013-10-01,295333.3333333333
2013-11-01,292000.0
2013-12-01,286000.0
2014-01-01,310000.0
2014-04-01,287000.0
2014-05-01,269333.3333333333
2014-06-01,285000.0
2014-07-01,290000.0
2014-09-01,275000.0
2014-10-01,260000.0
2014-11-01,284000.0
2014-12-01,292000.0
2015-03-01,291000.0
2015-06-01,300000.0
2015-10-01,263000.0
2016-03-01,270000.0
2016-06-01,270000.0
2016-10-01,255000.0
2016-12-01,260000.0
2017-01-01,250000.0
2017-03-01,240000.0
2017-07-01,245000.0
2017-08-01,295000.0
2017-11-01,240000.0
2018-01-01,250000.0
2018-06-01,318000.0
2018-07-01,268000.0
2018-08-01,210000.0
2018-09-01,220000.0
2019-02-01,230000.0
2019-03-01,230000.0
2019-04-01,215000.0
2019-06-01,240000.0
2019-08-01,250000.0
2019-09-01,230000.0
2020-02-01,208000.0
2020-03-01,236000.0
2020-06-01,200000.0
2020-08-01,208000.0
2020-09-01,205000.0
2020-10-01,309000.0
2020-12-01,238000.0
2021-01-01,255000.0
2021-03-01,308000.0
2021-04-01,238000.0
2021-05-01,267000.0
2021-07-01,272000.0
2021-09-01,318000.0
2021-12-01,258000.0
2022-02-01,281334.0
2022-04-01,330000.0
2022-06-01,308000.0
2022-08-01,347500.0
2022-09-01,309500.0
2022-11-01,317500.0
2022-12-01,309000.0
2023-01-01,370800.0
2023-02-01,300000.0
2023-02-28,309746.8125
2023-03-31,292002.09375
2023-04-30,310074.125
2023-05-31,301876.125
2023-06-30,307216.8125
2023-07-31,302523.53125
2023-08-31,303705.71875
2023-09-30,311184.75
2023-10-31,326345.9375
2023-11-30,295416.3125
2023-12-31,335552.5625
2024-01-31,293186.0625
2024-02-29,319396.40625
2024-03-31,306454.9375
2024-04-30,319320.71875
2024-05-31,317004.0625
2024-06-30,315665.125
2024-07-31,318085.84375
2024-08-31,311460.0
2024-09-30,327992.9375
2024-10-31,334397.875
2024-11-30,310981.1875
2024-12-31,344714.5
2025-01-31,307378.71875
2025-02-28,332605.1875
2025-03-31,316905.75
2025-04-30,332526.375
2025-05-31,327804.03125
2025-06-30,328772.1875
2025-07-31,328665.25
2025-08-31,324395.03125
2025-09-30,338648.75
2025-10-31,348643.875
2025-11-30,320808.5625
2025-12-31,359105.375
2026-01-31,317346.65625
2026-02-28,345898.78125
2026-03-31,327258.375
2026-04-30,345830.65625
2026-05-31,338494.625
2026-06-30,341997.375
2026-07-31,339118.5
2026-08-31,337464.53125
2026-09-30,349151.5
2026-10-31,363042.6875
2026-11-30,330502.28125
2026-12-31,373618.21875
2027-01-31,327216.71875
2027-02-28,359275.03125
2027-03-31,337514.25
2027-04-30,359232.09375
2027-05-31,349077.03125
2027-06-30,355339.46875
2027-07-31,349446.625
2027-08-31,350667.78125
2027-09-30,359502.53125
2027-10-31,377592.46875
2027-11-30,340064.71875
2027-12-31,388250.75
2028-01-31,336990.84375
