ds,y
2015-11-01,246000.0
2016-02-01,245000.0
2016-03-01,245000.0
2016-05-01,250000.0
2016-06-01,243900.0
2016-07-01,247000.0
2017-08-01,245000.0
2017-11-01,250000.0
2018-02-01,218500.0
2018-06-01,230000.0
2018-08-01,235000.0
2018-12-01,222000.0
2019-01-01,237000.0
2019-03-01,225000.0
2019-04-01,240000.0
2019-05-01,230000.0
2019-07-01,225000.0
2019-08-01,238000.0
2019-11-01,226000.0
2020-01-01,215666.66666666666
2020-03-01,218266.66666666666
2020-07-01,219333.33333333334
2020-08-01,230000.0
2020-09-01,225500.0
2020-10-01,236000.0
2020-12-01,275000.0
2021-01-01,230000.0
2021-02-01,240000.0
2021-03-01,253000.0
2021-04-01,250000.0
2021-05-01,262500.0
2021-06-01,268000.0
2021-08-01,280000.0
2021-10-01,280000.0
2021-11-01,272000.0
2021-12-01,294000.0
2022-01-01,268000.0
2022-02-01,275000.0
2022-03-01,237500.0
2022-06-01,297500.0
2022-07-01,300000.0
2022-08-01,288333.3333333333
2022-12-01,305000.0
2023-01-01,307500.0
2023-02-01,283000.0
2023-02-28,285760.0
2023-03-31,260022.421875
2023-04-30,336033.40625
2023-05-31,290260.6875
2023-06-30,348821.6875
2023-07-31,290362.3125
2023-08-31,317508.3125
2023-09-30,292956.53125
2023-10-31,351105.5
2023-11-30,309198.4375
2023-12-31,351358.9375
2024-01-31,271949.75
2024-02-29,286559.46875
2024-03-31,290339.875
2024-04-30,346915.3125
2024-05-31,327663.25
2024-06-30,360210.25
2024-07-31,327627.3125
2024-08-31,319552.0
2024-09-30,331902.4375
2024-10-31,359152.4375
2024-11-30,350835.75
2024-12-31,357244.28125
2025-01-31,303178.9375
2025-02-28,307751.6875
2025-03-31,297474.8125
2025-04-30,379996.25
2025-05-31,341429.34375
2025-06-30,395490.375
2025-07-31,340548.09375
2025-08-31,346880.25
2025-09-30,344315.75
2025-10-31,393118.0
2025-11-30,366058.875
2025-12-31,390572.5625
2026-01-31,310442.4375
2026-02-28,331222.875
2026-03-31,302065.46875
2026-04-30,415470.1875
2026-05-31,352694.875
2026-06-30,433258.09375
2026-07-31,350980.84375
2026-08-31,376771.53125
2026-09-30,354108.53125
2026-10-31,429620.9375
2026-11-30,378759.75
2026-12-31,426497.3125
2027-01-31,315470.03125
2027-02-28,356955.1875
2027-03-31,304124.9375
2027-04-30,453318.375
2027-05-31,361472.5625
2027-06-30,473495.4375
2027-07-31,358937.84375
2027-08-31,409219.1875
2027-09-30,361294.25
2027-10-31,468651.8125
2027-11-30,388952.625
2027-12-31,465006.9375
2028-01-31,318266.125
