ds,y
2000-01-01,484620.61904761905
2000-02-01,492042.28571428574
2000-03-01,474478.26086956525
2000-04-01,479941.17647058825
2000-05-01,485250.0
2000-06-01,468882.35294117645
2000-07-01,490138.8888888889
2000-08-01,485000.0
2000-09-01,465750.0
2000-10-01,457862.5
2000-11-01,462666.6666666667
2000-12-01,459607.14285714284
2001-01-01,458375.0
2001-02-01,461142.85714285716
2001-03-01,437312.5
2001-04-01,436211.75
2001-05-01,437952.38095238095
2001-06-01,422733.3333333333
2001-07-01,432619.04761904763
2001-08-01,432785.71428571426
2001-09-01,438400.0
2001-10-01,421525.48148148146
2001-11-01,437380.95238095237
2001-12-01,404029.4117647059
2002-01-01,423337.037037037
2002-02-01,413080.0
2002-03-01,416565.2173913043
2002-04-01,414088.44444444444
2002-05-01,405400.0
2002-06-01,424408.3333333333
2002-07-01,415421.05263157893
2002-08-01,404787.0588235294
2002-09-01,407708.6956521739
2002-10-01,389820.0
2002-11-01,407650.0
2002-12-01,403428.5714285714
2003-01-01,389785.71428571426
2003-02-01,382857.14285714284
2003-03-01,375666.6666666667
2003-04-01,395500.0
2003-05-01,400416.6666666667
2003-06-01,390750.0
2003-07-01,403800.0
2003-08-01,380125.0
2003-09-01,376000.0
2003-10-01,405944.44444444444
2003-11-01,382250.0
2003-12-01,371785.71428571426
2004-01-01,369250.0
2004-02-01,373500.0
2004-03-01,365666.6666666667
2004-04-01,360782.3333333333
2004-05-01,381401.6
2004-06-01,343300.0
2004-07-01,387350.0
2004-08-01,347428.5714285714
2004-09-01,381583.3333333333
2004-10-01,342142.85714285716
2004-11-01,400833.3333333333
2004-12-01,354100.0
2005-01-01,352250.0
2005-02-01,357362.5
2005-03-01,358080.0
2005-04-01,338437.5
2005-05-01,332900.0
2005-06-01,350244.4
2005-07-01,356857.14285714284
2005-08-01,346333.3333333333
2005-09-01,335785.71428571426
2005-10-01,330029.4117647059
2005-11-01,330953.3333333333
2005-12-01,332266.6666666667
2006-01-01,340750.0
2006-02-01,340628.5714285714
2006-03-01,333227.2727272727
2006-04-01,325846.1538461539
2006-05-01,328786.6666666667
2006-06-01,318933.3333333333
2006-07-01,378946.1538461539
2006-08-01,320928.5714285714
2006-09-01,344236.36363636365
2006-10-01,334230.76923076925
2006-11-01,351500.0
2006-12-01,360111.1111111111
2007-01-01,330291.6666666667
2007-02-01,333142.85714285716
2007-03-01,338240.0
2007-04-01,326830.76923076925
2007-05-01,337222.22222222225
2007-06-01,342579.2
2007-07-01,351836.36363636365
2007-08-01,349208.3333333333
2007-09-01,366866.6666666667
2007-10-01,373726.3157894737
2007-11-01,367187.5
2007-12-01,396083.3333333333
2008-01-01,375933.3333333333
2008-02-01,461755.55555555556
2008-03-01,418066.6666666667
2008-04-01,408742.0
2008-05-01,410375.0
2008-06-01,427100.0
2008-07-01,411130.4347826087
2008-08-01,425750.0
2008-09-01,431800.0
2008-10-01,431714.28571428574
2008-11-01,422666.6666666667
2008-12-01,431250.0
2009-01-01,426081.3333333333
2009-02-01,410375.0
2009-03-01,413875.0
2009-04-01,435125.0
2009-05-01,410000.0
2009-06-01,436591.3846153846
2009-07-01,432454.54545454547
2009-08-01,424204.63157894736
2009-09-01,432973.2
2009-10-01,451642.85714285716
2009-11-01,441394.4
2009-12-01,456600.0
2010-01-01,463020.4210526316
2010-02-01,476282.3333333333
2010-03-01,478500.0
2010-04-01,450733.3333333333
2010-05-01,471532.3333333333
2010-06-01,478581.64705882355
2010-07-01,499250.0
2010-08-01,503222.22222222225
2010-09-01,505882.35294117645
2010-10-01,550235.2941176471
2010-11-01,518875.0
2010-12-01,511426.1818181818
2011-01-01,506675.07692307694
2011-02-01,532818.1818181818
2011-03-01,520400.0
2011-04-01,531944.4444444445
2011-05-01,535988.8
2011-06-01,525250.0
2011-07-01,554700.0
2011-08-01,556830.7692307692
2011-09-01,560555.4285714285
2011-10-01,556590.9090909091
2011-11-01,550923.0769230769
2011-12-01,564791.6666666666
2012-01-01,591444.0
2012-02-01,585400.0
2012-03-01,572481.3333333334
2012-04-01,571594.4
2012-05-01,594586.6666666666
2012-06-01,570727.2727272727
2012-07-01,595600.0
2012-08-01,602733.3333333334
2012-09-01,569830.7692307692
2012-10-01,602142.8571428572
2012-11-01,617857.1428571428
2012-12-01,614888.8888888889
2013-01-01,605500.0
2013-02-01,618000.0
2013-03-01,612666.6666666666
2013-04-01,619481.3333333334
2013-05-01,626000.0
2013-06-01,630666.6666666666
2013-07-01,595800.0
2013-08-01,606400.0
2013-09-01,604736.0
2013-10-01,625322.0
2013-11-01,591000.0
2013-12-01,604333.3333333334
2014-01-01,595000.0
2014-02-01,582750.0
2014-03-01,573333.3333333334
2014-04-01,570000.0
2014-05-01,535000.0
2014-06-01,575000.0
2014-07-01,597750.0
2014-08-01,580000.0
2014-09-01,521500.0
2014-10-01,586250.0
2014-11-01,573898.1466666666
2014-12-01,572314.6666666666
2015-01-01,572125.0
2015-02-01,586250.0
2015-03-01,581285.5714285715
2015-04-01,542500.0
2015-05-01,577500.0
2015-06-01,574333.3333333334
2015-07-01,564977.6
2015-08-01,561986.0
2015-09-01,565000.0
2015-10-01,569574.0
2015-11-01,575884.0
2015-12-01,538300.0
2016-01-01,576722.0
2016-02-01,546444.0
2016-03-01,565000.0
2016-04-01,560264.0
2016-05-01,550818.1818181818
2016-06-01,559142.8571428572
2016-07-01,593698.2857142857
2016-08-01,581262.5454545454
2016-09-01,527277.7777777778
2016-10-01,560875.0
2016-11-01,571000.0
2016-12-01,550000.0
2017-01-01,544360.0
2017-02-01,543481.3333333334
2017-03-01,559888.8
2017-04-01,522500.0
2017-05-01,524666.6666666666
2017-06-01,514986.0
2017-07-01,524444.4444444445
2017-08-01,524277.71428571426
2017-09-01,585111.1111111111
2017-10-01,517250.0
2017-11-01,540312.5
2017-12-01,531687.5
2018-01-01,565375.0
2018-02-01,573750.0
2018-03-01,509987.55555555556
2018-04-01,504818.1818181818
2018-05-01,539166.6666666666
2018-06-01,525423.0769230769
2018-07-01,518925.86666666664
2018-08-01,531081.6666666666
2018-09-01,545444.3636363636
2018-10-01,492600.0
2018-11-01,525450.0
2018-12-01,522000.0
2019-01-01,553111.1111111111
2019-02-01,516625.0
2019-03-01,555000.0
2019-04-01,497000.0
2019-05-01,519700.0
2019-06-01,516000.0
2019-07-01,517500.0
2019-08-01,531271.4285714285
2019-09-01,528543.1111111111
2019-10-01,528800.0
2019-11-01,569166.6666666666
2019-12-01,532452.9230769231
2020-01-01,542555.5555555555
2020-02-01,536300.0
2020-03-01,527125.0
2020-04-01,495000.0
2020-05-01,527666.6666666666
2020-06-01,529473.6842105263
2020-07-01,524467.7894736842
2020-08-01,548000.0
2020-09-01,551860.0
2020-10-01,553666.6666666666
2020-11-01,541454.5454545454
2020-12-01,562000.0
2021-01-01,581777.7777777778
2021-02-01,627500.0
2021-03-01,569908.8
2021-04-01,592566.6666666666
2021-05-01,631838.8
2021-06-01,601376.0
2021-07-01,607846.1538461539
2021-08-01,633769.2307692308
2021-09-01,609000.0
2021-10-01,633529.8461538461
2021-11-01,656513.8333333334
2021-12-01,677571.4285714285
2022-01-01,683095.2380952381
2022-02-01,644000.0
2022-03-01,683434.1818181818
2022-04-01,663555.4285714285
2022-05-01,696736.0
2022-06-01,723000.0
2022-07-01,752666.6666666666
2022-08-01,688000.0
2022-09-01,741808.0
2022-10-01,660161.4545454546
2022-11-01,705393.4117647059
2022-12-01,698000.0
2023-01-01,714861.0
2023-02-01,713518.4
2023-03-01,731250.0
2023-04-01,638766.9375
2023-05-01,674545.0
2023-06-01,662650.25
2023-07-01,688352.0
2023-08-01,672315.8125
2023-09-01,687317.25
2023-10-01,670888.5625
2023-11-01,699260.3125
2023-12-01,681144.375
2024-01-01,710683.1875
2024-02-01,697376.0
2024-03-01,690711.75
2024-04-01,676652.375
2024-05-01,687877.625
2024-06-01,702804.625
2024-07-01,701432.125
2024-08-01,713594.125
2024-09-01,699338.625
2024-10-01,711809.75
2024-11-01,712075.75
2024-12-01,722296.125
2025-01-01,724208.25
2025-02-01,738157.375
2025-03-01,721911.3125
2025-04-01,697027.0
2025-05-01,718578.375
2025-06-01,724438.5625
2025-07-01,733105.625
2025-08-01,735407.625
2025-09-01,730773.0
2025-10-01,733168.375
2025-11-01,743985.625
2025-12-01,744134.5625
2026-01-01,756551.125
2026-02-01,761197.25
2026-03-01,753738.125
2026-04-01,716768.25
2026-05-01,749905.5
2026-06-01,745405.625
2026-07-01,765443.25
2026-08-01,756529.25
2026-09-01,762903.125
2026-10-01,753843.75
2026-11-01,776569.875
2026-12-01,765306.875
2027-01-01,789550.5
2027-02-01,783616.125
2027-03-01,786186.0625
2027-04-01,735880.875
2027-05-01,781853.5625
2027-06-01,765709.5
2027-07-01,798439.875
2027-08-01,776963.25
2027-09-01,795725.875
2027-10-01,773840.4375
2027-11-01,809825.0
2027-12-01,785817.75
2028-01-01,823202.9375
2028-02-01,805415.125
2028-03-01,796250.375
