ds,y
2006-09-01,114000.0
2006-10-01,125000.0
2006-11-01,120000.0
2006-12-01,125500.0
2007-01-01,125000.0
2007-12-01,156000.0
2008-01-01,139000.0
2009-01-01,171000.0
2009-07-01,175000.0
2010-08-01,218000.0
2010-09-01,193000.0
2010-11-01,233000.0
2011-04-01,238000.0
2011-05-01,253000.0
2011-07-01,256000.0
2012-03-01,265000.0
2014-03-01,265000.0
2014-06-01,259000.0
2014-08-01,255000.0
2014-09-01,263000.0
2015-08-01,275000.0
2016-07-01,268000.0
2017-12-01,340000.0
2018-05-01,330000.0
2018-06-01,247000.0
2018-07-01,377000.0
2018-08-01,332000.0
2018-09-01,380000.0
2018-10-01,280000.0
2018-11-01,348000.0
2018-12-01,222000.0
2019-01-01,240000.0
2019-02-01,331500.0
2019-05-01,324000.0
2019-06-01,205000.0
2019-07-01,205000.0
2020-01-01,318000.0
2020-06-01,315000.0
2020-07-01,295000.0
2020-09-01,300000.0
2020-11-01,322000.0
2021-01-01,306000.0
2021-02-01,330000.0
2021-05-01,325000.0
2021-06-01,333444.0
2021-09-01,340000.0
2021-11-01,336500.0
2022-01-01,346000.0
2022-05-01,368000.0
2022-08-01,394944.0
2022-11-01,290000.0
2022-12-01,380000.0
2022-12-31,375475.6875
2023-01-31,317535.1875
2023-02-28,424437.75
2023-03-31,319778.59375
2023-04-30,422429.5
2023-05-31,256363.015625
2023-06-30,386464.71875
2023-07-31,339261.28125
2023-08-31,435673.8125
2023-09-30,276000.0
2023-10-31,411042.34375
2023-11-30,305411.9375
2023-12-31,397717.15625
2024-01-31,317135.875
2024-02-29,410879.71875
2024-03-31,359100.8125
2024-04-30,405109.15625
2024-05-31,293114.5625
2024-06-30,368832.71875
2024-07-31,383150.8125
2024-08-31,416148.1875
2024-09-30,315027.28125
2024-10-31,393037.4375
2024-11-30,345127.9375
2024-12-31,378451.6875
2025-01-31,356742.4375
2025-02-28,433651.375
2025-03-31,359394.75
2025-04-30,428765.0
2025-05-31,290330.03125
2025-06-30,390319.375
2025-07-31,383006.9375
2025-08-31,440964.5
2025-09-30,312546.90625
2025-10-31,415824.6875
2025-11-30,344075.34375
2025-12-31,400727.5625
2026-01-31,356339.65625
2026-02-28,457192.5
2026-03-31,358840.8125
2026-04-30,453293.1875
2026-05-31,286697.0625
2026-06-30,412639.53125
2026-07-31,381912.46875
2026-08-31,466736.4375
2026-09-30,309197.5
2026-10-31,439482.5
2026-11-30,342166.65625
2026-12-31,423888.84375
2027-01-31,355072.9375
2027-02-28,481489.8125
2027-03-31,357449.5625
2027-04-30,478680.84375
2027-05-31,282227.0625
2027-06-30,435781.28125
2027-07-31,379877.9375
2027-08-31,493453.53125
2027-09-30,304991.78125
2027-10-31,464000.53125
2027-11-30,339413.3125
