ds,y
2000-01-01,515000.0
2000-02-01,506000.0
2000-03-01,526000.0
2000-04-01,481944.0
2000-06-01,473500.0
2000-08-01,504250.0
2000-09-01,450750.0
2000-10-01,432750.0
2000-11-01,386000.0
2000-12-01,168000.0
2001-01-01,505000.0
2001-02-01,484000.0
2001-03-01,514000.0
2001-04-01,493666.6666666667
2001-05-01,446250.0
2001-06-01,471000.0
2001-07-01,485000.0
2001-09-01,301500.0
2001-10-01,465000.0
2001-11-01,444000.0
2001-12-01,474000.0
2002-01-01,439000.0
2002-03-01,317750.0
2002-04-01,448333.3333333333
2002-05-01,452285.71428571426
2002-06-01,334333.3333333333
2002-07-01,451500.0
2002-09-01,445000.0
2002-10-01,428000.0
2002-11-01,373000.0
2002-12-01,443000.0
2003-01-01,451000.0
2003-03-01,440800.0
2003-05-01,447500.0
2003-06-01,403500.0
2003-08-01,423666.6666666667
2003-09-01,335333.3333333333
2003-10-01,443000.0
2003-11-01,440000.0
2003-12-01,408000.0
2004-01-01,416000.0
2004-02-01,418000.0
2004-03-01,432250.0
2004-04-01,400000.0
2004-05-01,432500.0
2004-06-01,400000.0
2004-07-01,389500.0
2004-09-01,414000.0
2004-10-01,428800.0
2004-11-01,403333.3333333333
2004-12-01,408000.0
2005-01-01,309833.3333333333
2005-02-01,304000.0
2005-03-01,413333.3333333333
2005-04-01,395000.0
2005-05-01,414900.0
2005-06-01,394500.0
2005-08-01,397500.0
2005-10-01,405000.0
2005-11-01,389000.0
2005-12-01,399333.3333333333
2006-01-01,390000.0
2006-02-01,408000.0
2006-03-01,365000.0
2006-04-01,399500.0
2006-05-01,409750.0
2006-06-01,415000.0
2006-07-01,395000.0
2006-08-01,403000.0
2006-09-01,419000.0
2006-10-01,421000.0
2006-11-01,387500.0
2006-12-01,442500.0
2007-01-01,395000.0
2007-03-01,396500.0
2007-04-01,415000.0
2007-07-01,450000.0
2007-08-01,510000.0
2007-09-01,600000.0
2007-10-01,517500.0
2007-12-01,534629.3333333334
2008-01-01,566666.6666666666
2008-03-01,562000.0
2008-04-01,599000.0
2008-05-01,585000.0
2008-06-01,503800.0
2008-07-01,620166.6666666666
2008-08-01,623981.3333333334
2008-09-01,625000.0
2008-11-01,550000.0
2009-01-01,580000.0
2009-02-01,645500.0
2009-03-01,483944.0
2009-06-01,604000.0
2009-07-01,649500.0
2009-09-01,611666.6666666666
2009-10-01,626000.0
2009-11-01,648888.0
2009-12-01,591296.0
2010-01-01,676666.6666666666
2010-02-01,645972.0
2010-03-01,690000.0
2010-04-01,666666.6666666666
2010-05-01,666750.0
2010-06-01,675000.0
2010-07-01,665000.0
2010-08-01,672222.0
2010-09-01,676000.0
2010-10-01,730000.0
2010-12-01,638000.0
2011-01-01,752500.0
2011-02-01,728000.0
2011-03-01,716500.0
2011-04-01,732500.0
2011-06-01,805333.3333333334
2011-10-01,732500.0
2011-11-01,754000.0
2011-12-01,802900.0
2012-02-01,760000.0
2012-03-01,800000.0
2012-04-01,810000.0
2012-05-01,760000.0
2012-06-01,888000.0
2012-07-01,800000.0
2012-08-01,860000.0
2012-09-01,825000.0
2012-10-01,870000.0
2012-11-01,827500.0
2012-12-01,780000.0
2013-01-01,875000.0
2013-02-01,880000.0
2013-03-01,830000.0
2013-04-01,865000.0
2013-05-01,885000.0
2013-06-01,828000.0
2013-09-01,903000.0
2013-10-01,960000.0
2013-11-01,840666.6666666666
2014-04-01,795000.0
2014-05-01,840000.0
2014-06-01,855000.0
2014-07-01,839462.6666666666
2014-08-01,920000.0
2014-09-01,831800.0
2014-10-01,858000.0
2014-12-01,830000.0
2015-05-01,860000.0
2015-07-01,670000.0
2015-08-01,880000.0
2015-09-01,850666.6666666666
2015-10-01,860000.0
2015-12-01,888888.0
2016-03-01,840000.0
2016-04-01,705000.0
2016-05-01,804472.0
2016-06-01,760000.0
2016-07-01,790000.0
2016-08-01,880000.0
2016-09-01,934000.0
2016-10-01,807500.0
2016-12-01,885000.0
2017-03-01,850000.0
2017-04-01,827000.0
2017-07-01,888000.0
2017-08-01,790666.6666666666
2017-09-01,840750.0
2017-11-01,810000.0
2017-12-01,870000.0
2018-01-01,820000.0
