ds,y
2000-01-01,395500.0
2000-02-01,391166.6666666667
2000-03-01,381181.8181818182
2000-04-01,381750.0
2000-05-01,397300.0
2000-06-01,382398.9090909091
2000-07-01,384600.0
2000-08-01,370740.0
2000-09-01,366333.3333333333
2000-10-01,379350.0
2000-11-01,377636.36363636365
2000-12-01,396292.3076923077
2001-01-01,406285.71428571426
2001-02-01,408812.5
2001-03-01,373461.53846153844
2001-04-01,379428.5714285714
2001-05-01,381750.0
2001-06-01,387212.5
2001-07-01,380762.54545454547
2001-08-01,365176.4705882353
2001-09-01,355625.0
2001-10-01,381306.6666666667
2001-11-01,357321.4285714286
2001-12-01,340450.0
2002-01-01,354800.0
2002-02-01,338357.14285714284
2002-03-01,350400.0
2002-04-01,358400.0
2002-05-01,358466.6666666667
2002-06-01,373280.0
2002-07-01,349625.0
2002-08-01,361437.5
2002-09-01,356860.6153846154
2002-10-01,352238.46153846156
2002-11-01,346250.0
2002-12-01,343000.0
2003-01-01,409933.3333333333
2003-02-01,332400.0
2003-03-01,334625.0
2003-04-01,365375.0
2003-05-01,336150.0
2003-06-01,388000.0
2003-07-01,357480.0
2003-08-01,379333.3333333333
2003-09-01,371000.0
2003-10-01,369500.0
2003-11-01,362500.0
2003-12-01,350350.0
2004-01-01,344012.5
2004-02-01,335088.8888888889
2004-03-01,348416.6666666667
2004-04-01,365800.0
2004-05-01,351125.0
2004-06-01,334000.0
2004-07-01,357400.0
2004-08-01,367198.28571428574
2004-09-01,330700.0
2004-10-01,341272.7272727273
2004-11-01,326000.0
2004-12-01,338250.0
2005-01-01,345800.0
2005-02-01,381300.0
2005-03-01,338030.0
2005-04-01,375666.6666666667
2005-05-01,330833.3333333333
2005-06-01,352000.0
2005-07-01,327714.28571428574
2005-08-01,365250.0
2005-09-01,337000.0
2005-10-01,336428.5714285714
2005-11-01,334625.0
2005-12-01,318500.0
2006-01-01,324888.8888888889
2006-02-01,307333.3333333333
2006-03-01,356571.4285714286
2006-04-01,327300.0
2006-05-01,330000.0
2006-06-01,324432.0
2006-07-01,343875.0
2006-08-01,364500.0
2006-09-01,307200.0
2006-10-01,332333.3333333333
2006-11-01,328750.0
2006-12-01,338500.0
2007-01-01,367200.0
2007-02-01,356136.36363636365
2007-03-01,348350.0
2007-04-01,343916.6666666667
2007-05-01,348333.3333333333
2007-06-01,338428.5714285714
2007-07-01,349142.85714285716
2007-08-01,384300.0
2007-09-01,422333.3333333333
2007-10-01,380000.0
2007-11-01,422977.77777777775
2007-12-01,360000.0
2008-01-01,460666.6666666667
2008-02-01,436501.3333333333
2008-03-01,364000.0
2008-04-01,443454.54545454547
2008-05-01,430166.6666666667
2008-06-01,443444.44444444444
2008-07-01,470760.0
2008-08-01,587962.6666666666
2008-09-01,509250.0
2008-10-01,519900.0
2008-11-01,471648.0
2008-12-01,487166.6666666667
2009-01-01,439981.3333333333
2009-02-01,428500.0
2009-03-01,435000.0
2009-04-01,460937.5
2009-05-01,442625.0
2009-06-01,500181.8181818182
2009-07-01,450980.0
2009-08-01,548500.0
2009-09-01,479063.4285714286
2009-10-01,502666.6666666667
2009-11-01,509000.0
2009-12-01,519700.0
2010-01-01,541824.25
2010-02-01,556812.5
2010-03-01,506538.46153846156
2010-04-01,537428.5714285715
2010-05-01,534071.4285714285
2010-06-01,506333.3333333333
2010-07-01,561126.6666666666
2010-08-01,533568.3076923077
2010-09-01,561730.7272727273
2010-10-01,578605.1764705882
2010-11-01,614850.0
2010-12-01,720000.0
2011-01-01,509500.0
2011-02-01,588600.0
2011-03-01,549560.0
2011-04-01,578000.0
2011-05-01,639000.0
2011-06-01,617400.0
2011-07-01,606571.4285714285
2011-08-01,631500.0
2011-09-01,642000.0
2011-10-01,677111.1111111111
2011-11-01,596666.6666666666
2011-12-01,744000.0
