ds,y
2000-01-01,535500.0
2000-02-01,494600.0
2000-03-01,497500.0
2000-05-01,516500.0
2000-06-01,527700.0
2000-08-01,470000.0
2000-09-01,450500.0
2000-10-01,493500.0
2000-11-01,485900.0
2000-12-01,527333.3333333334
2001-01-01,499333.3333333333
2001-02-01,407000.0
2001-03-01,442000.0
2001-04-01,448000.0
2001-05-01,456666.6666666667
2001-06-01,481500.0
2001-07-01,411500.0
2001-08-01,459400.0
2001-09-01,462666.6666666667
2001-10-01,454333.3333333333
2001-12-01,400500.0
2002-01-01,418000.0
2002-02-01,434000.0
2002-03-01,417400.0
2002-05-01,480000.0
2002-06-01,442600.0
2002-07-01,469500.0
2002-08-01,476000.0
2002-09-01,470000.0
2002-10-01,500333.3333333333
2002-11-01,440000.0
2002-12-01,393250.0
2003-01-01,411000.0
2003-03-01,442000.0
2003-04-01,415000.0
2003-05-01,408666.6666666667
2003-06-01,438500.0
2003-07-01,451500.0
2003-08-01,436500.0
2003-09-01,370000.0
2003-11-01,445666.6666666667
2003-12-01,423800.0
2004-01-01,362000.0
2004-02-01,391500.0
2004-03-01,395000.0
2004-04-01,401833.3333333333
2004-07-01,413000.0
2004-08-01,385000.0
2004-10-01,390650.0
2005-01-01,394333.3333333333
2005-02-01,452500.0
2005-03-01,452500.0
2005-04-01,378250.0
2005-05-01,350000.0
2005-08-01,385500.0
2005-09-01,372000.0
2005-10-01,357666.6666666667
2005-11-01,406666.6666666667
2005-12-01,450000.0
2006-01-01,382500.0
2006-02-01,385944.0
2006-03-01,381000.0
2006-04-01,374666.6666666667
2006-06-01,382266.6666666667
2006-07-01,389000.0
2006-08-01,385000.0
2006-09-01,455000.0
2006-10-01,355000.0
2006-11-01,360500.0
2007-01-01,365666.6666666667
2007-03-01,379000.0
2007-04-01,373500.0
2007-06-01,380333.3333333333
2007-07-01,385833.3333333333
2007-08-01,409000.0
2007-09-01,421000.0
2007-10-01,503600.0
2007-11-01,421500.0
2007-12-01,406250.0
2008-01-01,423775.0
2008-02-01,420000.0
2008-03-01,430000.0
2008-04-01,531666.6666666666
2008-05-01,516000.0
2008-06-01,448250.0
2008-08-01,490000.0
2008-09-01,482500.0
2008-10-01,490845.0
2008-11-01,486666.6666666667
2008-12-01,520000.0
2009-02-01,557500.0
2009-03-01,445000.0
2009-04-01,470000.0
2009-05-01,510000.0
2009-07-01,521333.3333333333
2009-08-01,524166.6666666667
2009-09-01,555000.0
2009-10-01,567222.0
2009-11-01,534918.5
2009-12-01,522500.0
2010-01-01,556666.6666666666
2010-02-01,557000.0
2010-03-01,591666.6666666666
2010-04-01,620000.0
2010-05-01,528660.0
2010-06-01,602666.6666666666
2010-07-01,570000.0
2010-08-01,609444.0
2010-09-01,583575.0
2010-10-01,515250.0
2010-12-01,657500.0
2011-01-01,628000.0
2011-02-01,684000.0
2011-03-01,601500.0
2011-06-01,627500.0
2011-08-01,610000.0
2011-09-01,760000.0
2011-10-01,676000.0
2011-11-01,550000.0
2011-12-01,587000.0
2012-01-01,682000.0
2012-02-01,610000.0
2012-03-01,666000.0
2012-05-01,656232.6666666666
