ds,y
2000-01-01,254260.86956521738
2000-02-01,262273.4736842105
2000-03-01,257649.23456790124
2000-04-01,258646.30985915492
2000-05-01,254581.94059405942
2000-06-01,254436.7123287671
2000-07-01,253217.26984126985
2000-08-01,249581.90476190476
2000-09-01,248312.57142857142
2000-10-01,256802.81690140846
2000-11-01,254872.3404255319
2000-12-01,248641.61643835617
2001-01-01,242701.12676056338
2001-02-01,248464.31578947368
2001-03-01,246371.77528089887
2001-04-01,231453.84615384616
2001-05-01,246234.11764705883
2001-06-01,236450.37623762377
2001-07-01,235305.15463917525
2001-08-01,234988.09302325582
2001-09-01,229282.90566037735
2001-10-01,227921.73913043478
2001-11-01,230120.0
2001-12-01,232316.9756097561
2002-01-01,231349.5890410959
2002-02-01,225525.6494845361
2002-03-01,227111.784
2002-04-01,227162.31666666668
2002-05-01,230642.42222222223
2002-06-01,228575.18796992482
2002-07-01,219439.2857142857
2002-08-01,220275.2136752137
2002-09-01,230178.40740740742
2002-10-01,221991.47286821707
2002-11-01,229301.55752212388
2002-12-01,227259.11864406778
2003-01-01,225967.95294117648
2003-02-01,227699.68421052632
2003-03-01,222237.28813559323
2003-04-01,224041.79104477612
2003-05-01,230575.0
2003-06-01,223030.98550724637
2003-07-01,226471.93846153846
2003-08-01,231733.11111111112
2003-09-01,230008.45
2003-10-01,234963.94871794872
2003-11-01,235673.14942528735
2003-12-01,229636.69565217392
2004-01-01,235327.95294117648
2004-02-01,232429.37142857144
2004-03-01,234646.68852459016
2004-04-01,231311.45762711865
2004-05-01,233361.11111111112
2004-06-01,233177.1724137931
2004-07-01,230273.87878787878
2004-08-01,230417.0125
2004-09-01,227612.625
2004-10-01,231691.9393939394
2004-11-01,234821.42857142858
2004-12-01,228362.0
2005-01-01,229155.55555555556
2005-02-01,227904.23529411765
2005-03-01,226415.85185185185
2005-04-01,225215.3103448276
2005-05-01,221657.14285714287
2005-06-01,222616.73846153845
2005-07-01,220405.79104477612
2005-08-01,222851.8260869565
2005-09-01,224708.19672131148
2005-10-01,213700.0
2005-11-01,219610.41666666666
2005-12-01,220352.88235294117
2006-01-01,210142.85714285713
2006-02-01,226614.76923076922
2006-03-01,218656.25
2006-04-01,217378.68852459016
2006-05-01,213835.31578947368
2006-06-01,220314.55737704918
2006-07-01,219789.07142857142
2006-08-01,222583.01886792452
2006-09-01,221714.54545454544
2006-10-01,225210.63829787233
2006-11-01,219947.65625
2006-12-01,220077.08333333334
2007-01-01,225559.0
2007-02-01,226197.51111111112
2007-03-01,228819.625
2007-04-01,223983.86666666667
2007-05-01,227497.8260869565
2007-06-01,235755.3650793651
2007-07-01,231875.76
2007-08-01,239793.47826086957
2007-09-01,238847.57894736843
2007-10-01,255344.5945945946
2007-11-01,258377.19298245615
2007-12-01,261966.0
2008-01-01,267648.21428571426
2008-02-01,268162.511627907
2008-03-01,270946.3448275862
2008-04-01,283414.0
2008-05-01,281556.58490566036
2008-06-01,292147.25423728814
2008-07-01,294016.7659574468
2008-08-01,289788.6984126984
2008-09-01,297750.0
2008-10-01,304234.962962963
2008-11-01,306214.09523809527
2008-12-01,304475.94029850746
2009-01-01,311144.6274509804
2009-02-01,301308.4347826087
2009-03-01,304531.25925925927
2009-04-01,307054.54545454547
2009-05-01,298176.862745098
2009-06-01,306641.8181818182
2009-07-01,307396.875
2009-08-01,303840.4285714286
2009-09-01,317286.2068965517
2009-10-01,324011.4202898551
2009-11-01,315959.1641791045
2009-12-01,331807.609375
2010-01-01,327928.7878787879
2010-02-01,336621.28813559323
2010-03-01,332778.4736842105
2010-04-01,342922.4875
2010-05-01,344239.94029850746
2010-06-01,351451.94805194804
2010-07-01,365402.7878787879
2010-08-01,366264.2105263158
2010-09-01,371398.25
2010-10-01,363731.0882352941
2010-11-01,387092.0789473684
2010-12-01,383550.8085106383
2011-01-01,376712.8
2011-02-01,389059.57446808513
2011-03-01,389244.6808510638
2011-04-01,387667.1304347826
2011-05-01,393203.0344827586
2011-06-01,394620.1632653061
2011-07-01,404622.5806451613
2011-08-01,406150.0
2011-09-01,422309.8378378378
2011-10-01,424769.76744186046
2011-11-01,416224.3333333333
2011-12-01,427387.28571428574
2012-01-01,424979.6
2012-02-01,434968.22857142857
2012-03-01,427637.9636363636
2012-04-01,421563.8888888889
2012-05-01,431368.8309859155
2012-06-01,439047.61904761905
2012-07-01,435454.67272727273
2012-08-01,436234.8771929825
2012-09-01,441600.0
2012-10-01,450239.3333333333
2012-11-01,449116.71794871794
2012-12-01,449089.6
2013-01-01,451136.93023255817
2013-02-01,452912.93333333335
2013-03-01,444805.2631578947
2013-04-01,459604.6511627907
2013-05-01,445858.1538461539
2013-06-01,456765.71428571426
2013-07-01,441544.38095238095
2013-08-01,447362.93333333335
2013-09-01,441167.4285714286
2013-10-01,457040.1379310345
2013-11-01,439192.4285714286
2013-12-01,434464.28571428574
2014-01-01,449695.652173913
2014-02-01,440925.9259259259
2014-03-01,428859.2380952381
2014-04-01,431293.0232558139
2014-05-01,422627.1666666667
2014-06-01,430391.8461538461
2014-07-01,418108.54545454547
2014-08-01,418878.0689655172
2014-09-01,411000.0
2014-10-01,402284.74074074073
2014-11-01,408092.6896551724
2014-12-01,409304.8205128205
2015-01-01,405907.3333333333
2015-02-01,396864.6956521739
2015-03-01,395287.0
2015-04-01,405496.5238095238
2015-05-01,395475.375
2015-06-01,406041.52
2015-07-01,386983.3333333333
2015-08-01,390396.8
2015-09-01,405234.9743589744
2015-10-01,402544.4
2015-11-01,396535.1304347826
2015-12-01,408842.03571428574
2016-01-01,386820.6896551724
2016-02-01,386676.7272727273
2016-03-01,388322.46153846156
2016-04-01,386994.9090909091
2016-05-01,383453.6666666667
2016-06-01,374958.28571428574
2016-07-01,383939.28571428574
2016-08-01,379695.92307692306
2016-09-01,389047.3157894737
2016-10-01,394414.0
2016-11-01,375125.65
2016-12-01,380760.6153846154
2017-01-01,398395.8333333333
2017-02-01,396945.3333333333
2017-03-01,385743.31707317074
2017-04-01,407975.0458536586
2017-05-01,394338.2978723404
2017-06-01,385312.5
2017-07-01,386993.77777777775
2017-08-01,381389.4736842105
2017-09-01,392370.3703703704
2017-10-01,389355.17647058825
2017-11-01,375500.0
2017-12-01,387632.6666666667
2018-01-01,382837.53846153844
2018-02-01,376844.8275862069
2018-03-01,388328.8333333333
2018-04-01,373710.4736842105
2018-05-01,378688.8888888889
2018-06-01,380664.0
2018-07-01,385165.0847457627
2018-08-01,386245.0
2018-09-01,386396.7619047619
2018-10-01,402682.8333333333
2018-11-01,386557.2121212121
2018-12-01,390746.0
2019-01-01,365951.3043478261
2019-02-01,376948.8333333333
2019-03-01,389016.0
2019-04-01,395779.60975609755
2019-05-01,387997.6666666667
2019-06-01,383711.0857142857
2019-07-01,394647.2
2019-08-01,392161.6551724138
2019-09-01,395647.7272727273
2019-10-01,392990.7826086957
2019-11-01,392746.54761904763
2019-12-01,412215.25
2020-01-01,395413.55555555556
2020-02-01,406505.63265306124
2020-03-01,440362.6666666667
2020-04-01,392457.3333333333
2020-05-01,504412.5714285714
2020-06-01,409708.81481481483
2020-07-01,416732.4081632653
2020-08-01,409542.14814814815
2020-09-01,414482.046875
2020-10-01,430668.3870967742
2020-11-01,413323.9111111111
2020-12-01,426913.5238095238
2021-01-01,428060.347826087
2021-02-01,428747.8461538461
2021-03-01,440859.56363636366
2021-04-01,445680.0
2021-05-01,460433.0256410256
2021-06-01,455677.0909090909
2021-07-01,462262.3384615385
2021-08-01,469149.53846153844
2021-09-01,471562.3384615385
2021-10-01,474928.5714285714
2021-11-01,507192.40579710144
2021-12-01,503868.65454545454
2022-01-01,515904.3768115942
2022-02-01,492457.3953488372
2022-03-01,516478.8333333333
2022-04-01,507115.55555555556
2022-05-01,522108.3448275862
2022-06-01,525950.716981132
2022-07-01,529457.0169491526
2022-08-01,523753.5652173913
2022-09-01,531928.7407407408
2022-10-01,520445.0
2022-11-01,528059.5636363636
2022-12-01,537243.3488372093
2023-01-01,532402.9818181818
2023-02-01,520015.8095238095
2023-03-01,500675.07692307694
2023-04-01,510918.375
2023-05-01,518104.5
2023-06-01,517259.4375
2023-07-01,510079.0625
2023-08-01,518563.4375
2023-09-01,516914.5625
2023-10-01,530596.375
2023-11-01,520885.1875
2023-12-01,539116.0625
2024-01-01,526773.875
2024-02-01,531438.5
2024-03-01,536742.5625
2024-04-01,527664.125
2024-05-01,551183.5
2024-06-01,533156.9375
2024-07-01,542620.875
2024-08-01,533976.3125
2024-09-01,549999.8125
2024-10-01,546767.375
2024-11-01,553729.0625
2024-12-01,555957.6875
2025-01-01,559254.25
2025-02-01,548041.0625
2025-03-01,558736.0
2025-04-01,554180.375
2025-05-01,573607.0625
2025-06-01,560151.8125
2025-07-01,563949.25
2025-08-01,560833.375
2025-09-01,571454.5625
2025-10-01,574214.0
2025-11-01,575241.25
2025-12-01,583648.6875
2026-01-01,581050.25
2026-02-01,574626.0625
2026-03-01,580366.625
2026-04-01,581082.875
2026-05-01,595620.25
2026-06-01,587579.25
2026-07-01,584853.5625
2026-08-01,588128.5625
2026-09-01,592469.8125
2026-10-01,602083.9375
2026-11-01,596332.4375
2026-12-01,611741.0625
2027-01-01,602453.625
2027-02-01,601587.0625
2027-03-01,601637.4375
2027-04-01,608370.1875
2027-05-01,617225.1875
2027-06-01,615437.625
2027-07-01,605336.5
2027-08-01,615859.8125
2027-09-01,613047.3125
2027-10-01,630374.5
2027-11-01,617004.5
2027-12-01,640232.375
2028-01-01,623466.0
2028-02-01,628923.5
2028-03-01,635243.625
