ds,y
2000-01-01,502400.0
2000-02-01,481615.3846153846
2000-03-01,498136.36363636365
2000-04-01,494117.64705882355
2000-05-01,516279.2
2000-06-01,464200.0
2000-07-01,507461.53846153844
2000-08-01,503333.3333333333
2000-09-01,501200.0
2000-10-01,514636.36363636365
2000-11-01,496076.92307692306
2000-12-01,467666.6666666667
2001-01-01,488250.0
2001-02-01,478286.6666666667
2001-03-01,483333.3333333333
2001-04-01,466480.0
2001-05-01,485382.60869565216
2001-06-01,470900.0
2001-07-01,464437.53846153844
2001-08-01,454083.3333333333
2001-09-01,451346.1538461539
2001-10-01,464294.4
2001-11-01,461444.44444444444
2001-12-01,449444.444
2002-01-01,444500.0
2002-02-01,425562.5
2002-03-01,448157.3333333333
2002-04-01,433857.14285714284
2002-05-01,439513.04347826086
2002-06-01,437333.3333333333
2002-07-01,422818.1818181818
2002-08-01,429600.0
2002-09-01,428688.8
2002-10-01,427545.0
2002-11-01,415200.0
2002-12-01,430250.0
2003-01-01,432143.4285714286
2003-02-01,410000.0
2003-03-01,407250.0
2003-04-01,438975.0
2003-05-01,410700.0
2003-06-01,354288.8888888889
2003-07-01,412277.77777777775
2003-08-01,398200.0
2003-09-01,416100.0
2003-10-01,396600.0
2003-11-01,413000.0
2003-12-01,404981.8181818182
2004-01-01,398366.6666666667
2004-02-01,373750.0
2004-03-01,396777.77777777775
2004-04-01,390428.5714285714
2004-05-01,383233.3333333333
2004-06-01,375666.6666666667
2004-07-01,388680.0
2004-08-01,370375.0
2004-09-01,391857.14285714284
2004-10-01,383100.0
2004-11-01,377692.3076923077
2004-12-01,392221.4285714286
2005-01-01,365588.23529411765
2005-02-01,364541.6666666667
2005-03-01,344428.5714285714
2005-04-01,342685.71428571426
2005-05-01,374384.6153846154
2005-06-01,341421.125
2005-07-01,366363.63636363635
2005-08-01,348563.4285714286
2005-09-01,336833.3333333333
2005-10-01,345346.1538461539
2005-11-01,348400.0
2005-12-01,346868.4210526316
2006-01-01,338692.3076923077
2006-02-01,349334.85714285716
2006-03-01,350500.0
2006-04-01,355583.3333333333
2006-05-01,357812.5
2006-06-01,352316.4
2006-07-01,339343.0
2006-08-01,363000.0
2006-09-01,361607.14285714284
2006-10-01,349233.3333333333
2006-11-01,356712.82352941175
2006-12-01,336750.0
2007-01-01,367694.44444444444
2007-02-01,387200.0
2007-03-01,352633.3333333333
2007-04-01,364714.28571428574
2007-05-01,347714.28571428574
2007-06-01,370882.35294117645
2007-07-01,382879.2
2007-08-01,357133.3333333333
2007-09-01,412500.0
2007-10-01,429479.347826087
2007-11-01,405666.6666666667
2007-12-01,418300.0
2008-01-01,451769.23076923075
2008-02-01,419676.92307692306
2008-03-01,459833.3333333333
2008-04-01,445428.5714285714
2008-05-01,462923.07692307694
2008-06-01,468000.0
2008-07-01,465307.6923076923
2008-08-01,462769.23076923075
2008-09-01,472733.3333333333
2008-10-01,466466.6666666667
2008-11-01,456871.63636363635
2008-12-01,502333.3333333333
2009-01-01,473727.2727272727
2009-02-01,452066.6666666667
2009-03-01,452062.5
2009-04-01,458688.8
2009-05-01,475043.1111111111
2009-06-01,462044.44444444444
2009-07-01,454006.6666666667
2009-08-01,459400.0
2009-09-01,463018.75
2009-10-01,465585.71428571426
2009-11-01,489644.4
2009-12-01,490173.5
2010-01-01,486763.15789473685
2010-02-01,504294.1176470588
2010-03-01,498227.2727272727
2010-04-01,515043.47826086957
2010-05-01,516833.3333333333
2010-06-01,531650.0
2010-07-01,518270.0
2010-08-01,521363.63636363635
2010-09-01,561909.0909090909
2010-10-01,563900.0
2010-11-01,543660.4615384615
2010-12-01,540300.0
2011-01-01,552769.2307692308
2011-02-01,566409.0909090909
2011-03-01,553875.0
2011-04-01,563375.0
2011-05-01,571481.3333333334
2011-06-01,575666.6666666666
2011-07-01,574666.5555555555
2011-08-01,596727.2727272727
2011-09-01,606083.3333333334
2011-10-01,612173.5
2011-11-01,610432.0
2011-12-01,592857.1428571428
2012-01-01,583500.0
2012-02-01,601148.0
2012-03-01,629036.2105263158
2012-04-01,633500.0
2012-05-01,655353.4545454546
2012-06-01,657129.8461538461
2012-07-01,646923.5
2012-08-01,645466.6666666666
2012-09-01,676333.3333333334
2012-10-01,683272.7272727273
2012-11-01,689432.0
2012-12-01,698714.2857142857
2013-01-01,704458.3333333334
2013-02-01,775000.0
2013-03-01,717731.3333333334
2013-04-01,665000.0
2013-05-01,672888.8888888889
2013-06-01,710333.3333333334
2013-07-01,716858.3333333334
2013-08-01,673818.8
2013-09-01,726200.0
2013-10-01,716648.0
2013-11-01,694888.8888888889
2013-12-01,665625.0
2014-01-01,689357.1428571428
2014-02-01,705548.5
2014-03-01,648400.0
2014-04-01,659875.0
2014-05-01,683125.0
2014-06-01,663333.3333333334
2014-07-01,600857.1428571428
2014-08-01,717833.3333333334
2014-09-01,770000.0
2014-10-01,674400.0
2014-11-01,669586.0
2014-12-01,694600.0
2015-01-01,634888.8888888889
2015-02-01,718875.0
2015-03-01,681666.6666666666
2015-04-01,662974.0
2015-05-01,637666.6666666666
2015-06-01,676714.2857142857
2015-07-01,661283.6923076923
2015-08-01,657000.0
2015-09-01,680486.0
2015-10-01,636414.4615384615
2015-11-01,768600.0
2015-12-01,617000.0
2016-01-01,643000.0
2016-02-01,700577.6
2016-03-01,658300.0
2016-04-01,641833.3333333334
2016-05-01,688288.8
2016-06-01,657361.0
2016-07-01,702400.0
2016-08-01,644800.0
2016-09-01,661743.1111111111
2016-10-01,657814.6666666666
2016-11-01,667000.0
2016-12-01,670486.11
2017-01-01,626177.6
2017-02-01,664428.5714285715
2017-03-01,630333.3333333334
2017-04-01,621990.6666666666
2017-05-01,697683.6923076923
2017-06-01,719484.0
2017-07-01,657200.0
2017-08-01,683490.6666666666
2017-09-01,621428.5714285715
2017-10-01,685754.5454545454
2017-11-01,646285.7142857143
2017-12-01,659518.2222222222
2018-01-01,744111.1111111111
2018-02-01,672388.8
2018-03-01,667906.25
2018-04-01,714300.0
2018-05-01,641059.6923076923
2018-06-01,677545.4545454546
2018-07-01,705250.0
2018-08-01,695730.947368421
2018-09-01,681120.695652174
2018-10-01,672125.0
2018-11-01,675240.6666666666
2018-12-01,678698.0
2019-01-01,710750.0
2019-02-01,693700.0
2019-03-01,660314.6666666666
2019-04-01,640333.3333333334
2019-05-01,686333.3333333334
2019-06-01,782000.0
2019-07-01,704153.8461538461
2019-08-01,702500.0
2019-09-01,648990.6666666666
2019-10-01,658058.8235294118
2019-11-01,688765.3333333334
2019-12-01,720765.3333333334
2020-01-01,677989.8181818182
2020-02-01,693269.7142857143
2020-03-01,694488.8
2020-04-01,670000.0
2020-05-01,633333.3333333334
2020-06-01,685432.0
2020-07-01,673991.3846153846
2020-08-01,672705.8823529412
2020-09-01,666977.6
2020-10-01,690813.8
2020-11-01,670666.6666666666
2020-12-01,677583.2
2021-01-01,695887.5555555555
2021-02-01,677562.5
2021-03-01,710926.8571428572
2021-04-01,756376.0
2021-05-01,731641.7777777778
2021-06-01,769388.8888888889
2021-07-01,722444.4444444445
2021-08-01,741272.7272727273
2021-09-01,775483.3333333334
2021-10-01,755992.5333333333
2021-11-01,768666.6666666666
2021-12-01,779407.3333333334
2022-01-01,741868.0
2022-02-01,848555.2
2022-03-01,815000.0
2022-04-01,770472.0
2022-05-01,823272.7272727273
2022-06-01,793157.3333333334
2022-07-01,840977.6
2022-08-01,807990.6666666666
2022-09-01,830898.9090909091
2022-10-01,802019.5714285715
2022-11-01,850222.1538461539
2022-12-01,864222.2222222222
2023-01-01,832188.888
2023-02-01,825500.0
2023-03-01,817972.0
2023-04-01,777589.375
2023-05-01,794004.125
2023-06-01,814258.6875
2023-07-01,802884.25
2023-08-01,801969.0625
2023-09-01,814959.875
2023-10-01,803108.75
2023-11-01,823973.125
2023-12-01,815572.0625
2024-01-01,812428.625
2024-02-01,837725.4375
2024-03-01,814035.25
2024-04-01,804676.6875
2024-05-01,816413.375
2024-06-01,843300.0
2024-07-01,824260.75
2024-08-01,830669.375
2024-09-01,837011.3125
2024-10-01,831126.0
2024-11-01,846992.0
2024-12-01,843251.75
2025-01-01,834874.5
2025-02-01,866780.6875
2025-03-01,840059.75
2025-04-01,827784.875
2025-05-01,841938.625
2025-06-01,868120.125
2025-07-01,850426.0625
2025-08-01,854431.0625
2025-09-01,863519.375
2025-10-01,854880.0
2025-11-01,873538.0625
2025-12-01,867679.375
2026-01-01,860508.4375
2026-02-01,892014.875
2026-03-01,866209.4375
2026-04-01,850790.3125
2026-05-01,867548.625
2026-06-01,892826.1875
2026-07-01,876720.0
2026-08-01,878066.0625
2026-09-01,890144.0
2026-10-01,878529.125
2026-11-01,900175.25
2026-12-01,892025.1875
2027-01-01,886230.5
2027-02-01,917145.1875
2027-03-01,892483.5625
2027-04-01,873693.9375
2027-05-01,893242.875
2027-06-01,917418.3125
2027-07-01,903141.75
2027-08-01,901575.1875
2027-09-01,916884.375
2027-10-01,902074.25
2027-11-01,926902.625
2027-12-01,916289.9375
2028-01-01,912040.6875
2028-02-01,942170.875
2028-03-01,913131.5
