ds,y
2000-01-01,345738.46153846156
2000-02-01,355375.0
2000-03-01,352072.7272727273
2000-04-01,326785.71428571426
2000-05-01,352142.85714285716
2000-06-01,341630.0
2000-07-01,321686.6666666667
2000-08-01,330400.0
2000-09-01,331533.3333333333
2000-10-01,320936.36363636365
2000-11-01,316789.4736842105
2000-12-01,333307.14285714284
2001-01-01,311042.28571428574
2001-02-01,308988.23529411765
2001-03-01,297500.0
2001-04-01,309109.8947368421
2001-05-01,286023.07692307694
2001-06-01,296981.8181818182
2001-07-01,295323.5294117647
2001-08-01,290395.2380952381
2001-09-01,312727.2727272727
2001-10-01,286833.3333333333
2001-11-01,277953.8461538461
2001-12-01,281000.0
2002-01-01,278763.15789473685
2002-02-01,281900.0
2002-03-01,278272.7272727273
2002-04-01,314772.0
2002-05-01,308782.60869565216
2002-06-01,315269.23076923075
2002-07-01,318147.3333333333
2002-08-01,341547.61904761905
2002-09-01,314746.4285714286
2002-10-01,318610.5263157895
2002-11-01,309823.5294117647
2002-12-01,329899.0
2003-01-01,318685.86666666664
2003-02-01,312819.23076923075
2003-03-01,320548.14814814815
2003-04-01,312442.85714285716
2003-05-01,311011.53846153844
2003-06-01,307000.0
2003-07-01,306421.05263157893
2003-08-01,316045.8333333333
2003-09-01,308280.38095238095
2003-10-01,315108.3333333333
2003-11-01,302534.7826086957
2003-12-01,330858.54545454547
2004-01-01,325830.76923076925
2004-02-01,319933.3333333333
2004-03-01,307023.8095238095
2004-04-01,315260.0
2004-05-01,308586.0
2004-06-01,297785.71428571426
2004-07-01,300376.0
2004-08-01,305388.8888888889
2004-09-01,291989.9090909091
2004-10-01,295794.1176470588
2004-11-01,296666.6666666667
2004-12-01,292866.6666666667
2005-01-01,305648.0
2005-02-01,292509.1111111111
2005-03-01,299753.3333333333
2005-04-01,294458.3333333333
2005-05-01,317199.29411764705
2005-06-01,282052.63157894736
2005-07-01,309709.0909090909
2005-08-01,303076.92307692306
2005-09-01,302287.5
2005-10-01,277363.63636363635
2005-11-01,293923.07692307694
2005-12-01,295933.4
2006-01-01,265666.6666666667
2006-02-01,289645.86666666664
2006-03-01,288470.5882352941
2006-04-01,289277.77777777775
2006-05-01,293650.0
2006-06-01,289230.76923076925
2006-07-01,288066.6666666667
2006-08-01,277875.0
2006-09-01,294983.1111111111
2006-10-01,293000.0
2006-11-01,308838.1818181818
2006-12-01,289000.0
2007-01-01,276181.8181818182
2007-02-01,314573.05263157893
2007-03-01,290694.44444444444
2007-04-01,300021.4285714286
2007-05-01,285862.5
2007-06-01,293384.6153846154
2007-07-01,309666.6666666667
2007-08-01,309990.9090909091
2007-09-01,305441.17647058825
2007-10-01,353222.22222222225
2007-11-01,368071.4285714286
2007-12-01,389000.0
2008-01-01,372315.7894736842
2008-02-01,386222.22222222225
2008-03-01,388663.63636363635
2008-04-01,372729.4
2008-05-01,375570.8888888889
2008-06-01,374581.64705882355
2008-07-01,394342.1052631579
2008-08-01,382952.23529411765
2008-09-01,403657.8947368421
2008-10-01,410506.25
2008-11-01,411858.82352941175
2008-12-01,429557.6
2009-01-01,422604.1666666667
2009-02-01,369625.0
2009-03-01,391812.5
2009-04-01,404968.3076923077
2009-05-01,420272.7272727273
2009-06-01,408000.0
2009-07-01,413050.0
2009-08-01,435400.0
2009-09-01,428969.4
2009-10-01,413277.77777777775
2009-11-01,446523.8095238095
2009-12-01,443703.82608695654
2010-01-01,445800.0
2010-02-01,420461.1111111111
2010-03-01,432558.82352941175
2010-04-01,438794.1176470588
2010-05-01,459692.3076923077
2010-06-01,455564.92307692306
2010-07-01,473750.0
2010-08-01,461900.0
2010-09-01,469775.0
2010-10-01,464066.6666666667
2010-11-01,460325.86666666664
2010-12-01,483490.6666666667
2011-01-01,476625.0
2011-02-01,463888.8888888889
2011-03-01,476778.05555555556
2011-04-01,493333.3333333333
2011-05-01,506000.0
2011-06-01,487545.45454545453
2011-07-01,517571.4285714286
2011-08-01,491583.3333333333
2011-09-01,510888.8
2011-10-01,487750.0
2011-11-01,530500.0
2011-12-01,532250.0
2012-01-01,492500.0
2012-02-01,530062.5
2012-03-01,516557.14285714284
2012-04-01,525875.0
2012-05-01,551142.8571428572
2012-06-01,538000.0
2012-07-01,533126.125
2012-08-01,612296.0
2012-09-01,546000.0
2012-10-01,566738.8
2012-11-01,557444.3636363636
2012-12-01,518166.6666666667
2013-01-01,613836.8
2013-02-01,593377.6
2013-03-01,559000.0
2013-04-01,531300.0
2013-05-01,557690.9090909091
2013-06-01,516250.0
2013-07-01,559236.0
2013-08-01,577432.0
2013-09-01,615750.0
2013-10-01,558500.0
2013-11-01,571500.0
2013-12-01,596333.3333333334
2014-01-01,534500.0
2014-02-01,541750.0
2014-03-01,515142.85714285716
2014-04-01,572683.6923076923
2014-05-01,602898.9090909091
2014-06-01,572472.0
2014-07-01,483250.0
2014-08-01,515428.5714285714
2014-09-01,561428.5714285715
2014-10-01,517110.0
2014-11-01,489714.28571428574
2014-12-01,568300.0
2015-01-01,540177.6
2015-02-01,493666.6666666667
2015-03-01,535986.0
2015-04-01,506200.0
2015-05-01,544838.8
2015-06-01,553500.0
2015-07-01,569209.7777777778
2015-08-01,534250.0
2015-09-01,577000.0
2015-10-01,522600.0
2015-11-01,536000.0
2015-12-01,561916.6666666666
2016-01-01,578600.0
2016-02-01,613800.0
2016-03-01,535985.7142857143
2016-04-01,517333.3333333333
2016-05-01,586400.0
2016-06-01,552437.5
2016-07-01,578377.6
2016-08-01,564307.6923076923
2016-09-01,572771.4285714285
2016-10-01,540666.6666666666
2016-11-01,525875.0
2016-12-01,545000.0
2017-01-01,531377.6
2017-02-01,562200.0
2017-03-01,505231.3333333333
2017-04-01,583750.0
2017-05-01,554800.0
2017-06-01,549333.3333333334
2017-07-01,492988.8
2017-08-01,532877.6
2017-09-01,550142.8571428572
2017-10-01,556846.1538461539
2017-11-01,524250.0
2017-12-01,531998.6666666666
2018-01-01,501600.0
2018-02-01,550555.4285714285
2018-03-01,533766.6666666666
2018-04-01,552125.0
2018-05-01,553181.8181818182
2018-06-01,510551.21428571426
2018-07-01,559851.8095238095
2018-08-01,542115.3846153846
2018-09-01,524191.9285714286
2018-10-01,479481.3333333333
2018-11-01,548428.5714285715
2018-12-01,509857.14285714284
2019-01-01,588000.0
2019-02-01,496857.14285714284
2019-03-01,539300.0
2019-04-01,541800.0
2019-05-01,470984.0
2019-06-01,509680.5
2019-07-01,509714.28571428574
2019-08-01,526626.1818181818
2019-09-01,521625.0
2019-10-01,546642.8571428572
2019-11-01,485166.6666666667
2019-12-01,476666.6666666667
2020-01-01,492875.0
2020-02-01,452666.6666666667
2020-03-01,489392.85714285716
2020-04-01,527500.0
2020-05-01,492500.0
2020-06-01,515071.4285714286
2020-07-01,466488.86666666664
2020-08-01,480850.0
2020-09-01,478076.92307692306
2020-10-01,516333.3333333333
2020-11-01,525492.0
2020-12-01,516500.0
2021-01-01,544098.6666666666
2021-02-01,570000.0
2021-03-01,566692.3076923077
2021-04-01,523423.5
2021-05-01,562777.6
2021-06-01,533849.1428571428
2021-07-01,572181.8181818182
2021-08-01,549250.0
2021-09-01,560238.8
2021-10-01,560250.0
2021-11-01,603834.8571428572
2021-12-01,659750.0
2022-01-01,593979.6363636364
2022-02-01,564875.0
2022-03-01,533111.1111111111
2022-04-01,628069.8181818182
2022-05-01,655166.6666666666
2022-06-01,615212.9166666666
2022-07-01,600615.3846153846
2022-08-01,606909.0909090909
2022-09-01,630266.6666666666
2022-10-01,666694.0
2022-11-01,628206.2857142857
2022-12-01,555000.0
2023-01-01,632800.0
2023-02-01,639000.0
2023-03-01,525000.0
2023-04-01,575362.1875
2023-05-01,592010.0
2023-06-01,570000.125
2023-07-01,574698.25
2023-08-01,577896.125
2023-09-01,592950.25
2023-10-01,580001.875
2023-11-01,583683.75
2023-12-01,585526.0
2024-01-01,594801.5625
2024-02-01,584423.0
2024-03-01,563175.1875
2024-04-01,588548.75
2024-05-01,597491.125
2024-06-01,582076.375
2024-07-01,579958.25
2024-08-01,590875.25
2024-09-01,598546.125
2024-10-01,592308.1875
2024-11-01,589212.25
2024-12-01,598246.1875
2025-01-01,600593.0625
2025-02-01,596096.625
2025-03-01,572661.625
2025-04-01,596092.75
2025-05-01,608062.875
2025-06-01,589709.25
2025-07-01,589889.5625
2025-08-01,598465.5
2025-09-01,608997.0
2025-10-01,600132.125
2025-11-01,599280.625
2025-12-01,606090.3125
2026-01-01,610935.5
2026-02-01,604178.5625
2026-03-01,582213.875
2026-04-01,603555.8125
2026-05-01,618703.1875
2026-06-01,597281.375
2026-07-01,599885.875
2026-08-01,605981.0
2026-09-01,619515.25
2026-10-01,607895.4375
2026-11-01,609414.0
2026-12-01,613867.4375
2027-01-01,621341.75
2027-02-01,612206.25
2027-03-01,591831.125
2027-04-01,610938.625
2027-05-01,629410.6875
2027-06-01,604793.625
2027-07-01,609946.25
2027-08-01,613422.875
2027-09-01,630100.25
2027-10-01,615599.0
2027-11-01,619611.5625
2027-12-01,621578.375
2028-01-01,631810.875
2028-02-01,620180.0
2028-03-01,596474.5
