ds,y
2000-01-01,454166.6666666667
2000-02-01,411599.6
2000-04-01,400000.0
2000-05-01,431437.5
2000-06-01,405625.0
2000-07-01,415000.0
2000-08-01,411500.0
2000-09-01,415166.6666666667
2000-10-01,403000.0
2000-11-01,410000.0
2000-12-01,408000.0
2001-01-01,400500.0
2001-02-01,395944.0
2001-03-01,380000.0
2001-04-01,379642.85714285716
2001-05-01,352000.0
2001-06-01,388500.0
2001-07-01,355500.0
2001-08-01,380500.0
2001-09-01,401500.0
2001-10-01,379750.0
2001-11-01,355333.3333333333
2001-12-01,388333.3333333333
2002-01-01,345333.3333333333
2002-02-01,355000.0
2002-03-01,429333.3333333333
2002-04-01,387400.0
2002-05-01,465857.14285714284
2002-06-01,437673.5
2002-07-01,435438.22222222225
2002-08-01,414000.0
2002-09-01,431857.8947368421
2002-10-01,441991.3846153846
2002-11-01,397333.3333333333
2002-12-01,424781.25
2003-01-01,426687.5
2003-02-01,419442.85714285716
2003-03-01,384800.0
2003-04-01,460000.0
2003-05-01,416750.0
2003-06-01,414000.0
2003-07-01,420208.3333333333
2003-08-01,416798.5
2003-09-01,407833.3333333333
2003-10-01,385409.0909090909
2003-11-01,396000.0
2003-12-01,431466.6666666667
2004-01-01,411400.0
2004-02-01,404750.0
2004-03-01,383484.0
2004-04-01,425148.0
2004-05-01,398600.0
2004-06-01,358666.6666666667
2004-07-01,373520.8888888889
2004-08-01,377333.3333333333
2004-09-01,420800.0
2004-10-01,360833.3333333333
2004-11-01,372277.77777777775
2004-12-01,384285.71428571426
2005-01-01,383777.77777777775
2005-02-01,417250.0
2005-03-01,353900.0
2005-04-01,367600.0
2005-05-01,416500.0
2005-06-01,356850.0
2005-07-01,393260.0
2005-08-01,356333.3333333333
2005-09-01,391416.6666666667
2005-10-01,338776.44444444444
2005-11-01,389062.5
2005-12-01,352500.0
2006-01-01,376500.0
2006-02-01,358000.0
2006-03-01,350484.6153846154
2006-04-01,292500.0
2006-05-01,369600.0
2006-06-01,363725.0
2006-07-01,332000.0
2006-08-01,351916.6666666667
2006-09-01,359166.6666666667
2006-10-01,370666.6666666667
2006-11-01,401000.0
2006-12-01,383075.0
2007-01-01,393800.0
2007-02-01,386466.6666666667
2007-03-01,431250.0
2007-05-01,371333.3333333333
2007-06-01,381255.55555555556
2007-07-01,400900.0
2007-08-01,378333.3333333333
2007-09-01,457166.6666666667
2007-10-01,417000.0
2007-11-01,430000.0
2007-12-01,483750.0
2008-01-01,505142.85714285716
2008-02-01,449375.0
2008-03-01,450728.5714285714
2008-04-01,577250.0
2008-05-01,507000.0
2008-06-01,490500.0
2008-07-01,488888.8888888889
2008-08-01,503750.0
2008-09-01,473857.14285714284
2008-10-01,527800.0
2008-11-01,515000.0
2008-12-01,439800.0
2009-01-01,532500.0
2009-02-01,499000.0
2009-03-01,464250.0
2009-04-01,476962.6666666667
2009-05-01,451000.0
2009-06-01,489080.0
2009-07-01,471166.6666666667
2009-08-01,469983.3333333333
2009-09-01,513500.0
2009-10-01,520285.71428571426
2009-11-01,531200.0
2009-12-01,538576.9230769231
2010-01-01,561400.0
2010-02-01,518000.0
2010-03-01,514250.0
2010-04-01,561666.6666666666
2010-05-01,472357.14285714284
2010-06-01,555000.0
2010-07-01,541846.1538461539
2010-08-01,596833.3333333334
2010-09-01,629500.0
2010-10-01,600555.4285714285
2010-11-01,538444.0
2010-12-01,597666.6666666666
2011-01-01,555333.3333333334
2011-02-01,570000.0
2011-03-01,585200.0
2011-04-01,601000.0
2011-05-01,563800.0
2011-06-01,620750.0
2011-07-01,619000.0
2011-08-01,640500.0
2011-10-01,636800.0
2011-11-01,636962.6666666666
2011-12-01,595000.0
2012-01-01,704333.3333333334
2012-02-01,613750.0
2012-03-01,693500.0
2012-04-01,620266.6666666666
2012-05-01,663500.0
2012-06-01,675400.0
2012-07-01,703333.3333333334
2012-08-01,627696.0
2012-09-01,810000.0
2012-10-01,655000.0
2012-11-01,694500.0
2012-12-01,628600.0
2013-01-01,665000.0
2013-03-01,618500.0
2013-04-01,664750.0
2013-05-01,671980.0
2013-06-01,700600.0
2013-07-01,772800.0
2013-08-01,630000.0
2013-09-01,690000.0
2013-10-01,762600.0
2014-01-01,702500.0
2014-03-01,801500.0
2014-04-01,734000.0
2014-05-01,614333.3333333334
2014-07-01,754333.3333333334
2014-08-01,629333.3333333334
2014-09-01,681750.0
2014-10-01,700500.0
2015-01-01,678000.0
2015-02-01,618000.0
2015-04-01,660000.0
2015-05-01,735125.0
2015-06-01,710000.0
2015-07-01,689800.0
2015-08-01,685666.6666666666
2015-09-01,664000.0
2015-10-01,700000.0
2015-11-01,790000.0
2015-12-01,720000.0
2016-01-01,666000.0
2016-02-01,565000.0
2016-03-01,785000.0
2016-04-01,757472.0
2016-05-01,714814.6666666666
2016-06-01,727500.0
2016-07-01,678750.0
2016-08-01,651500.0
2016-09-01,700600.0
2016-10-01,639800.0
2016-11-01,695000.0
2016-12-01,705500.0
2017-01-01,500000.0
2017-02-01,747000.0
2017-03-01,745000.0
2017-04-01,769000.0
2017-05-01,575000.0
2017-06-01,687750.0
2017-07-01,781000.0
2017-08-01,737750.0
2017-09-01,631000.0
2017-10-01,705500.0
2017-11-01,680722.0
2017-12-01,645002.6666666666
2018-01-01,860000.0
2018-02-01,775000.0
2018-03-01,673750.0
2018-04-01,642500.0
2018-05-01,825000.0
2018-06-01,709600.0
2018-07-01,637314.6666666666
2018-08-01,776500.0
2018-09-01,596666.6666666666
2018-10-01,648285.7142857143
2018-11-01,655648.0
2018-12-01,610200.0
2019-01-01,656200.0
2019-02-01,703997.6
2019-03-01,639500.0
2019-04-01,766669.3333333334
2019-05-01,603250.0
2019-06-01,639375.0
2019-07-01,539000.0
2019-08-01,559333.3333333334
2019-09-01,619333.3333333334
2019-10-01,607666.6666666666
2019-11-01,741200.0
2019-12-01,680000.0
2020-01-01,645000.0
2020-02-01,702500.0
2020-03-01,672600.0
2020-04-01,670000.0
2020-06-01,548333.3333333334
2020-07-01,673000.0
2020-08-01,675400.0
2020-09-01,644166.6666666666
2020-10-01,683700.0
2020-11-01,715600.0
2020-12-01,654428.5714285715
2021-01-01,691375.0
2021-02-01,665142.8571428572
2021-03-01,712333.3333333334
2021-04-01,728344.4444444445
2021-05-01,757031.3333333334
2021-06-01,730642.8571428572
2021-07-01,705142.8571428572
2021-08-01,754777.7777777778
