ds,y
2000-01-01,321887.5
2000-02-01,318308.82352941175
2000-03-01,313955.2631578947
2000-04-01,315723.40425531915
2000-05-01,323076.875
2000-06-01,314343.63636363635
2000-07-01,317565.4736842105
2000-08-01,308519.04761904763
2000-09-01,306572.5
2000-10-01,306016.39344262297
2000-11-01,299883.4418604651
2000-12-01,303851.4285714286
2001-01-01,293205.1282051282
2001-02-01,291601.46153846156
2001-03-01,290645.8333333333
2001-04-01,287961.53846153844
2001-05-01,286401.79591836734
2001-06-01,282618.7368421053
2001-07-01,276092.98245614034
2001-08-01,279922.22222222225
2001-09-01,276106.77966101695
2001-10-01,271418.25
2001-11-01,276423.9130434783
2001-12-01,274470.84444444446
2002-01-01,274400.0
2002-02-01,275880.53846153844
2002-03-01,274440.0
2002-04-01,267110.5263157895
2002-05-01,270495.4285714286
2002-06-01,270408.6222222222
2002-07-01,268306.6666666667
2002-08-01,269202.12765957444
2002-09-01,267516.44444444444
2002-10-01,269808.85714285716
2002-11-01,271548.22857142857
2002-12-01,267868.1818181818
2003-01-01,264737.8095238095
2003-02-01,252688.0
2003-03-01,265141.1666666667
2003-04-01,278583.87096774194
2003-05-01,270888.8888888889
2003-06-01,267950.0
2003-07-01,271357.14285714284
2003-08-01,274635.52
2003-09-01,266994.28571428574
2003-10-01,267119.44444444444
2003-11-01,280141.0256410256
2003-12-01,282880.0
2004-01-01,281911.9024390244
2004-02-01,290367.42424242425
2004-03-01,280165.7894736842
2004-04-01,281086.75
2004-05-01,282886.1621621622
2004-06-01,285587.8095238095
2004-07-01,283204.54545454547
2004-08-01,280343.75
2004-09-01,285350.0
2004-10-01,278529.8888888889
2004-11-01,291875.6842105263
2004-12-01,284477.8095238095
2005-01-01,288152.2727272727
2005-02-01,272134.7
2005-03-01,288080.0
2005-04-01,276469.0909090909
2005-05-01,291509.0909090909
2005-06-01,269230.1224489796
2005-07-01,273268.9655172414
2005-08-01,276234.8108108108
2005-09-01,264093.08
2005-10-01,271263.76
2005-11-01,270004.2727272727
2005-12-01,267388.8888888889
2006-01-01,280386.6956521739
2006-02-01,271455.55555555556
2006-03-01,275007.5
2006-04-01,276081.2727272727
2006-05-01,272343.76923076925
2006-06-01,277505.2075471698
2006-07-01,274318.1818181818
2006-08-01,276379.3541666667
2006-09-01,265645.9459459459
2006-10-01,271408.6222222222
2006-11-01,275600.0
2006-12-01,269803.3333333333
2007-01-01,274718.36734693876
2007-02-01,269779.7
2007-03-01,278472.0
2007-04-01,282067.7073170732
2007-05-01,269118.0
2007-06-01,288874.0512820513
2007-07-01,277318.76
2007-08-01,282989.79591836734
2007-09-01,289927.17391304346
2007-10-01,294988.09523809527
2007-11-01,302840.0
2007-12-01,303972.4688888889
2008-01-01,321750.0
2008-02-01,303069.76744186046
2008-03-01,328026.5833333333
