ds,y
2000-01-01,423363.63636363635
2000-02-01,421225.0
2000-03-01,437873.9130434783
2000-04-01,437680.0
2000-05-01,438666.6666666667
2000-06-01,431309.0909090909
2000-07-01,428208.3333333333
2000-08-01,427552.23076923075
2000-09-01,420300.0
2000-10-01,419190.0
2000-11-01,419794.1176470588
2000-12-01,399617.64705882355
2001-01-01,398152.17391304346
2001-02-01,397173.9130434783
2001-03-01,403860.0
2001-04-01,388110.0
2001-05-01,391100.0
2001-06-01,378866.6666666667
2001-07-01,370954.54545454547
2001-08-01,371869.0
2001-09-01,373300.0
2001-10-01,367250.0
2001-11-01,363917.39130434784
2001-12-01,360003.4482758621
2002-01-01,369740.74074074073
2002-02-01,361538.46153846156
2002-03-01,364173.07692307694
2002-04-01,362875.0
2002-05-01,363340.0
2002-06-01,358395.8333333333
2002-07-01,362775.52
2002-08-01,363318.1818181818
2002-09-01,361638.8888888889
2002-10-01,366770.8333333333
2002-11-01,366688.8
2002-12-01,353909.0909090909
2003-01-01,350440.0
2003-02-01,350760.0
2003-03-01,341687.5
2003-04-01,363666.6666666667
2003-05-01,363166.6666666667
2003-06-01,350900.0
2003-07-01,369166.6666666667
2003-08-01,354857.14285714284
2003-09-01,379042.85714285716
2003-10-01,358500.0
2003-11-01,338269.71428571426
2003-12-01,349625.0
2004-01-01,368500.0
2004-02-01,350133.3333333333
2004-03-01,342428.5714285714
2004-04-01,334654.22222222225
2004-05-01,351750.0
2004-06-01,347820.8888888889
2004-07-01,340625.0
2004-08-01,323600.0
2004-09-01,327318.1818181818
2004-10-01,349833.3333333333
2004-11-01,341200.0
2004-12-01,358429.75
2005-01-01,347106.3333333333
2005-02-01,330400.0
2005-03-01,317963.15789473685
2005-04-01,338047.0588235294
2005-05-01,331333.3333333333
2005-06-01,330538.46153846156
2005-07-01,317461.53846153844
2005-08-01,310200.0
2005-09-01,318800.0
2005-10-01,315566.6666666667
2005-11-01,314905.55555555556
2005-12-01,323272.7272727273
2006-01-01,309000.0
2006-02-01,322750.0
2006-03-01,328000.0
2006-04-01,317368.4210526316
2006-05-01,310888.8888888889
2006-06-01,318718.75
2006-07-01,328000.0
2006-08-01,324933.3333333333
2006-09-01,319991.3846153846
2006-10-01,318659.2
2006-11-01,297500.0
2006-12-01,317038.46153846156
2007-01-01,335970.5882352941
2007-02-01,314500.0
2007-03-01,322222.1538461539
2007-04-01,337375.0
2007-05-01,323225.86666666664
2007-06-01,338500.0
2007-07-01,336375.0
2007-08-01,327380.0
2007-09-01,352562.5
2007-10-01,331125.0
2007-11-01,350000.0
2007-12-01,357928.8
2008-01-01,366555.55555555556
2008-02-01,354981.8181818182
2008-03-01,355000.0
2008-04-01,362222.22222222225
2008-05-01,370133.3333333333
2008-06-01,379461.53846153844
2008-07-01,391571.4285714286
2008-08-01,392088.23529411765
2008-09-01,406600.0
2008-10-01,400357.8947368421
2008-11-01,406386.6666666667
2008-12-01,406642.85714285716
2009-01-01,422730.76923076925
2009-02-01,413925.0
2009-03-01,414636.36363636365
2009-04-01,399727.2727272727
2009-05-01,404321.4285714286
2009-06-01,393059.2
2009-07-01,426785.71428571426
2009-08-01,423352.9411764706
2009-09-01,433785.94736842107
2009-10-01,443239.1304347826
2009-11-01,436323.5294117647
2009-12-01,441268.4210526316
2010-01-01,450504.54545454547
2010-02-01,462410.71428571426
2010-03-01,459637.5294117647
2010-04-01,460105.2631578947
2010-05-01,463667.63636363635
2010-06-01,444352.9411764706
2010-07-01,474807.6923076923
2010-08-01,478955.2
2010-09-01,510869.5652173913
2010-10-01,485619.04761904763
2010-11-01,490008.3333333333
2010-12-01,508862.572631579
2011-01-01,513824.0
2011-02-01,498437.5238095238
2011-03-01,489812.5
2011-04-01,493083.3333333333
2011-05-01,512153.8461538461
2011-06-01,530444.3888888889
2011-07-01,546229.4666666667
2011-08-01,557818.1818181818
2011-09-01,547688.8
2011-10-01,544714.2857142857
2011-11-01,565428.5714285715
2011-12-01,560136.3636363636
2012-01-01,587444.4444444445
2012-02-01,554750.0
2012-03-01,551384.6153846154
2012-04-01,566646.8260869565
2012-05-01,570493.1034482758
2012-06-01,559512.0
2012-07-01,585833.3333333334
2012-08-01,599871.0
2012-09-01,581600.0
2012-10-01,590042.1052631579
2012-11-01,594513.0434782609
2012-12-01,572250.0
2013-01-01,581816.9411764706
2013-02-01,589000.0
2013-03-01,605544.4444444445
2013-04-01,600925.8666666667
2013-05-01,597799.1428571428
2013-06-01,611485.7142857143
2013-07-01,584600.0
2013-08-01,610052.3636363636
2013-09-01,600000.0
2013-10-01,580569.8823529412
2013-11-01,584375.0
2013-12-01,559777.7777777778
2014-01-01,550333.3333333334
2014-02-01,565199.9
2014-03-01,580944.3636363636
2014-04-01,583727.2727272727
2014-05-01,554200.0
2014-06-01,590666.6666666666
2014-07-01,578252.0
2014-08-01,578985.6428571428
2014-09-01,577816.9411764706
2014-10-01,588593.2666666667
2014-11-01,587461.5384615385
2014-12-01,577432.0
2015-01-01,562923.0769230769
2015-02-01,555625.0
2015-03-01,578986.0
2015-04-01,558136.3636363636
2015-05-01,576392.5333333333
2015-06-01,570004.0
2015-07-01,577432.0
2015-08-01,545388.8
2015-09-01,567816.9411764706
2015-10-01,570500.0
2015-11-01,546000.0
2015-12-01,567992.0
2016-01-01,615166.6666666666
2016-02-01,554083.3333333334
2016-03-01,568905.1764705882
2016-04-01,542324.0
2016-05-01,571125.8666666667
2016-06-01,553126.8571428572
2016-07-01,549300.0
2016-08-01,545618.0
2016-09-01,570907.3333333334
2016-10-01,579076.9230769231
2016-11-01,588555.5555555555
2016-12-01,600820.0
2017-01-01,574166.6666666666
2017-03-01,582548.5
2017-04-01,562718.1818181818
2017-05-01,556941.1764705882
2017-06-01,537142.8571428572
2017-07-01,581188.8
2017-08-01,580363.6363636364
2017-09-01,562563.4285714285
2017-10-01,542000.0
2017-11-01,525941.1764705882
2017-12-01,548281.25
2018-01-01,557977.6
2018-02-01,552543.1111111111
2018-03-01,537311.04
2018-04-01,556277.7777777778
2018-05-01,594251.7333333333
2018-06-01,530529.8461538461
2018-07-01,554975.0
2018-08-01,525706.9090909091
2018-09-01,528957.4117647059
2018-10-01,530920.5714285715
2018-11-01,560668.3076923077
2018-12-01,524965.3333333334
2019-01-01,519277.77777777775
2019-02-01,532600.0
2019-03-01,539984.0
2019-04-01,528543.1111111111
2019-05-01,556638.8
2019-06-01,533615.3846153846
2019-07-01,572011.0752000001
2019-08-01,529993.4117647059
2019-09-01,544642.8571428572
2019-10-01,526572.7272727273
2019-11-01,552920.5714285715
2019-12-01,547447.75
2020-01-01,539805.5
2020-02-01,543875.0
2020-03-01,542792.5333333333
2020-04-01,550000.0
2020-05-01,573666.6666666666
2020-06-01,531375.0
2020-07-01,551666.6666666666
2020-08-01,540954.75
2020-09-01,559083.3333333334
2020-10-01,566854.9565217391
2020-11-01,580348.3636363636
2020-12-01,590046.7368421053
2021-01-01,561287.0
2021-02-01,589562.5
2021-03-01,586714.2857142857
2021-04-01,589907.3333333334
2021-05-01,576718.1818181818
2021-06-01,589430.5
2021-07-01,621166.6666666666
2021-08-01,642126.8571428572
2021-09-01,621568.4705882353
2021-10-01,641856.1176470588
2021-11-01,628082.947368421
2021-12-01,633100.0
2022-01-01,632328.5714285715
2022-02-01,649836.2105263158
2022-03-01,620875.0
2022-04-01,662329.75
2022-05-01,662320.8888888889
2022-06-01,678989.8181818182
2022-07-01,670457.4117647059
2022-08-01,666312.5
2022-09-01,664812.5
2022-10-01,671567.1578947369
2022-11-01,698427.1111111111
2022-12-01,696100.0
2023-01-01,696526.3157894737
2023-02-01,693414.2857142857
2023-03-01,690000.0
2023-04-01,636303.0
2023-05-01,654375.25
2023-06-01,637064.6875
2023-07-01,663218.125
2023-08-01,649582.5625
2023-09-01,662184.0
2023-10-01,653309.5
2023-11-01,669447.125
2023-12-01,659589.0
2024-01-01,665572.0
2024-02-01,654216.5
2024-03-01,659535.3125
2024-04-01,662855.5
2024-05-01,665523.5
2024-06-01,663831.0
2024-07-01,674694.9375
2024-08-01,676990.4375
2024-09-01,673125.625
2024-10-01,680783.0
2024-11-01,680681.5625
2024-12-01,687043.625
2025-01-01,676179.5
2025-02-01,680812.625
2025-03-01,680964.125
2025-04-01,678885.9375
2025-05-01,687333.75
2025-06-01,679631.625
2025-07-01,696801.375
2025-08-01,693254.5
2025-09-01,695084.75
2025-10-01,697064.1875
2025-11-01,702831.3125
2025-12-01,703542.875
2026-01-01,698033.0
2026-02-01,696992.1875
2026-03-01,702648.0625
2026-04-01,694640.25
2026-05-01,709421.625
2026-06-01,695147.5625
2026-07-01,719181.6875
2026-08-01,709231.125
2026-09-01,717332.8125
2026-10-01,713060.0
2026-11-01,725264.75
2026-12-01,719764.25
2027-01-01,720176.25
2027-02-01,712902.625
2027-03-01,724584.125
2027-04-01,710120.625
2027-05-01,731784.0625
2027-06-01,710381.25
2027-07-01,741833.0
2027-08-01,724922.75
2027-09-01,739868.0
2027-10-01,728772.9375
2027-11-01,747979.75
2027-12-01,735710.25
2028-01-01,742607.375
2028-02-01,728545.125
2028-03-01,734661.5
