ds,y
2009-08-01,190000.0
2011-01-01,240000.0
2011-02-01,233000.0
2014-07-01,280000.0
2014-08-01,276500.0
2017-04-01,238000.0
2018-05-01,180000.0
2021-01-01,230000.0
2021-04-01,240000.0
2021-04-30,180841.359375
2021-05-31,303312.1875
2021-06-30,249793.734375
2021-07-31,242450.3125
2021-08-31,158329.875
2021-09-30,257354.90625
2021-10-31,108665.2734375
2021-11-30,315381.625
2021-12-31,241447.4375
2022-01-31,230899.21875
2022-02-28,247186.1875
2022-03-31,231795.03125
2022-04-30,181149.828125
2022-05-31,295924.9375
2022-06-30,247312.09375
2022-07-31,239085.6875
2022-08-31,159761.6875
2022-09-30,252955.28125
2022-10-31,113116.46875
2022-11-30,306149.6875
2022-12-31,240262.375
2023-01-31,226981.90625
2023-02-28,244404.46875
2023-03-31,228799.015625
2023-04-30,181440.9375
2023-05-31,288636.75
2023-06-30,244726.640625
2023-07-31,235723.53125
2023-08-31,161184.9375
2023-09-30,248567.3125
2023-10-31,117526.828125
2023-11-30,297125.625
2023-12-31,238866.9375
2024-01-31,223197.078125
2024-02-29,238646.109375
2024-03-31,226744.40625
2024-04-30,180419.40625
2024-05-31,285503.375
2024-06-30,238162.703125
2024-07-31,232984.59375
2024-08-31,161417.125
2024-09-30,245691.1875
2024-10-31,119144.765625
2024-11-30,296117.75
2024-12-31,230002.984375
2025-01-31,223966.34375
2025-02-28,235863.59375
2025-03-31,223766.59375
2025-04-30,180671.140625
2025-05-31,278257.75
2025-06-30,235553.703125
2025-07-31,229653.15625
2025-08-31,162789.84375
2025-09-30,241366.75
2025-10-31,123474.09375
2025-11-30,287156.59375
2025-12-31,228579.65625
2026-01-31,220192.78125
2026-02-28,232996.65625
2026-03-31,220806.8125
