MAE,RMSE,Loss,RegLoss,epoch
105729.1796875,134974.75,0.2300676554441452,0.0,0
99344.4765625,126459.6484375,0.2067902535200119,0.0,1
95636.0,121903.4296875,0.19374270737171173,0.0,2
90004.078125,115699.9453125,0.17567656934261322,0.0,3
84803.0078125,109826.2734375,0.15908168256282806,0.0,4
79142.0,103451.78125,0.14163325726985931,0.0,5
74646.0859375,96323.453125,0.12797527015209198,0.0,6
68913.5625,88528.484375,0.10998773574829102,0.0,7
64583.96484375,84952.3828125,0.09693820029497147,0.0,8
60647.54296875,78998.921875,0.08526858687400818,0.0,9
56807.1953125,73249.1796875,0.0745488628745079,0.0,10
52478.640625,67575.3203125,0.06317732483148575,0.0,11
49042.94140625,63882.01953125,0.054582379758358,0.0,12
45191.17578125,58430.58984375,0.04624506086111069,0.0,13
42176.4765625,53657.07421875,0.03975922241806984,0.0,14
38525.73828125,49564.6328125,0.0326140820980072,0.0,15
35417.515625,44831.078125,0.027006560936570168,0.0,16
32330.625,40899.6953125,0.021911965683102608,0.0,17
30294.4765625,38007.91796875,0.018448736518621445,0.0,18
29114.0078125,35253.41015625,0.015957554802298546,0.0,19
28051.916015625,33470.06640625,0.01413953211158514,0.0,20
26842.68359375,31933.021484375,0.01268786285072565,0.0,21
25807.935546875,30707.689453125,0.011676711961627007,0.0,22
25202.873046875,29446.94921875,0.010951695963740349,0.0,23
24941.587890625,29191.40234375,0.010478678159415722,0.0,24
24005.392578125,28019.869140625,0.009762609377503395,0.0,25
23338.013671875,26993.830078125,0.009164323098957539,0.0,26
22776.25390625,26525.63671875,0.0087448013946414,0.0,27
22449.69140625,26075.720703125,0.008440140634775162,0.0,28
21813.076171875,25363.482421875,0.008063431829214096,0.0,29
21274.83203125,24773.892578125,0.007781639229506254,0.0,30
20341.201171875,23913.126953125,0.007247789762914181,0.0,31
19803.798828125,23391.22265625,0.006935321260243654,0.0,32
19363.9765625,22768.5546875,0.006649365182965994,0.0,33
18534.666015625,22217.33203125,0.0063203489407896996,0.0,34
18694.568359375,22188.45703125,0.006426650565117598,0.0,35
18178.291015625,21670.72265625,0.006164917256683111,0.0,36
17125.16796875,20506.814453125,0.005560056772083044,0.0,37
16966.462890625,20543.044921875,0.005596567876636982,0.0,38
16203.728515625,19816.849609375,0.00519525445997715,0.0,39
15845.8154296875,19475.388671875,0.005079710390418768,0.0,40
15852.673828125,19330.8125,0.0049865394830703735,0.0,41
15326.908203125,19360.52734375,0.004966726992279291,0.0,42
14818.53125,18382.439453125,0.004560994450002909,0.0,43
15292.2041015625,18611.048828125,0.004723342601209879,0.0,44
14513.658203125,18381.986328125,0.00463316822424531,0.0,45
14554.5185546875,18132.720703125,0.004631546325981617,0.0,46
14330.9990234375,17593.423828125,0.0043570613488554955,0.0,47
14382.9287109375,18170.0234375,0.004533320665359497,0.0,48
13363.2529296875,16963.99609375,0.004049271810799837,0.0,49
14435.974609375,17873.880859375,0.004279783461242914,0.0,50
13149.2939453125,16519.0078125,0.003952423110604286,0.0,51
12836.91015625,16598.701171875,0.00378409749828279,0.0,52
12915.9228515625,16471.205078125,0.0038418711628764868,0.0,53
13200.4365234375,17157.068359375,0.004061139654368162,0.0,54
12483.7294921875,16002.3525390625,0.003642651252448559,0.0,55
12350.7509765625,15996.79296875,0.00361884874291718,0.0,56
12908.4052734375,16446.49609375,0.003930949606001377,0.0,57
12320.28125,16084.4306640625,0.0036714719608426094,0.0,58
12190.236328125,16257.7666015625,0.003751229727640748,0.0,59
13019.6162109375,17079.025390625,0.00424549076706171,0.0,60
14167.5751953125,18275.66796875,0.004806562792509794,0.0,61
12601.09375,16610.693359375,0.004009815864264965,0.0,62
