MAE,RMSE,Loss,RegLoss,epoch
1573683.5,1921134.5,2.3941900730133057,0.0,0
1579341.5,1916866.5,2.4049010276794434,0.0,1
1538815.5,1879233.75,2.3372106552124023,0.0,2
1514793.0,1846346.0,2.3083882331848145,0.0,3
1495980.5,1804696.125,2.28130841255188,0.0,4
1473259.625,1776127.0,2.204056739807129,0.0,5
1425037.875,1709332.5,2.1360201835632324,0.0,6
1382429.75,1667131.625,2.061922788619995,0.0,7
1348369.375,1599299.125,1.9751627445220947,0.0,8
1292092.875,1530888.375,1.8782942295074463,0.0,9
1256786.875,1480705.875,1.8308347463607788,0.0,10
1181720.5,1382952.75,1.6887236833572388,0.0,11
1087949.875,1267866.5,1.5164486169815063,0.0,12
1003837.875,1156803.375,1.3588881492614746,0.0,13
886609.875,1012418.5625,1.1551872491836548,0.0,14
797877.3125,904580.125,0.9905020594596863,0.0,15
657465.25,738716.375,0.7379971146583557,0.0,16
526484.75,590122.0625,0.5099712014198303,0.0,17
388898.84375,445768.84375,0.29885485768318176,0.0,18
286675.84375,337676.0625,0.1765071004629135,0.0,19
231579.140625,287321.125,0.1341070532798767,0.0,20
215696.90625,279484.6875,0.13762684166431427,0.0,21
186403.703125,247829.1875,0.11083419620990753,0.0,22
171215.34375,226075.421875,0.09405668824911118,0.0,23
162186.65625,214987.1875,0.08016970753669739,0.0,24
150360.765625,192993.3125,0.06425030529499054,0.0,25
137612.796875,173636.1875,0.05209002643823624,0.0,26
125586.3359375,160909.0625,0.04314872622489929,0.0,27
115093.8671875,149542.5,0.0366300605237484,0.0,28
105648.1640625,141536.890625,0.03223921358585358,0.0,29
95130.3515625,129616.5703125,0.02712908573448658,0.0,30
90169.359375,123414.78125,0.024502627551555634,0.0,31
86160.6796875,117923.8359375,0.022456489503383636,0.0,32
79600.1640625,109485.078125,0.01906660385429859,0.0,33
75135.2578125,101072.453125,0.016793180257081985,0.0,34
73721.65625,96264.34375,0.01575704663991928,0.0,35
71303.953125,92470.71875,0.01446208730340004,0.0,36
69820.53125,90260.40625,0.013594310730695724,0.0,37
68768.8046875,85997.390625,0.01298498548567295,0.0,38
68288.1328125,86616.09375,0.012593468651175499,0.0,39
65909.4140625,83452.890625,0.011981528252363205,0.0,40
64693.66796875,81528.1328125,0.011439088732004166,0.0,41
65013.33984375,81084.3359375,0.011353768408298492,0.0,42
63249.33984375,77641.953125,0.010816282592713833,0.0,43
64852.78515625,78877.59375,0.01094816718250513,0.0,44
62319.6796875,76518.0625,0.010529633611440659,0.0,45
62340.6875,75306.1328125,0.010266860015690327,0.0,46
60984.828125,73673.5078125,0.009956305846571922,0.0,47
61372.546875,73597.03125,0.009802392683923244,0.0,48
59132.375,72253.3046875,0.009480716660618782,0.0,49
59681.5078125,71942.4453125,0.00935652107000351,0.0,50
58904.5703125,71276.2578125,0.009222910739481449,0.0,51
57285.95703125,70344.9140625,0.008875427767634392,0.0,52
56048.84765625,68228.453125,0.008479314856231213,0.0,53
56194.13671875,67403.5625,0.008433900773525238,0.0,54
54794.6484375,65086.1171875,0.008007770404219627,0.0,55
54620.84375,65232.85546875,0.008223684504628181,0.0,56
54582.6875,65199.09765625,0.008261711336672306,0.0,57
54216.3671875,65562.2421875,0.008059442043304443,0.0,58
52565.58984375,62526.83984375,0.007500883657485247,0.0,59
52521.21484375,63919.46484375,0.0078069111332297325,0.0,60
51503.453125,61751.77734375,0.007450364530086517,0.0,61
50174.01953125,60821.02734375,0.007059754803776741,0.0,62
50725.953125,60730.21484375,0.0074532669968903065,0.0,63
48106.95703125,57714.76953125,0.0066074468195438385,0.0,64
47843.9140625,57719.41796875,0.0065858266316354275,0.0,65
46249.48046875,57071.9140625,0.006428220774978399,0.0,66
45952.890625,55842.65625,0.006261629518121481,0.0,67
45760.16796875,55442.640625,0.006181268021464348,0.0,68
44827.96484375,54808.5703125,0.006063454318791628,0.0,69
44905.37890625,53861.80859375,0.006081052124500275,0.0,70
44089.6484375,54116.296875,0.006075458601117134,0.0,71
43522.7421875,53266.609375,0.005888557527214289,0.0,72
42958.4296875,52943.29296875,0.005975114647299051,0.0,73
42827.64453125,52843.203125,0.005778973922133446,0.0,74
42327.34375,51637.66796875,0.005581871140748262,0.0,75
42272.4296875,52675.046875,0.005995916202664375,0.0,76
40565.90234375,49368.8828125,0.005332784727215767,0.0,77
38522.40625,48308.73828125,0.004987784661352634,0.0,78
39700.8359375,49469.4609375,0.0052732015028595924,0.0,79
38968.8828125,49238.23046875,0.005284510087221861,0.0,80
37885.08203125,48485.53125,0.005107945296913385,0.0,81
38978.84765625,48539.921875,0.005114739760756493,0.0,82
37228.7421875,46875.5703125,0.004839025903493166,0.0,83
36766.109375,46669.46484375,0.004769505932927132,0.0,84
37338.2265625,47698.015625,0.00498290965333581,0.0,85
37654.6171875,47940.9453125,0.0051308926194906235,0.0,86
36921.875,46442.55078125,0.00483977934345603,0.0,87
36212.92578125,46997.47265625,0.0049309683963656425,0.0,88
36144.03125,45797.76953125,0.00475006178021431,0.0,89
35762.37109375,45850.484375,0.004704595543444157,0.0,90
35784.87109375,45815.25,0.004855296574532986,0.0,91
35277.671875,44887.203125,0.004570794757455587,0.0,92
34312.44140625,43924.5390625,0.004512308165431023,0.0,93
