ds,y
2000-01-01,302380.76923076925
2000-02-01,302410.9375
2000-03-01,303761.4285714286
2000-04-01,294556.5789473684
2000-05-01,291433.3333333333
2000-06-01,289140.07476635516
2000-07-01,285149.2469135802
2000-08-01,282641.4382022472
2000-09-01,280619.84810126584
2000-10-01,282510.79452054796
2000-11-01,275874.98214285716
2000-12-01,273985.5
2001-01-01,272383.72093023255
2001-02-01,270955.81395348837
2001-03-01,270678.94736842107
2001-04-01,266778.26086956525
2001-05-01,260619.44444444444
2001-06-01,259874.54545454544
2001-07-01,257464.38356164383
2001-08-01,260968.75862068965
2001-09-01,255318.64406779662
2001-10-01,252722.64150943398
2001-11-01,252438.87272727274
2001-12-01,250926.74576271186
2002-01-01,247004.37209302327
2002-02-01,248725.8260869565
2002-03-01,245448.48076923078
2002-04-01,247229.6222222222
2002-05-01,245885.0
2002-06-01,248465.7894736842
2002-07-01,247495.2340425532
2002-08-01,250161.52631578947
2002-09-01,245963.09523809524
2002-10-01,250746.2142857143
2002-11-01,250076.92307692306
2002-12-01,249065.36363636365
2003-01-01,244797.2972972973
2003-02-01,246741.93548387097
2003-03-01,250713.94285714286
2003-04-01,250640.74074074073
2003-05-01,248445.7142857143
2003-06-01,257089.2857142857
2003-07-01,251232.0
2003-08-01,250842.95652173914
2003-09-01,255320.75862068965
2003-10-01,257550.0
2003-11-01,254369.1
2003-12-01,260474.2857142857
2004-01-01,254441.17647058822
2004-02-01,254503.65853658537
2004-03-01,253428.57142857142
2004-04-01,253535.52
2004-05-01,248428.57142857142
2004-06-01,248752.125
2004-07-01,250993.33333333334
2004-08-01,244276.0
2004-09-01,243964.0
2004-10-01,245483.12903225806
2004-11-01,246672.41379310345
2004-12-01,247224.24242424243
2005-01-01,243306.4516129032
2005-02-01,245283.33333333334
2005-03-01,241829.41176470587
2005-04-01,237284.04545454544
2005-05-01,241082.35294117648
2005-06-01,237000.0
2005-07-01,236172.41379310345
2005-08-01,234975.60975609755
2005-09-01,232756.75675675675
2005-10-01,231782.35294117648
2005-11-01,239775.0
2005-12-01,237173.07692307694
2006-01-01,234315.5625
2006-02-01,236577.77777777778
2006-03-01,241451.61290322582
2006-04-01,236791.66666666666
2006-05-01,233521.88888888888
2006-06-01,235383.33333333334
2006-07-01,239605.26315789475
2006-08-01,243575.0
2006-09-01,236712.12121212122
2006-10-01,234428.57142857142
2006-11-01,244241.93548387097
2006-12-01,239366.22222222222
2007-01-01,241057.14285714287
2007-02-01,238734.61538461538
2007-03-01,242625.0
2007-04-01,250687.5294117647
2007-05-01,245052.0
2007-06-01,256477.27272727274
2007-07-01,255294.11764705883
2007-08-01,250328.125
2007-09-01,258314.70588235295
2007-10-01,266683.3333333333
2007-11-01,263791.6666666667
2007-12-01,282650.0
2008-01-01,284666.6666666667
2008-02-01,280650.0
2008-03-01,281810.6666666667
2008-04-01,300581.11627906974
2008-05-01,306157.8947368421
2008-06-01,312936.5925925926
2008-07-01,303550.0
2008-08-01,316207.23076923075
2008-09-01,319807.6923076923
2008-10-01,319277.77777777775
2008-11-01,330933.3333333333
2008-12-01,330268.0
2009-01-01,326297.25925925927
2009-02-01,329504.88
2009-03-01,327450.0
2009-04-01,324991.3043478261
2009-05-01,330666.6666666667
2009-06-01,331582.5
2009-07-01,323868.4210526316
2009-08-01,327212.0
2009-09-01,327972.36363636365
2009-10-01,338505.71428571426
2009-11-01,340500.0
2009-12-01,350421.8888888889
2010-01-01,344710.1621621622
2010-02-01,352536.8
2010-03-01,351721.47826086957
2010-04-01,358362.5
2010-05-01,364617.64705882355
2010-06-01,366814.34146341466
2010-07-01,370479.7818181818
2010-08-01,381212.525
2010-09-01,389511.3488372093
2010-10-01,382638.70967741933
2010-11-01,392750.0
2010-12-01,397155.52
2011-01-01,398645.8333333333
2011-02-01,400850.0
2011-03-01,405433.3333333333
2011-04-01,403860.0
2011-05-01,407474.24
2011-06-01,418799.84
2011-07-01,421788.46153846156
2011-08-01,424158.5862068966
2011-09-01,427142.85714285716
2011-10-01,422299.36842105264
2011-11-01,438178.5714285714
2011-12-01,433653.8461538461
2012-01-01,442845.8333333333
2012-02-01,446908.3333333333
2012-03-01,439203.125
2012-04-01,434059.25925925927
2012-05-01,438412.125
2012-06-01,443555.5294117647
2012-07-01,441984.7
2012-08-01,447189.65714285715
2012-09-01,459088.84210526315
2012-10-01,455535.71428571426
2012-11-01,460317.39285714284
2012-12-01,462375.0
2013-01-01,462619.4
2013-02-01,461250.0
2013-03-01,456572.22222222225
2013-04-01,473592.5925925926
2013-05-01,459766.6666666667
2013-06-01,478952.38095238095
2013-07-01,462175.52
2013-08-01,465285.71428571426
2013-09-01,450750.0
2013-10-01,447877.77777777775
2013-11-01,447611.1111111111
2013-12-01,452053.05263157893
2014-01-01,447368.4210526316
2014-02-01,443850.0
2014-03-01,431900.0
2014-04-01,429947.36842105264
2014-05-01,421000.0
2014-06-01,421166.6666666667
2014-07-01,429334.4
2014-08-01,427519.4
2014-09-01,416277.77777777775
2014-10-01,418814.28571428574
2014-11-01,420818.1818181818
2014-12-01,428899.25
2015-01-01,415294.4
2015-02-01,406599.36842105264
2015-03-01,415171.63636363635
2015-04-01,414986.82352941175
2015-05-01,399148.14814814815
2015-06-01,397442.4347826087
2015-07-01,409333.3333333333
2015-08-01,399181.8181818182
2015-09-01,409275.52
2015-10-01,394925.0
2015-11-01,398266.6666666667
2015-12-01,400935.52
2016-01-01,408933.3333333333
2016-02-01,407500.0
2016-03-01,403743.0
2016-04-01,401062.5
2016-05-01,407237.7931034483
2016-06-01,406111.1111111111
2016-07-01,411828.6666666667
2016-08-01,408875.0
2016-09-01,406492.3076923077
2016-10-01,403500.0
2016-11-01,416046.95652173914
2016-12-01,394764.70588235295
2017-01-01,400947.36842105264
2017-02-01,408500.0
2017-03-01,396884.74074074073
2017-04-01,389021.3333333333
2017-05-01,412295.04
2017-06-01,403590.9090909091
2017-07-01,409071.04
2017-08-01,406608.6956521739
2017-09-01,410052.63157894736
2017-10-01,407635.29411764705
2017-11-01,417230.76923076925
2017-12-01,409058.82352941175
2018-01-01,407545.45454545453
2018-02-01,402307.6923076923
2018-03-01,412938.22222222225
2018-04-01,400657.8947368421
2018-05-01,408181.8181818182
2018-06-01,408280.38095238095
2018-07-01,407470.85714285716
2018-08-01,405478.26086956525
2018-09-01,406299.47826086957
2018-10-01,402571.4285714286
2018-11-01,401636.36363636365
2018-12-01,408184.2105263158
2019-01-01,397692.3076923077
2019-02-01,398000.0
2019-03-01,397692.3076923077
2019-04-01,405954.26086956525
2019-05-01,408300.0
2019-06-01,414722.22222222225
2019-07-01,410386.36363636365
2019-08-01,408240.6666666667
2019-09-01,440006.5
2019-10-01,446212.52173913043
2019-11-01,462272.7272727273
2019-12-01,440208.3333333333
2020-01-01,470076.92307692306
2020-02-01,440572.36363636365
2020-03-01,458934.7826086957
2020-04-01,454500.0
2020-05-01,422333.3333333333
2020-06-01,436378.28571428574
2020-07-01,445140.4705882353
2020-08-01,450509.5172413793
2020-09-01,448130.4347826087
2020-10-01,462763.8888888889
2020-11-01,459315.07692307694
2020-12-01,464166.6666666667
2021-01-01,458000.0
2021-02-01,489995.6923076923
2021-03-01,473984.20588235295
2021-04-01,478680.0
2021-05-01,480570.28571428574
2021-06-01,495951.652173913
2021-07-01,500695.652173913
2021-08-01,492708.3333333333
2021-09-01,519962.9090909091
2021-10-01,513227.2727272727
2021-11-01,500868.77777777775
2021-12-01,487571.4285714286
2022-01-01,520290.82352941175
2022-02-01,494543.55555555556
2022-03-01,514681.8181818182
2022-04-01,515112.9032258064
2022-05-01,514600.0
2022-06-01,523304.0
2022-07-01,518320.0
2022-08-01,533869.5652173914
2022-09-01,523951.04
2022-10-01,524138.962962963
2022-11-01,535568.3076923077
2022-12-01,565227.7142857143
2023-01-01,540272.7272727273
2023-02-01,558657.3333333334
2023-03-01,531714.2857142857
2023-04-01,523499.25
2023-05-01,524268.9375
2023-06-01,529251.625
2023-07-01,534914.5
2023-08-01,533339.125
2023-09-01,544480.9375
2023-10-01,539199.5625
2023-11-01,550489.875
2023-12-01,547881.3125
2024-01-01,554296.125
2024-02-01,550651.375
2024-03-01,547541.9375
2024-04-01,550038.0625
2024-05-01,543392.1875
2024-06-01,556494.6875
2024-07-01,554221.8125
2024-08-01,560838.0625
2024-09-01,564228.1875
2024-10-01,566591.625
2024-11-01,570590.125
2024-12-01,575506.375
2025-01-01,574342.125
2025-02-01,577792.5
2025-03-01,571961.0
2025-04-01,571968.0625
2025-05-01,567321.9375
2025-06-01,578414.0625
2025-07-01,578779.75
2025-08-01,582702.375
2025-09-01,589209.3125
2025-10-01,588677.5
2025-11-01,595668.6875
2025-12-01,597985.375
2026-01-01,599419.1875
2026-02-01,600295.25
2026-03-01,596550.5625
2026-04-01,593725.125
2026-05-01,591435.125
2026-06-01,600135.0625
2026-07-01,603534.1875
2026-08-01,604361.4375
2026-09-01,614385.1875
2026-10-01,610573.875
2026-11-01,620930.625
2026-12-01,620282.0
2027-01-01,624679.625
2027-02-01,622631.5
2027-03-01,621309.3125
2027-04-01,615309.9375
2027-05-01,615730.8125
2027-06-01,621658.4375
2027-07-01,628483.6875
2027-08-01,625816.3125
2027-09-01,639755.0
2027-10-01,632282.0
2027-11-01,646374.8125
2027-12-01,642397.625
2028-01-01,650122.5625
2028-02-01,644801.375
2028-03-01,640230.5625
