ds,y
2000-01-01,492138.8888888889
2000-02-01,514136.95652173914
2000-03-01,514572.9166666667
2000-04-01,499733.3333333333
2000-05-01,508450.0
2000-06-01,501771.55555555556
2000-07-01,507804.2927272727
2000-08-01,504875.0
2000-09-01,490928.9756097561
2000-10-01,505269.76
2000-11-01,493449.71428571426
2000-12-01,494812.5
2001-01-01,491178.94736842107
2001-02-01,480605.3714285714
2001-03-01,477268.9655172414
2001-04-01,470208.3333333333
2001-05-01,461135.13513513515
2001-06-01,466923.07692307694
2001-07-01,469887.8823529412
2001-08-01,458182.347826087
2001-09-01,464738.1818181818
2001-10-01,457748.3243243243
2001-11-01,449472.0
2001-12-01,445948.275862069
2002-01-01,449170.5882352941
2002-02-01,447828.0
2002-03-01,450384.90476190473
2002-04-01,450638.70967741933
2002-05-01,432852.0
2002-06-01,439526.9090909091
2002-07-01,443586.26666666666
2002-08-01,439238.85714285716
2002-09-01,440368.5517241379
2002-10-01,416850.0
2002-11-01,446363.652173913
2002-12-01,432638.60869565216
2003-01-01,419971.63636363635
2003-02-01,428611.1111111111
2003-03-01,430403.76923076925
2003-04-01,415384.6153846154
2003-05-01,427954.54545454547
2003-06-01,397571.4285714286
2003-07-01,411578.7272727273
2003-08-01,427066.6666666667
2003-09-01,428837.53846153844
2003-10-01,417423.2380952381
2003-11-01,415226.3157894737
2003-12-01,402647.3043478261
2004-01-01,404636.36363636365
2004-02-01,380122.82352941175
2004-03-01,409230.76923076925
2004-04-01,401466.6666666667
2004-05-01,422304.4
2004-06-01,417531.25
2004-07-01,392076.92307692306
2004-08-01,375573.05263157893
2004-09-01,378530.6666666667
2004-10-01,383235.29411764705
2004-11-01,393550.0
2004-12-01,383445.8333333333
2005-01-01,384460.0
2005-02-01,388376.92307692306
2005-03-01,370488.0
2005-04-01,370071.4285714286
2005-05-01,387100.0
2005-06-01,364937.5
2005-07-01,361090.0
2005-08-01,365992.0
2005-09-01,360978.26086956525
2005-10-01,367642.85714285716
2005-11-01,374312.5
