ds,y
2005-05-01,245000.0
2005-06-01,255000.0
2005-07-01,235000.0
2005-12-01,260000.0
2006-05-01,253000.0
2006-07-01,253500.0
2006-08-01,249375.0
2006-09-01,251647.0588235294
2006-10-01,251766.66666666666
2006-11-01,252812.5
2006-12-01,243875.0
2007-01-01,251666.66666666666
2007-02-01,256911.76470588235
2007-03-01,253159.0909090909
2007-04-01,243045.86666666667
2007-05-01,252314.2857142857
2007-06-01,252673.68421052632
2007-07-01,251842.42424242425
2007-08-01,255453.33333333334
2007-09-01,265190.36363636365
2007-10-01,275726.7727272727
2007-11-01,279968.75
2007-12-01,289594.85714285716
2008-01-01,294071.4285714286
2008-02-01,297653.8461538461
2008-03-01,297034.85714285716
2008-04-01,307600.0
2008-05-01,310973.6842105263
2008-06-01,311312.5
2008-07-01,320050.0
2008-08-01,322135.29411764705
2008-09-01,326400.0
2008-10-01,325015.15789473685
2008-11-01,338612.5
2008-12-01,340058.82352941175
2009-01-01,340956.28571428574
2009-02-01,329504.54545454547
2009-03-01,330694.9090909091
2009-04-01,325266.6666666667
2009-05-01,331750.0
2009-06-01,337000.0
2009-07-01,327348.6666666667
2009-08-01,337055.55555555556
2009-09-01,333611.1111111111
2009-10-01,342043.47826086957
2009-11-01,338152.0
2009-12-01,363571.4285714286
2010-01-01,353250.0
2010-02-01,355777.71428571426
2010-03-01,362000.0
2010-04-01,369055.5
2010-05-01,365565.2173913043
2010-06-01,386849.14285714284
2010-07-01,381684.2105263158
2010-08-01,400433.3333333333
2010-09-01,402692.3846153846
2010-10-01,417250.0
2010-11-01,406000.0
2010-12-01,411400.0
2011-01-01,411777.77777777775
2011-02-01,415446.1538461539
2011-03-01,431634.7826086957
2011-04-01,424159.0909090909
2011-05-01,441129.8461538461
2011-06-01,448837.53846153844
2011-07-01,456562.5263157895
2011-08-01,462166.6666666667
2011-09-01,461111.0588235294
2011-10-01,454111.1111111111
2011-11-01,473729.8461538461
2011-12-01,472632.0
2012-01-01,482043.1111111111
2012-02-01,471583.3333333333
2012-03-01,478561.61904761905
2012-04-01,474457.14285714284
2012-05-01,487394.86363636365
2012-06-01,474415.15789473685
2012-07-01,482474.0
2012-08-01,486040.0
2012-09-01,487052.23529411765
2012-10-01,505314.81481481483
2012-11-01,521875.0
2012-12-01,507500.0
2013-01-01,511916.6666666667
2013-02-01,540828.5714285715
2013-03-01,510937.5
2013-04-01,494300.0
2013-05-01,505444.44444444444
2013-06-01,511907.3333333333
2013-07-01,491875.61904761905
2013-08-01,498000.0
2013-09-01,486426.1818181818
2013-10-01,492625.0
2013-11-01,483444.44444444444
2013-12-01,465750.0
2014-01-01,464481.3333333333
2014-02-01,472500.0
2014-03-01,474860.44444444444
2014-04-01,473827.1111111111
2014-05-01,464994.7085714286
2014-06-01,431111.0
2014-07-01,435606.76923076925
2014-08-01,429535.2727272727
2014-09-01,436722.22222222225
2014-10-01,422400.0
2014-11-01,438650.0
2014-12-01,419812.5
2015-01-01,433577.4285714286
2015-02-01,432042.28571428574
2015-03-01,432991.04
2015-04-01,424500.0
2015-05-01,423912.5333333333
2015-06-01,423704.7619047619
2015-07-01,420988.23529411765
2015-08-01,413874.3333333333
2015-09-01,407640.4705882353
2015-10-01,410411.07692307694
2015-11-01,423547.8620689655
2015-12-01,438509.2
2016-01-01,440862.0689655172
2016-02-01,427251.1304347826
2016-03-01,432432.71794871794
2016-04-01,441265.1914893617
2016-05-01,444710.8461538461
2016-06-01,442476.46153846156
2016-07-01,446412.9032258064
2016-08-01,445151.1034482759
2016-09-01,440485.1111111111
2016-10-01,439736.27118644066
2016-11-01,462387.0
2016-12-01,468255.2195121951
2017-01-01,454026.26666666666
2017-02-01,450843.375
2017-03-01,452851.0684931507
2017-04-01,450948.86666666664
2017-05-01,453356.2033898305
2017-06-01,441680.1746031746
2017-07-01,430475.2972972973
2017-08-01,447144.5479452055
2017-09-01,434312.6233766234
2017-10-01,447260.0606060606
2017-11-01,442525.0869565217
2017-12-01,445917.0909090909
2018-01-01,450400.8695652174
2018-02-01,451734.71698113205
2018-03-01,444740.95238095237
2018-04-01,439606.4324324324
2018-05-01,450628.2025316456
2018-06-01,444158.1686746988
2018-07-01,456344.21276595746
2018-08-01,449504.4705882353
2018-09-01,454639.5675675676
2018-10-01,461778.98412698414
2018-11-01,448040.27397260274
2018-12-01,452507.76
2019-01-01,459292.75
2019-02-01,453056.74418604653
2019-03-01,472059.76
2019-04-01,452692.72222222225
2019-05-01,461105.48387096776
2019-06-01,466577.76
2019-07-01,457770.4561403509
