ds,y
2006-09-01,345000.0
2006-10-01,359000.0
2006-11-01,359666.6666666667
2007-03-01,376666.6666666667
2007-05-01,358000.0
2007-06-01,355000.0
2007-07-01,365000.0
2007-08-01,385472.0
2007-09-01,375044.0
2007-10-01,405000.0
2007-11-01,416000.0
2007-12-01,387360.6666666667
2008-02-01,416000.0
2008-03-01,441500.0
2008-04-01,428000.0
2008-05-01,450000.0
2008-06-01,455750.0
2008-07-01,443333.3333333333
2008-08-01,447833.3333333333
2008-09-01,442250.0
2008-10-01,456428.5714285714
2008-11-01,460666.6666666667
2008-12-01,448000.0
2009-01-01,460750.0
2009-02-01,450814.6666666667
2009-03-01,462750.0
2009-04-01,453750.0
2009-05-01,460000.0
2009-06-01,439000.0
2009-07-01,465714.28571428574
2009-08-01,452500.0
2009-09-01,451148.0
2009-10-01,455166.6666666667
2009-11-01,466800.0
2009-12-01,482000.0
2010-01-01,476600.0
2010-02-01,494472.0
2010-03-01,485000.0
2010-04-01,498736.0
2010-05-01,504375.0
2010-06-01,509857.14285714284
2010-07-01,475000.0
2010-08-01,536777.6
2010-09-01,549857.1428571428
2010-10-01,542000.0
2010-11-01,550000.0
2010-12-01,538292.0
2011-01-01,543833.3333333334
2011-02-01,567300.0
2011-03-01,573200.0
2011-04-01,560000.0
2011-05-01,525000.0
2011-06-01,560500.0
2011-07-01,585333.3333333334
2011-08-01,594125.0
2011-09-01,606000.0
2011-10-01,577500.0
2011-11-01,570250.0
2011-12-01,580000.0
2012-01-01,634333.3333333334
2012-02-01,574000.0
2012-03-01,602333.3333333334
2012-04-01,605166.6666666666
2012-05-01,623875.0
2012-06-01,612314.6666666666
2012-07-01,614000.0
2012-08-01,618633.3333333334
2012-09-01,640500.0
2012-10-01,630000.0
2012-11-01,625000.0
2012-12-01,665500.0
2013-01-01,647900.0
2013-04-01,611000.0
2013-05-01,631500.0
2013-07-01,628500.0
2013-08-01,601250.0
2013-09-01,613333.3333333334
2013-10-01,630000.0
2013-11-01,595629.3333333334
2013-12-01,610000.0
2014-01-01,606500.0
2014-02-01,617500.0
2014-03-01,610000.0
2014-04-01,600296.0
2014-05-01,600000.0
2014-06-01,570000.0
2014-07-01,588333.3333333334
2014-08-01,610500.0
2014-09-01,574000.0
2014-11-01,579428.5714285715
2014-12-01,560000.0
2015-02-01,555000.0
2015-03-01,582333.3333333334
2015-04-01,548000.0
2015-05-01,550000.0
2015-06-01,565000.0
2015-07-01,580750.0
2015-08-01,532500.0
2015-09-01,543750.0
2015-10-01,543600.0
2015-11-01,552500.0
2015-12-01,547000.0
2016-01-01,569000.0
2016-02-01,560000.0
2016-03-01,541666.6666666666
2016-04-01,561000.0
2016-05-01,544200.0
2016-06-01,534500.0
2016-07-01,565750.0
2016-08-01,542472.0
2016-09-01,580000.0
2016-10-01,540296.0
2016-12-01,554333.3333333334
2017-02-01,556944.0
2017-03-01,546977.6
2017-04-01,552129.3333333334
2017-05-01,548666.6666666666
2017-06-01,546500.0
2017-07-01,555000.0
2017-08-01,560333.3333333334
2017-09-01,544444.0
2017-10-01,527000.0
2017-12-01,556500.0
2018-01-01,548000.0
2018-02-01,536000.0
2018-03-01,549269.7142857143
2018-04-01,547400.0
2018-05-01,554333.3333333334
2018-06-01,521200.0
2018-07-01,554125.0
2018-08-01,538750.0
2018-09-01,541555.5555555555
2018-11-01,540000.0
2018-12-01,558750.0
2019-01-01,500000.0
2019-02-01,590000.0
2019-04-01,490000.0
2019-05-01,547750.0
2019-06-01,549250.0
2019-08-01,535500.0
2019-09-01,523444.0
2019-10-01,525000.0
2019-11-01,556500.0
2019-12-01,556560.0
2020-02-01,575000.0
2020-03-01,518000.0
2020-04-01,530000.0
2020-06-01,556500.0
2020-07-01,525000.0
2020-08-01,536444.0
2020-09-01,540250.0
2020-10-01,562000.0
2020-11-01,563750.0
2020-12-01,576333.3333333334
2021-01-01,565000.0
2021-02-01,553000.0
2021-03-01,560000.0
2021-04-01,575000.0
2021-05-01,591500.0
2021-06-01,567000.0
2021-07-01,569722.0
2021-08-01,623377.6
2021-09-01,610200.0
2021-10-01,626097.0
2021-11-01,655666.6666666666
2021-12-01,635500.0
2022-01-01,641492.0
2022-02-01,645000.0
2022-03-01,640925.3333333334
2022-04-01,645000.0
2022-05-01,668333.3333333334
2022-06-01,648000.0
2022-07-01,697333.3333333334
2022-08-01,635000.0
2022-09-01,657444.0
2022-10-01,703000.0
2022-11-01,725000.0
2022-12-01,650000.0
2023-01-01,715000.0
2023-02-01,682500.0
2023-03-01,668266.125
2023-04-01,658068.125
2023-05-01,686024.375
2023-06-01,662087.25
2023-07-01,691786.4375
2023-08-01,675547.75
2023-09-01,691557.5
2023-10-01,687888.75
2023-11-01,715089.5
