ds,y
2000-01-01,151956.0
2000-02-01,149226.0
2000-03-01,151615.21739130435
2000-04-01,146154.54545454544
2000-05-01,147451.61290322582
2000-06-01,154808.06451612903
2000-07-01,152682.64788732395
2000-08-01,144013.91549295775
2000-09-01,146539.4366197183
2000-10-01,142173.35
2000-11-01,140135.25
2000-12-01,149084.50704225354
2001-01-01,143607.16981132075
2001-02-01,138875.8620689655
2001-03-01,135998.23529411765
2001-04-01,134784.1875
2001-05-01,135259.67741935485
2001-06-01,132905.6338028169
2001-07-01,132629.23076923078
2001-08-01,134072.59649122806
2001-09-01,129467.10204081633
2001-10-01,131221.21212121213
2001-11-01,133774.11428571428
2001-12-01,137901.5172413793
2002-01-01,134658.33333333334
2002-02-01,131457.57746478874
2002-03-01,131734.03125
2002-04-01,140302.38095238095
2002-05-01,131373.1343283582
2002-06-01,135670.49180327868
2002-07-01,138710.31578947368
2002-08-01,146298.06896551725
2002-09-01,146945.5
2002-10-01,136517.7258064516
2002-11-01,144681.4814814815
2002-12-01,142038.66666666666
2003-01-01,151855.35714285713
2003-02-01,149600.0
2003-03-01,156179.10204081633
2003-04-01,152387.16981132075
2003-05-01,158698.03921568627
2003-06-01,155234.375
2003-07-01,156529.41176470587
2003-08-01,165551.02040816325
2003-09-01,158901.69491525425
2003-10-01,166639.70588235295
2003-11-01,170867.81818181818
2003-12-01,164583.33333333334
2004-01-01,173305.88235294117
2004-02-01,175774.57142857142
2004-03-01,175590.74060606063
2004-04-01,174882.79245283018
2004-05-01,172043.9375
2004-06-01,178608.69565217392
2004-07-01,174069.23076923078
2004-08-01,173085.48387096773
2004-09-01,175059.05263157896
2004-10-01,172651.59677419355
2004-11-01,171935.38983050847
2004-12-01,176419.82857142857
2005-01-01,176280.26315789475
2005-02-01,179408.69565217392
2005-03-01,175078.84615384616
2005-04-01,176381.76
2005-05-01,168868.5185185185
2005-06-01,166338.19178082192
2005-07-01,162531.884057971
2005-08-01,171513.46153846153
2005-09-01,163487.3125
2005-10-01,162980.76923076922
2005-11-01,168952.77192982455
2005-12-01,174577.8
2006-01-01,172752.22727272726
2006-02-01,170461.22448979592
2006-03-01,164127.44186046513
2006-04-01,172695.65217391305
2006-05-01,170955.25806451612
2006-06-01,169680.0
2006-07-01,171400.0
2006-08-01,170549.01960784313
2006-09-01,172545.92307692306
2006-10-01,165948.97959183675
2006-11-01,184361.6
2006-12-01,176251.23076923078
2007-01-01,176581.6326530612
2007-02-01,171918.2962962963
2007-03-01,178841.66666666666
2007-04-01,181672.41666666666
2007-05-01,186993.0010416667
2007-06-01,186717.39130434784
2007-07-01,194015.47619047618
2007-08-01,194711.53846153847
2007-09-01,212567.3469387755
2007-10-01,213625.01903846156
2007-11-01,217113.96
2007-12-01,212995.13043478262
2008-01-01,233295.91836734695
2008-02-01,233193.6326530612
2008-03-01,252550.9090909091
2008-04-01,237076.7441860465
2008-05-01,251315.85714285713
2008-06-01,256635.13513513515
2008-07-01,252849.97916666666
2008-08-01,265314.89361702127
2008-09-01,261005.8775510204
2008-10-01,287856.4081632653
2008-11-01,278262.5
2008-12-01,247396.70588235295
