ds,y
2000-01-01,720000.0
2000-02-01,661000.0
2000-03-01,673750.0
2000-04-01,608750.0
2000-05-01,687600.0
2000-06-01,674333.3333333334
2000-07-01,656666.6666666666
2000-09-01,710000.0
2000-10-01,609000.0
2000-11-01,590000.0
2000-12-01,634333.3333333334
2001-01-01,618000.0
2001-02-01,597000.0
2001-04-01,631500.0
2001-05-01,705000.0
2001-06-01,617666.6666666666
2001-07-01,648000.0
2001-09-01,673500.0
2001-10-01,647500.0
2001-11-01,596000.0
2001-12-01,622000.0
2002-01-01,592666.6666666666
2002-02-01,602500.0
2002-03-01,600000.0
2002-04-01,540000.0
2002-05-01,635000.0
2002-06-01,635666.6666666666
2002-07-01,573800.0
2002-10-01,642500.0
2002-11-01,606500.0
2003-02-01,670000.0
2003-03-01,525000.0
2003-04-01,650000.0
2003-11-01,615000.0
2003-12-01,610000.0
2004-01-01,670000.0
2004-03-01,650000.0
2004-05-01,555000.0
2004-06-01,550000.0
2004-09-01,577500.0
2004-11-01,615000.0
2005-01-01,461000.0
2005-03-01,523000.0
2005-06-01,543000.0
2005-07-01,515000.0
2005-10-01,545000.0
2005-11-01,523500.0
2005-12-01,500000.0
2006-01-01,510000.0
2006-02-01,438333.3333333333
2006-04-01,540000.0
2006-05-01,579000.0
2006-06-01,543500.0
2006-07-01,498666.6666666667
2006-08-01,511000.0
2006-09-01,533500.0
2006-10-01,507750.0
2006-11-01,550600.0
2006-12-01,530000.0
2007-01-01,546000.0
2007-02-01,534250.0
2007-03-01,535000.0
2007-04-01,527000.0
2007-05-01,593000.0
2007-07-01,590000.0
2007-08-01,635000.0
2007-10-01,692000.0
2007-11-01,754333.3333333334
2007-12-01,751666.6666666666
2008-02-01,770000.0
2008-03-01,786250.0
2008-04-01,792000.0
2008-05-01,832000.0
2008-06-01,830000.0
2008-07-01,810000.0
2008-10-01,780888.0
2008-11-01,788000.0
2009-07-01,703472.0
2009-09-01,683666.6666666666
2009-10-01,752500.0
2009-11-01,705000.0
2009-12-01,708333.3333333334
2010-03-01,800000.0
2010-04-01,671500.0
2010-06-01,752500.0
2010-07-01,785750.0
2010-08-01,805944.0
2010-09-01,782500.0
2010-10-01,783333.3333333334
2010-12-01,780000.0
2011-01-01,818000.0
2011-03-01,850000.0
2011-04-01,842888.0
2011-05-01,795000.0
2011-06-01,801500.0
2011-07-01,855000.0
2011-08-01,840000.0
2011-09-01,793000.0
2012-01-01,865000.0
2012-02-01,835000.0
2012-05-01,895000.0
2012-06-01,900000.0
2012-07-01,1000000.0
2013-08-01,980000.0
2014-06-01,930000.0
2015-08-01,800000.0
2015-12-01,998888.0
2016-07-01,960000.0
2016-08-01,862000.0
2016-09-01,990000.0
2016-10-01,935000.0
2017-02-01,930000.0
2017-03-01,925000.0
2017-06-01,997000.0
2017-07-01,1010000.0
2017-09-01,968000.0
2017-10-01,958000.0
2018-01-01,968000.0
2018-03-01,965500.0
2018-04-01,1065000.0
2018-07-01,950000.0
2018-09-01,1095000.0
2018-10-01,980000.0
2018-12-01,970000.0
2019-06-01,880000.0
2019-07-01,1107500.0
2020-02-01,1000000.0
2020-03-01,960000.0
2020-06-01,960000.0
2020-07-01,1055000.0
2020-08-01,938000.0
2020-09-01,1078000.0
2020-10-01,959333.3333333334
2021-02-01,1094400.0
2021-03-01,945000.0
2021-06-01,1235000.0
2022-02-01,1130000.0
2022-03-01,1046000.0
2022-07-01,1288000.0
2022-08-01,1115000.0
2022-09-01,1250000.0
2023-02-01,1180000.0
2023-02-28,1127854.0
2023-03-31,1158440.75
2023-04-30,1231432.875
2023-05-31,1117302.5
2023-06-30,1272379.125
2023-07-31,1065991.375
2023-08-31,1274370.125
2023-09-30,1115794.875
2023-10-31,1217200.625
2023-11-30,1171718.125
2023-12-31,1229854.75
2024-01-31,1161082.25
2024-02-29,1146295.375
2024-03-31,1217547.5
2024-04-30,1250069.125
2024-05-31,1174641.125
2024-06-30,1293050.5
2024-07-31,1118486.75
2024-08-31,1298486.625
2024-09-30,1166658.75
2024-10-31,1239391.875
2024-11-30,1226680.125
2024-12-31,1250471.625
2025-01-31,1213589.125
2025-02-28,1187338.0
2025-03-31,1248201.75
2025-04-30,1297613.125
2025-05-31,1202635.75
2025-06-30,1342278.875
2025-07-31,1144133.875
2025-08-31,1346326.5
2025-09-30,1195724.375
2025-10-31,1283594.75
2025-11-30,1257794.125
2025-12-31,1295544.125
2026-01-31,1244378.5
2026-02-28,1228943.375
2026-03-31,1278146.875
2026-04-30,1345855.125
2026-05-31,1229931.625
2026-06-30,1392166.75
2026-07-31,1169171.875
2026-08-31,1394711.75
2026-09-30,1224296.0
2026-10-31,1328321.75
2026-11-30,1288347.625
2026-12-31,1341202.0
2027-01-31,1274637.5
2027-02-28,1271104.75
2027-03-31,1307389.25
2027-04-30,1394785.625
2027-05-31,1256539.5
2027-06-30,1442700.875
2027-07-31,1193613.125
2027-08-31,1443631.5
2027-09-30,1252383.625
2027-10-31,1373565.875
2027-11-30,1318347.625
2027-12-31,1387439.625
2028-01-31,1304369.625
