ds,y
2014-12-01,240000.0
2016-06-01,218000.0
2016-07-01,235444.0
2017-09-01,235000.0
2017-12-01,215000.0
2018-09-01,215000.0
2018-11-01,215000.0
2018-12-01,227500.0
2019-01-01,238000.0
2019-02-01,225000.0
2019-04-01,227500.0
2019-05-01,219000.0
2019-06-01,225000.0
2019-07-01,231666.66666666666
2019-08-01,212500.0
2019-09-01,232833.33333333334
2019-10-01,222000.0
2019-11-01,221800.0
2019-12-01,228600.0
2020-01-01,205000.0
2020-02-01,235000.0
2020-03-01,223000.0
2020-06-01,223000.0
2020-07-01,224333.33333333334
2020-08-01,230094.0
2020-09-01,215000.0
2020-10-01,234000.0
2020-11-01,240000.0
2021-01-01,235000.0
2021-02-01,244000.0
2021-03-01,259000.0
2021-04-01,240000.0
2021-05-01,266833.3333333333
2021-07-01,240000.0
2021-08-01,285000.0
2021-09-01,275000.0
2021-10-01,270800.0
2021-12-01,277666.6666666667
2022-01-01,292500.0
2022-02-01,282500.0
2022-04-01,300000.0
2022-05-01,310000.0
2022-06-01,329500.0
2022-07-01,315500.0
2022-08-01,320857.14285714284
2022-09-01,312166.6666666667
2022-10-01,322333.3333333333
2022-11-01,325355.2
2022-12-01,320481.3333333333
2023-01-01,333375.0
2023-02-01,319814.6666666667
2023-03-01,334500.0
2023-04-01,341904.3125
2023-05-01,359771.5625
2023-06-01,384830.71875
2023-07-01,349163.53125
2023-08-01,377823.875
2023-09-01,358452.75
2023-10-01,368228.875
2023-11-01,369980.71875
2023-12-01,366949.625
2024-01-01,378312.65625
2024-02-01,366791.0
2024-03-01,389124.8125
2024-04-01,380734.25
2024-05-01,418022.25
2024-06-01,433545.71875
2024-07-01,400455.90625
2024-08-01,422452.59375
2024-09-01,409916.90625
2024-10-01,407924.875
2024-11-01,422883.875
2024-12-01,403710.4375
2025-01-01,431974.59375
2025-02-01,401435.4375
2025-03-01,433258.8125
2025-04-01,427277.75
2025-05-01,466621.84375
2025-06-01,491471.5
2025-07-01,443383.09375
2025-08-01,475361.53125
2025-09-01,453397.75
2025-10-01,455635.28125
2025-11-01,467404.21875
2025-12-01,449087.625
2026-01-01,476529.625
2026-02-01,444882.8125
2026-03-01,476299.53125
2026-04-01,474941.03125
2026-05-01,513901.21875
2026-06-01,550662.875
2026-07-01,485226.90625
2026-08-01,529357.875
2026-09-01,495880.21875
2026-10-01,504358.59375
2026-11-01,510912.15625
2026-12-01,495513.21875
2027-01-01,520023.6875
2027-02-01,489369.53125
2027-03-01,518249.65625
2027-04-01,523724.65625
2027-05-01,559864.4375
2027-06-01,611113.375
2027-07-01,525996.875
2027-08-01,584435.0
2027-09-01,537367.3125
2027-10-01,554092.0
2027-11-01,553406.875
2027-12-01,542986.9375
2028-01-01,562454.375
2028-02-01,534901.25
2028-03-01,576575.0625
