ds,y
2002-08-01,395000.0
2002-09-01,398000.0
2002-10-01,416500.0
2002-11-01,389000.0
2002-12-01,404000.0
2003-01-01,406000.0
2003-02-01,397800.0
2003-03-01,393250.0
2003-04-01,393333.3333333333
2003-05-01,387962.6666666667
2003-06-01,441000.0
2003-07-01,377500.0
2003-08-01,430000.0
2003-09-01,406500.0
2003-10-01,390750.0
2003-11-01,398000.0
2003-12-01,391000.0
2004-01-01,367333.3333333333
2004-02-01,387000.0
2004-03-01,420000.0
2004-04-01,381750.0
2004-06-01,368888.0
2004-07-01,354500.0
2004-08-01,373833.3333333333
2004-10-01,378000.0
2004-11-01,352500.0
2004-12-01,340000.0
2005-01-01,349333.3333333333
2005-02-01,380000.0
2005-03-01,365875.0
2005-04-01,352685.71428571426
2005-06-01,337500.0
2005-07-01,340722.125
2005-08-01,339000.0
2005-09-01,342000.0
2005-10-01,331111.1111111111
2005-11-01,327857.14285714284
2005-12-01,343029.3333333333
2006-01-01,328312.5
2006-02-01,324500.0
2006-03-01,316750.0
2006-04-01,343900.0
2006-05-01,321738.8
2006-06-01,327625.0
2006-07-01,331930.0
2006-08-01,333727.2727272727
2006-09-01,326166.6666666667
2006-10-01,323750.0
2006-11-01,331833.3333333333
2006-12-01,336333.3333333333
2007-01-01,333300.0
2007-02-01,328666.6666666667
2007-03-01,351333.3333333333
2007-04-01,331225.0
2007-05-01,337500.0
2007-06-01,333106.76923076925
2007-07-01,329000.0
2007-08-01,340992.3076923077
2007-09-01,348407.6923076923
2007-10-01,367898.44444444444
2007-11-01,373666.6666666667
2007-12-01,363333.3333333333
2008-01-01,378485.71428571426
2008-02-01,376766.6666666667
2008-03-01,388500.0
2008-04-01,416625.0
2008-05-01,405481.3333333333
2008-06-01,394550.0
2008-07-01,403875.0
2008-08-01,407500.0
2008-09-01,421000.0
2008-10-01,433333.3333333333
2008-11-01,429666.6666666667
2008-12-01,420400.0
2009-01-01,408472.0
2009-02-01,394000.0
2009-03-01,396250.0
2009-04-01,401545.45454545453
2009-05-01,424500.0
2009-06-01,427269.71428571426
2009-07-01,414977.77777777775
2009-08-01,405407.3333333333
2009-09-01,423357.14285714284
2009-10-01,422986.75
2009-11-01,425335.2727272727
2009-12-01,439454.54545454547
2010-01-01,441500.0
2010-02-01,435088.8888888889
2010-03-01,444200.0
2010-04-01,445414.28571428574
2010-05-01,462846.6666666667
2010-06-01,474571.4285714286
2010-07-01,470000.0
2010-08-01,470483.3333333333
2010-09-01,477888.8888888889
2010-10-01,478285.71428571426
2010-11-01,496944.0
2010-12-01,497666.6666666667
2011-01-01,478600.0
2011-02-01,496325.0909090909
2011-03-01,505400.0
2011-04-01,493888.8888888889
2011-05-01,510360.0
2011-06-01,506657.3333333333
2011-07-01,507150.0
2011-08-01,517333.3333333333
2011-09-01,528714.2857142857
2011-10-01,517900.0
2011-11-01,530050.0
2011-12-01,533166.6666666666
2012-01-01,483500.0
