ds,y
2012-09-01,248500.0
2013-03-01,264000.0
2013-04-01,280000.0
2013-06-01,264500.0
2013-11-01,263000.0
2013-12-01,245000.0
2014-04-01,257500.0
2015-08-01,269000.0
2015-09-01,270000.0
2015-10-01,270000.0
2016-02-01,268888.0
2016-04-01,271000.0
2016-06-01,284000.0
2016-08-01,282250.0
2016-09-01,265400.0
2016-10-01,272000.0
2016-11-01,255000.0
2016-12-01,262500.0
2017-01-01,273000.0
2017-02-01,265000.0
2017-03-01,276500.0
2017-04-01,260200.0
2017-05-01,260877.6
2017-06-01,251000.0
2017-08-01,278000.0
2017-09-01,260000.0
2017-10-01,270000.0
2017-11-01,238500.0
2017-12-01,271750.0
2018-01-01,253000.0
2018-02-01,258000.0
2018-03-01,264000.0
2018-04-01,244000.0
2018-05-01,236500.0
2018-06-01,255833.33333333334
2018-07-01,246500.0
2018-08-01,230142.85714285713
2018-09-01,251777.6
2018-10-01,239000.0
2018-11-01,237000.0
2018-12-01,235000.0
2019-01-01,241000.0
2019-03-01,250000.0
2019-04-01,222000.0
2019-05-01,240333.33333333334
2019-06-01,250000.0
2019-07-01,255166.66666666666
2019-08-01,245000.0
2019-09-01,229428.57142857142
2019-10-01,240000.0
2019-11-01,230000.0
2019-12-01,247500.0
2020-01-01,234200.0
2020-02-01,236125.0
2020-03-01,241166.66666666666
2020-04-01,258000.0
2020-06-01,243000.0
2020-07-01,243600.0
2020-08-01,242666.66666666666
2020-09-01,271666.6666666667
2020-10-01,252000.0
2020-11-01,250000.0
2020-12-01,269333.3333333333
2021-01-01,261800.0
2021-02-01,285696.0
2021-03-01,274833.3333333333
2021-04-01,279050.0
2021-05-01,287500.0
2021-06-01,296500.0
2021-07-01,265333.3333333333
2021-08-01,280000.0
2021-09-01,290000.0
2021-10-01,286000.0
2021-11-01,300777.6
2021-12-01,301600.0
2022-01-01,307000.0
2022-02-01,311296.0
2022-03-01,320333.3333333333
2022-04-01,291000.0
2022-05-01,305500.0
2022-06-01,309666.6666666667
2022-07-01,305722.0
2022-08-01,313555.55555555556
2022-09-01,329311.1111111111
2022-10-01,334000.0
2022-11-01,350000.0
2022-12-01,321666.6666666667
2023-01-01,336250.0
2023-02-01,336250.0
2023-03-01,368139.03125
2023-04-01,322817.34375
2023-05-01,350091.84375
2023-06-01,343087.0
2023-07-01,342186.84375
2023-08-01,337356.0
2023-09-01,374731.5
2023-10-01,352717.0
2023-11-01,382647.25
2023-12-01,348514.375
2024-01-01,384140.21875
2024-02-01,366143.6875
2024-03-01,386428.0625
2024-04-01,375519.375
2024-05-01,359679.5
2024-06-01,402371.5625
2024-07-01,344910.5
2024-08-01,397571.875
2024-09-01,383190.6875
2024-10-01,415031.4375
2024-11-01,390836.3125
2024-12-01,408763.75
2025-01-01,391107.03125
2025-02-01,428117.25
2025-03-01,432701.3125
2025-04-01,399124.125
2025-05-01,399563.34375
2025-06-01,429556.71875
2025-07-01,381954.5625
2025-08-01,421022.9375
2025-09-01,427385.125
2025-10-01,440989.9375
2025-11-01,435659.0
2025-12-01,432300.96875
2026-01-01,434925.25
2026-02-01,454652.625
2026-03-01,482469.0625
2026-04-01,419172.09375
2026-05-01,443093.625
2026-06-01,452958.8125
2026-07-01,422973.375
2026-08-01,440312.25
2026-09-01,475576.6875
2026-10-01,462991.6875
2026-11-01,484430.375
2026-12-01,451985.125
2027-01-01,482576.34375
2027-02-01,477565.8125
2027-03-01,535708.5
2027-04-01,435673.25
2027-05-01,490257.28125
2027-06-01,472580.6875
2027-07-01,467956.0625
2027-08-01,455447.875
2027-09-01,527761.25
2027-10-01,481048.96875
2027-11-01,537145.0
2027-12-01,467829.6875
2028-01-01,534054.1875
2028-02-01,496853.78125
