ds,y
2002-11-01,420000.0
2002-12-01,413000.0
2003-01-01,418500.0
2003-02-01,423333.3333333333
2003-03-01,422000.0
2003-04-01,416000.0
2003-05-01,400125.0
2003-06-01,434900.0
2003-07-01,417333.3333333333
2003-08-01,400000.0
2003-09-01,406833.3333333333
2003-10-01,402500.0
2003-11-01,412800.0
2003-12-01,415000.0
2004-01-01,380000.0
2004-02-01,379800.0
2004-03-01,371666.6666666667
2004-04-01,356500.0
2004-05-01,380500.0
2004-06-01,361142.85714285716
2004-07-01,381166.6666666667
2004-08-01,353600.0
2004-09-01,366100.0
2004-10-01,360000.0
2004-11-01,351000.0
2004-12-01,385600.0
2005-01-01,351000.0
2005-02-01,353000.0
2005-03-01,377666.6666666667
2005-04-01,348361.11
2005-05-01,343200.0
2005-06-01,343750.0
2005-07-01,354600.0
2005-08-01,340416.6666666667
2005-09-01,327333.3333333333
2005-10-01,345055.55555555556
2005-11-01,342000.0
2005-12-01,350000.0
2006-01-01,343750.0
2006-02-01,365800.0
2006-03-01,330800.0
2006-04-01,339472.0
2006-05-01,338750.0
2006-06-01,348500.0
2006-07-01,334133.3333333333
2006-08-01,325750.0
2006-09-01,339500.0
2006-10-01,352500.0
2006-11-01,339758.3333333333
2006-12-01,337555.55555555556
2007-01-01,341481.3333333333
2007-02-01,343177.6
2007-03-01,352914.46153846156
2007-04-01,359760.0
2007-05-01,352180.0
2007-06-01,354375.0
2007-07-01,358600.0
2007-08-01,394150.0
2007-09-01,392563.4285714286
2007-10-01,402100.0
2007-11-01,411433.3333333333
2007-12-01,411650.0
2008-01-01,415312.5
2008-02-01,431888.8888888889
2008-03-01,422800.0
2008-04-01,433650.0
2008-05-01,459500.0
2008-06-01,443333.3333333333
2008-07-01,443606.76923076925
2008-08-01,441166.6666666667
2008-09-01,462786.6666666667
2008-10-01,454727.2727272727
2008-11-01,455357.14285714284
2008-12-01,442500.0
2009-01-01,461857.14285714284
2009-02-01,459611.0
2009-03-01,447666.6666666667
2009-04-01,455777.77777777775
2009-05-01,460208.3333333333
2009-06-01,450136.36363636365
