ds,y
2000-08-01,85000.0
2000-10-01,82000.0
2000-11-01,85000.0
2001-01-01,85500.0
2001-07-01,82500.0
2002-01-01,76500.0
2002-08-01,85000.0
2002-11-01,94000.0
2002-12-01,86000.0
2003-02-01,96500.0
2003-03-01,92150.0
2003-06-01,92000.0
2003-07-01,95500.0
2003-09-01,105000.0
2003-12-01,107500.0
2004-04-01,100000.0
2004-08-01,105500.0
2004-11-01,104000.0
2004-12-01,115000.0
2005-01-01,99000.0
2005-03-01,93000.0
2005-04-01,108000.0
2005-08-01,101000.0
2005-09-01,98000.0
2006-12-01,120000.0
2007-01-01,102500.0
2007-08-01,121000.0
2007-11-01,132000.0
2008-01-01,135500.0
2008-08-01,152000.0
2008-12-01,162000.0
2009-02-01,160000.0
2009-03-01,170000.0
2009-07-01,153500.0
2009-08-01,160000.0
2010-04-01,203888.0
2010-09-01,215000.0
2011-10-01,238000.0
2012-02-01,244000.0
2012-03-01,261000.0
2012-07-01,258888.0
2013-01-01,258000.0
2013-02-01,255000.0
2013-09-01,283000.0
2014-03-01,260000.0
2016-03-01,220000.0
2016-07-01,247500.0
2016-10-01,251500.0
2018-01-01,230000.0
2018-02-01,221868.0
2018-10-01,200000.0
2018-12-01,202000.0
2019-01-01,215000.0
2019-05-01,200000.0
2020-09-01,220000.0
2020-12-01,260000.0
2021-05-01,220000.0
2021-08-01,275000.0
2022-02-01,260000.0
2022-03-01,250000.0
2022-10-01,269000.0
2022-10-31,306650.25
2022-11-30,220115.6875
2022-12-31,286709.03125
2023-01-31,224433.953125
2023-02-28,293725.15625
2023-03-31,265120.0625
2023-04-30,263689.21875
2023-05-31,267210.125
2023-06-30,327050.5625
2023-07-31,236206.265625
2023-08-31,311475.40625
2023-09-30,226381.078125
2023-10-31,322943.6875
2023-11-30,218370.59375
2023-12-31,301826.3125
2024-01-31,223375.265625
2024-02-29,283378.28125
2024-03-31,292502.875
2024-04-30,248245.265625
2024-05-31,299026.4375
2024-06-30,311485.625
2024-07-31,266802.8125
2024-08-31,295651.75
2024-09-30,255887.765625
2024-10-31,308406.09375
2024-11-30,245954.703125
2024-12-31,287624.9375
2025-01-31,249289.796875
2025-02-28,297268.375
2025-03-31,293262.3125
2025-04-30,262163.4375
2025-05-31,298455.25
2025-06-30,328477.3125
2025-07-31,265032.625
2025-08-31,311889.3125
2025-09-30,253924.90625
2025-10-31,324734.40625
2025-11-30,244157.015625
2025-12-31,302772.5625
2026-01-31,248229.15625
2026-02-28,311580.6875
2026-03-31,293533.75
2026-04-30,276614.25
2026-05-31,297293.78125
2026-06-30,346040.40625
2026-07-31,262692.78125
2026-08-31,328696.65625
2026-09-30,251419.25
2026-10-31,341602.09375
2026-11-30,241858.125
2026-12-31,318431.34375
2027-01-31,246687.203125
2027-02-28,326307.6875
2027-03-31,293322.25
2027-04-30,291591.8125
2027-05-31,295547.875
2027-06-30,364166.8125
2027-07-31,259790.859375
2027-08-31,346066.90625
2027-09-30,248379.109375
