ds,y
2000-01-01,495500.0
2000-02-01,482666.6666666667
2000-03-01,493500.0
2000-04-01,500777.77777777775
2000-05-01,485125.0
2000-06-01,513071.4285714286
2000-07-01,514428.5714285714
2000-08-01,479269.71428571426
2000-09-01,492750.0
2000-10-01,496833.3333333333
2000-11-01,473200.0
2000-12-01,485000.0
2001-01-01,464755.55555555556
2001-02-01,491818.1818181818
2001-03-01,483333.3333333333
2001-04-01,472333.3333333333
2001-05-01,463285.71428571426
2001-06-01,453777.77777777775
2001-07-01,475133.3333333333
2001-08-01,457250.0
2001-09-01,430888.8888888889
2001-10-01,461843.75
2001-11-01,468250.0
2001-12-01,442000.0
2002-01-01,425428.5714285714
2002-02-01,441625.0
2002-03-01,425736.0
2002-04-01,422072.7272727273
2002-05-01,443000.0
2002-06-01,433846.1538461539
2002-07-01,430857.14285714284
2002-08-01,407250.0
2002-09-01,432571.4285714286
2002-10-01,396860.0
2002-11-01,479333.3333333333
2002-12-01,423826.92307692306
2003-01-01,440000.0
2003-02-01,417800.0
2003-03-01,438664.28571428574
2003-04-01,409875.0
2003-05-01,438337.5
2003-06-01,447875.0
2003-07-01,418571.4285714286
2003-08-01,412583.3333333333
2003-09-01,430333.3333333333
2003-10-01,467000.0
2003-11-01,425000.0
2003-12-01,399000.0
2004-01-01,410833.3333333333
2004-02-01,397500.0
2004-03-01,401000.0
2004-04-01,406277.77777777775
2004-05-01,404000.0
2004-06-01,384155.4285714286
2004-07-01,407714.28571428574
2004-08-01,388600.0
2004-09-01,393500.0
2004-10-01,366181.8181818182
2004-11-01,363428.5714285714
2004-12-01,375126.85714285716
2005-01-01,433500.0
2005-02-01,376500.0
2005-03-01,380750.0
2005-04-01,369500.0
2005-05-01,369412.5714285714
2005-06-01,345333.3333333333
2005-07-01,348200.0
2005-08-01,364583.3333333333
2005-09-01,336750.0
2005-10-01,360363.63636363635
2005-11-01,332500.0
2005-12-01,347916.6666666667
2006-01-01,391333.3333333333
2006-02-01,343250.0
2006-03-01,362888.8888888889
2006-04-01,395166.6666666667
2006-05-01,363411.1111111111
2006-06-01,368980.0
2006-07-01,353633.3333333333
2006-08-01,353345.45454545453
2006-09-01,375125.0
2006-10-01,385000.0
2006-11-01,389000.0
2006-12-01,366200.0
2007-01-01,357076.92307692306
2007-02-01,364666.6666666667
2007-03-01,361200.0
2007-04-01,353000.0
2007-05-01,371888.8888888889
2007-06-01,362148.0
2007-07-01,396200.0
2007-08-01,386643.0
2007-09-01,400055.55555555556
2007-10-01,439600.0
2007-11-01,460000.0
2007-12-01,398714.28571428574
2008-01-01,492500.0
2008-02-01,476600.0
2008-03-01,445285.71428571426
2008-04-01,508600.0
2008-05-01,452714.28571428574
2008-06-01,471722.22222222225
2008-07-01,477888.8888888889
2008-08-01,511333.3333333333
2008-09-01,542375.0
2008-10-01,498875.0
2008-11-01,477857.14285714284
2008-12-01,504000.0
2009-01-01,532800.0
2009-02-01,502000.0
2009-03-01,483571.4285714286
2009-04-01,467400.0
2009-05-01,471050.0
2009-06-01,498361.0
2009-07-01,488375.0
2009-08-01,501600.0
2009-09-01,476142.85714285716
2009-10-01,491150.0
2009-11-01,497032.3333333333
2009-12-01,530716.3636363636
2010-01-01,504555.55555555556
2010-02-01,531260.0
2010-03-01,507554.28571428574
2010-04-01,538750.0
2010-05-01,567100.0
2010-06-01,532111.1111111111
2010-07-01,594225.0
2010-08-01,561727.2727272727
2010-09-01,568333.3333333334
2010-10-01,591666.6666666666
2010-11-01,611850.0
2010-12-01,622600.0
2011-01-01,589725.0
2011-02-01,568000.0
2011-03-01,622666.6666666666
2011-04-01,633577.6
2011-05-01,605000.0
2011-06-01,628000.0
2011-07-01,593666.6666666666
2011-08-01,652166.6666666666
2011-09-01,632486.0
2011-10-01,648500.0
2011-11-01,665275.0
2011-12-01,725000.0
2012-01-01,596250.0
2012-02-01,677375.0
2012-03-01,700555.5555555555
2012-04-01,688714.2857142857
2012-05-01,696833.3333333334
2012-06-01,715875.0
2012-07-01,759333.3333333334
2012-08-01,827500.0
2012-09-01,694333.3333333334
2012-10-01,759750.0
2012-11-01,689333.3333333334
2012-12-01,669000.0
2013-01-01,647500.0
2013-02-01,670750.0
2013-03-01,782722.0
2013-04-01,676500.0
2013-05-01,731222.2222222222
2013-06-01,759444.0
2013-07-01,683296.0
2013-08-01,727666.6666666666
2013-09-01,892000.0
2013-10-01,762666.6666666666
2013-11-01,746666.6666666666
2013-12-01,690500.0
2014-01-01,734333.3333333334
2014-02-01,731000.0
2014-03-01,668888.0
2014-04-01,740333.3333333334
2014-05-01,709000.0
2014-06-01,742666.6666666666
2014-07-01,740000.0
2014-08-01,760150.0
2014-09-01,683922.0
2014-10-01,729750.0
2014-11-01,763333.3333333334
2014-12-01,676250.0
2015-01-01,672500.0
2015-02-01,607000.0
2015-03-01,731177.6
2015-04-01,757500.0
2015-05-01,667501.5
2015-06-01,749333.3333333334
2015-07-01,659648.0
2015-08-01,707600.0
2015-09-01,812500.0
2015-10-01,694000.0
2015-11-01,752950.0
2015-12-01,665714.2857142857
2016-01-01,759200.0
2016-02-01,692222.0
2016-03-01,777314.6666666666
2016-04-01,738250.0
2016-05-01,832472.0
2016-06-01,683000.0
2016-07-01,719000.0
2016-08-01,763977.6
2016-09-01,716000.0
2016-10-01,797000.0
2016-11-01,888000.0
2017-01-01,682000.0
2017-02-01,750777.6
2017-03-01,715125.0
2017-04-01,764629.3333333334
2017-05-01,792500.0
2017-06-01,767571.4285714285
2017-07-01,721200.0
2017-08-01,688600.0
2017-09-01,737462.6666666666
2017-10-01,671250.0
2017-11-01,724377.7
2017-12-01,762125.0
2018-01-01,734750.0
2018-02-01,724000.0
2018-03-01,724500.0
2018-04-01,749166.6666666666
2018-05-01,732814.6666666666
2018-06-01,740000.0
2018-07-01,736600.0
2018-08-01,764148.0
2018-09-01,741000.0
2018-10-01,701777.7777777778
2018-11-01,783981.3333333334
2018-12-01,716000.0
2019-01-01,730200.0
2019-02-01,677962.6666666666
2019-03-01,744166.6666666666
2019-04-01,751750.0
2019-05-01,670750.0
2019-06-01,750833.3333333334
2019-07-01,762400.0
2019-08-01,658750.0
2019-09-01,693000.0
2019-10-01,786857.1428571428
2019-11-01,749125.0
2019-12-01,881250.0
2020-01-01,703333.3333333334
2020-02-01,721500.0
2020-03-01,710375.0
2020-05-01,685000.0
2020-06-01,705616.8888888889
2020-07-01,728333.3333333334
2020-08-01,751350.0
2020-09-01,752257.1428571428
2020-10-01,752950.0
2020-11-01,810488.8
2020-12-01,725977.6
2021-01-01,734074.0
2021-02-01,727560.0
2021-03-01,839984.0
2021-04-01,850900.0
2021-05-01,839000.0
2021-06-01,877625.0
2021-07-01,852250.0
2021-08-01,748333.3333333334
2021-09-01,803360.0
2021-10-01,864480.0
2021-11-01,823981.8181818182
2021-12-01,873265.4444444445
2022-01-01,851600.0
2022-02-01,925736.0
2022-03-01,961981.3333333334
2022-04-01,951833.3333333334
2022-05-01,864500.0
2022-06-01,843333.3333333334
2022-07-01,873314.6666666666
2022-08-01,897126.9828571428
2022-09-01,919333.3333333334
2022-10-01,1012000.0
2022-11-01,987500.0
2022-12-01,951500.0
2023-01-01,960333.3333333334
2023-02-01,835000.0
2023-03-01,1100000.0
2023-04-01,919307.125
2023-05-01,881118.5
2023-06-01,893970.75
2023-07-01,887453.1875
2023-08-01,886738.25
2023-09-01,911196.9375
2023-10-01,924902.3125
2023-11-01,945037.0
2023-12-01,915324.0625
2024-01-01,888629.6875
2024-02-01,873974.8125
2024-03-01,959152.1875
2024-04-01,950828.25
2024-05-01,910381.625
2024-06-01,925703.5625
2024-07-01,916321.25
2024-08-01,918238.0625
2024-09-01,941776.375
2024-10-01,958312.5
2024-11-01,976534.8125
2024-12-01,946497.125
2025-01-01,916135.3125
2025-02-01,904664.375
2025-03-01,991653.125
2025-04-01,983418.625
2025-05-01,940729.3125
2025-06-01,956051.5625
2025-07-01,946884.4375
2025-08-01,947781.5625
2025-09-01,973132.875
2025-10-01,989594.75
2025-11-01,1009607.0625
2025-12-01,977420.875
2026-01-01,946145.0625
2026-02-01,932531.75
2026-03-01,1024107.1875
2026-04-01,1016038.25
2026-05-01,971113.1875
2026-06-01,986362.125
2026-07-01,977495.0
2026-08-01,977278.1875
2026-09-01,1004510.5625
2026-10-01,1020825.75
2026-11-01,1042717.5
2026-12-01,1008342.375
2027-01-01,976220.1875
2027-02-01,960339.8125
2027-03-01,1056512.875
2027-04-01,1048687.25
2027-05-01,1001533.6875
2027-06-01,1016635.375
2027-07-01,1008152.625
2027-08-01,1006728.25
2027-09-01,1035909.25
2027-10-01,1052005.75
2027-11-01,1075865.0
2027-12-01,1039262.25
2028-01-01,1006360.1875
2028-02-01,988090.3125
2028-03-01,1090668.625
