ds,y
2000-01-01,186291.34782608695
2000-02-01,192074.8923076923
2000-03-01,185864.51612903227
2000-04-01,191701.53846153847
2000-05-01,189883.15151515152
2000-06-01,193710.1265822785
2000-07-01,188958.16666666666
2000-08-01,186916.2162162162
2000-09-01,187481.7894736842
2000-10-01,186098.48648648648
2000-11-01,183361.72839506174
2000-12-01,182380.92631578946
2001-01-01,182309.25925925927
2001-02-01,183448.94915254237
2001-03-01,175837.80487804877
2001-04-01,174743.67123287672
2001-05-01,175736.76470588235
2001-06-01,176730.35897435897
2001-07-01,176420.9315068493
2001-08-01,172032.6530612245
2001-09-01,173803.8961038961
2001-10-01,172074.39024390245
2001-11-01,175066.06315789474
2001-12-01,170317.10344827586
2002-01-01,170541.97530864197
2002-02-01,172254.79452054793
2002-03-01,169743.92105263157
2002-04-01,168870.1081081081
2002-05-01,174014.31578947368
2002-06-01,172361.90476190476
2002-07-01,171051.36486486485
2002-08-01,172209.58571428573
2002-09-01,176786.9714285714
2002-10-01,173885.74647887325
2002-11-01,178363.46153846153
2002-12-01,173608.92857142858
2003-01-01,177945.60294117648
2003-02-01,175046.4
2003-03-01,184875.0
2003-04-01,180816.0
2003-05-01,185679.10447761195
2003-06-01,183863.63636363635
2003-07-01,187035.38461538462
2003-08-01,192974.41860465117
2003-09-01,192357.14285714287
2003-10-01,193356.4516129032
2003-11-01,193478.08219178082
2003-12-01,197205.42857142858
2004-01-01,194137.2857142857
2004-02-01,200804.0
2004-03-01,194103.29824561405
2004-04-01,196833.0
2004-05-01,198253.2093023256
2004-06-01,199377.27272727274
2004-07-01,195581.81818181818
2004-08-01,192284.64102564103
2004-09-01,192348.07692307694
2004-10-01,193703.77358490566
2004-11-01,190851.06382978722
2004-12-01,187512.5
2005-01-01,193165.81132075473
2005-02-01,194740.4255319149
2005-03-01,195378.431372549
2005-04-01,190930.84444444443
2005-05-01,185451.21951219512
2005-06-01,183490.0
2005-07-01,179366.26086956522
2005-08-01,179612.5
2005-09-01,180285.35714285713
2005-10-01,181431.05172413794
2005-11-01,177004.58536585365
2005-12-01,179320.5128205128
2006-01-01,181921.05263157896
2006-02-01,176796.9696969697
2006-03-01,179250.98039215687
2006-04-01,178743.90697674418
2006-05-01,181539.07142857142
2006-06-01,181712.7659574468
2006-07-01,176987.80487804877
2006-08-01,178582.85714285713
2006-09-01,178406.97674418605
2006-10-01,182557.14285714287
2006-11-01,183702.04081632654
2006-12-01,183539.47368421053
2007-01-01,183740.0
2007-02-01,185628.57142857142
2007-03-01,187288.23529411765
2007-04-01,187608.1081081081
2007-05-01,191400.0
2007-06-01,191185.7142857143
2007-07-01,193313.9534883721
2007-08-01,199517.24137931035
2007-09-01,204606.66666666666
2007-10-01,209653.84615384616
2007-11-01,208821.42857142858
2007-12-01,224718.18181818182
2008-01-01,218572.22222222222
2008-02-01,216604.34782608695
2008-03-01,224020.0
2008-04-01,226567.2
2008-05-01,234763.88888888888
2008-06-01,238880.48780487804
2008-07-01,239527.02702702704
2008-08-01,241353.23076923078
2008-09-01,250468.0
2008-10-01,249017.24137931035
2008-11-01,255039.47368421053
2008-12-01,254128.57142857142
2009-01-01,258269.33333333334
2009-02-01,254617.81818181818
2009-03-01,255562.5
2009-04-01,259151.11111111112
2009-05-01,264796.2962962963
2009-06-01,261785.16666666666
2009-07-01,257527.02702702704
2009-08-01,257778.26086956522
2009-09-01,263018.8340983607
2009-10-01,268406.9767441861
2009-11-01,275046.0
2009-12-01,274122.8461538461
2010-01-01,275345.39130434784
2010-02-01,279954.71698113205
2010-03-01,285023.63636363635
2010-04-01,288172.1228070175
2010-05-01,298230.612244898
2010-06-01,298420.75471698114
2010-07-01,296854.54545454547
2010-08-01,314389.04615384614
2010-09-01,306946.4285714286
2010-10-01,314500.0
2010-11-01,308616.8275862069
2010-12-01,317202.77777777775
2011-01-01,318319.4
2011-02-01,323026.9393939394
2011-03-01,320100.0
2011-04-01,328983.87096774194
2011-05-01,338147.0588235294
2011-06-01,338340.27777777775
2011-07-01,336705.8823529412
2011-08-01,342375.0
2011-09-01,348986.4864864865
2011-10-01,355519.23076923075
2011-11-01,355477.3333333333
2011-12-01,352054.0540540541
2012-01-01,362208.3333333333
2012-02-01,351365.71428571426
2012-03-01,355494.8108108108
2012-04-01,367420.275862069
2012-05-01,365020.5128205128
2012-06-01,366818.2702702703
2012-07-01,371287.5
2012-08-01,371193.3333333333
2012-09-01,379728.22857142857
2012-10-01,376000.0
2012-11-01,377588.14285714284
2012-12-01,374814.81481481483
2013-01-01,375093.75
2013-02-01,379605.2631578947
