ds,y
2000-01-01,517173.07692307694
2000-02-01,508907.6923076923
2000-03-01,514068.4210526316
2000-04-01,518833.3333333333
2000-05-01,517482.7586206897
2000-06-01,517564.1538461539
2000-07-01,515166.6666666667
2000-08-01,519234.4
2000-09-01,503392.85714285716
2000-10-01,500578.94736842107
2000-11-01,517956.54545454547
2000-12-01,501870.5882352941
2001-01-01,496047.36842105264
2001-02-01,495136.36363636365
2001-03-01,485092.68292682926
2001-04-01,489474.28571428574
2001-05-01,486024.6666666667
2001-06-01,492976.92307692306
2001-07-01,476760.0
2001-08-01,478484.8484848485
2001-09-01,470578.7878787879
2001-10-01,476428.5714285714
2001-11-01,473877.2
2001-12-01,469957.5789473684
2002-01-01,454836.1111111111
2002-02-01,457467.52
2002-03-01,456937.5135135135
2002-04-01,451393.1818181818
2002-05-01,457051.1111111111
2002-06-01,445455.0
2002-07-01,447410.0
2002-08-01,453263.15789473685
2002-09-01,447260.0
2002-10-01,451983.5789473684
2002-11-01,437700.0
2002-12-01,448666.6666666667
2003-01-01,436166.6666666667
2003-02-01,440583.3333333333
2003-03-01,434694.4
2003-04-01,439319.4
2003-05-01,427454.54545454547
2003-06-01,426363.63636363635
2003-07-01,431928.5714285714
2003-08-01,435625.0
2003-09-01,423636.2727272727
2003-10-01,419881.25
2003-11-01,426615.3846153846
2003-12-01,405699.29411764705
2004-01-01,411333.3333333333
2004-02-01,407370.5882352941
2004-03-01,416470.5882352941
2004-04-01,405285.71428571426
2004-05-01,408574.0
2004-06-01,417171.63636363635
2004-07-01,390571.4285714286
2004-08-01,412050.0
2004-09-01,400000.0
2004-10-01,368310.0
2004-11-01,387342.1052631579
2004-12-01,395866.6666666667
2005-01-01,386120.0
2005-02-01,371312.5
2005-03-01,401736.84210526315
2005-04-01,382488.8
2005-05-01,394032.85714285716
2005-06-01,372299.07692307694
2005-07-01,377178.5714285714
2005-08-01,365700.0
2005-09-01,365675.0
2005-10-01,377865.0
2005-11-01,376205.8823529412
2005-12-01,365153.8461538461
2006-01-01,370656.25
2006-02-01,374690.0
2006-03-01,371880.95238095237
2006-04-01,363909.0909090909
2006-05-01,367593.4117647059
2006-06-01,378559.0909090909
2006-07-01,365860.0
2006-08-01,369961.53846153844
2006-09-01,375838.46153846156
2006-10-01,378040.0
2006-11-01,381133.3333333333
2006-12-01,380083.3333333333
2007-01-01,375014.28571428574
2007-02-01,374884.2105263158
2007-03-01,379120.0
2007-04-01,388426.0869565217
2007-05-01,393133.3333333333
2007-06-01,400662.51851851854
2007-07-01,403024.24242424243
2007-08-01,420894.4
2007-09-01,424333.3333333333
2007-10-01,449214.28571428574
2007-11-01,461340.0
2007-12-01,452700.0
2008-01-01,448882.35294117645
2008-02-01,471278.1666666667
2008-03-01,481681.8181818182
2008-04-01,480608.6956521739
2008-05-01,457612.5
2008-06-01,495413.71428571426
2008-07-01,504649.0
2008-08-01,512452.38095238095
2008-09-01,492188.8
2008-10-01,485157.8947368421
2008-11-01,496659.2
2008-12-01,513145.86666666664
2009-01-01,497000.0
2009-02-01,489907.3333333333
2009-03-01,479812.5
2009-04-01,467666.6666666667
2009-05-01,477916.6666666667
2009-06-01,477428.5714285714
2009-07-01,490583.3333333333
2009-08-01,478428.5714285714
2009-09-01,496891.3043478261
2009-10-01,499189.28571428574
2009-11-01,490804.347826087
2009-12-01,522042.0
2010-01-01,515249.25
2010-02-01,524145.23076923075
2010-03-01,526578.6666666666
2010-04-01,514200.06666666665
2010-05-01,535240.25
2010-06-01,537846.6666666666
2010-07-01,542371.5862068966
2010-08-01,557025.0
2010-09-01,541600.0
2010-10-01,571869.5217391305
2010-11-01,571166.6666666666
2010-12-01,567333.3333333334
2011-01-01,587218.75
2011-02-01,582176.4705882353
2011-03-01,575750.0
2011-04-01,607669.8823529412
2011-05-01,593264.7058823529
2011-06-01,611464.2857142857
2011-07-01,626142.8571428572
2011-08-01,642000.0
2011-09-01,631666.6666666666
2011-10-01,645546.0909090909
2011-11-01,633250.0
2011-12-01,649984.0
2012-01-01,650618.1818181818
2012-02-01,632984.0
2012-03-01,660346.3529411765
2012-04-01,668590.0
2012-05-01,655877.6
2012-06-01,646181.8181818182
2012-07-01,660750.0
2012-08-01,661000.0
2012-09-01,674250.0
2012-10-01,682090.9090909091
2012-11-01,692647.0588235294
2012-12-01,691833.3333333334
2013-01-01,690500.0
2013-02-01,687000.0
2013-03-01,689312.5
2013-04-01,710636.3636363636
2013-05-01,697000.0
2013-06-01,707500.0
2013-07-01,719533.3333333334
2013-08-01,698611.0
2013-09-01,695955.2
2013-10-01,694250.0
2013-11-01,678126.8571428572
2013-12-01,695736.0
2014-01-01,678000.0
2014-02-01,698841.1428571428
2014-03-01,670666.6666666666
2014-04-01,690200.0
2014-05-01,686543.1111111111
2014-06-01,675000.0
2014-07-01,689446.1538461539
2014-08-01,681750.0
2014-09-01,670357.1428571428
2014-10-01,690600.0
2014-11-01,656500.0
2014-12-01,685500.0
2015-01-01,647500.0
2015-02-01,688125.0
2015-03-01,673535.2727272727
2015-04-01,711765.3333333334
2015-05-01,682142.8571428572
2015-06-01,688600.0
2015-07-01,675333.3333333334
2015-08-01,680981.3333333334
2015-09-01,646669.7142857143
2015-10-01,678769.2307692308
2015-11-01,669214.2857142857
2015-12-01,659972.125
2016-01-01,662727.2727272727
2016-02-01,660000.0
2016-03-01,665272.7272727273
2016-04-01,680700.0
2016-05-01,641111.1111111111
2016-06-01,686769.2307692308
2016-07-01,671222.2222222222
2016-08-01,705555.5555555555
2016-09-01,653500.0
2016-10-01,683500.0
2016-11-01,681454.5454545454
2016-12-01,661000.0
2017-01-01,656486.0
2017-02-01,665100.0
2017-03-01,685222.1538461539
2017-04-01,672339.6666666666
2017-05-01,652071.3571428572
2017-06-01,647875.0
2017-07-01,660187.5
2017-08-01,640916.6666666666
2017-09-01,669808.0
2017-10-01,681133.3333333334
2017-11-01,649560.3478260869
2017-12-01,676944.3636363636
2018-01-01,732111.1111111111
2018-02-01,666765.3333333334
2018-03-01,677083.3333333334
2018-04-01,659362.074074074
2018-05-01,688214.2857142857
2018-06-01,695981.25
2018-07-01,685858.9333333333
2018-08-01,683866.6666666666
2018-09-01,689688.8
2018-10-01,694625.0
2018-11-01,682500.0
2018-12-01,714600.0
2019-01-01,638333.3333333334
2019-02-01,706377.6
2019-03-01,658000.0
2019-04-01,687466.6666666666
2019-05-01,675714.2857142857
2019-06-01,691808.0
2019-07-01,688000.0
2019-08-01,650905.8666666667
2019-09-01,667428.5714285715
2019-10-01,718674.9411764706
2019-11-01,661262.5454545454
2019-12-01,658888.8888888889
2020-01-01,693966.4
2020-02-01,689000.0
2020-03-01,669153.8461538461
2020-04-01,628000.0
2020-05-01,620000.0
2020-06-01,696750.0
2020-07-01,685368.4210526316
2020-08-01,688357.1428571428
2020-09-01,689817.4285714285
2020-10-01,699739.1304347826
2020-11-01,683930.5
2020-12-01,698720.0
2021-01-01,697136.5
2021-02-01,700280.380952381
2021-03-01,719292.3076923077
2021-04-01,729333.3333333334
2021-05-01,722692.3076923077
2021-06-01,729618.0
2021-07-01,731644.4137931034
2021-08-01,734055.52
2021-09-01,749811.3939393939
2021-10-01,737746.2666666667
2021-11-01,751200.0
2021-12-01,785984.4
2022-01-01,786461.5384615385
2022-02-01,811703.5714285715
2022-03-01,818573.052631579
2022-04-01,818259.2
2022-05-01,822907.3333333334
2022-06-01,817814.6666666666
2022-07-01,837315.7894736842
2022-08-01,829574.6206896552
2022-09-01,873112.3125
2022-10-01,865500.0
2022-11-01,859325.8666666667
2022-12-01,837090.9090909091
2023-01-01,863353.4545454546
2023-02-01,861320.8888888889
2023-03-01,850000.0
2023-04-01,801583.0
2023-05-01,793990.875
2023-06-01,808949.25
2023-07-01,817746.0625
2023-08-01,809114.375
2023-09-01,817106.75
