ds,y
2000-02-01,485000.0
2000-06-01,550500.0
2000-07-01,572000.0
2000-09-01,540000.0
2000-10-01,522500.0
2000-11-01,377500.0
2001-01-01,523000.0
2001-02-01,498000.0
2001-05-01,530000.0
2001-06-01,491500.0
2001-08-01,485000.0
2002-07-01,348000.0
2002-08-01,476400.0
2002-12-01,345000.0
2003-03-01,460000.0
2003-10-01,345000.0
2004-01-01,440000.0
2004-04-01,402000.0
2004-07-01,445500.0
2004-10-01,385000.0
2004-12-01,420000.0
2005-02-01,445000.0
2006-09-01,350000.0
2006-12-01,350000.0
2007-02-01,410000.0
2007-03-01,420000.0
2007-08-01,461500.0
2007-09-01,373000.0
2007-10-01,475000.0
2007-11-01,465000.0
2008-03-01,398000.0
2008-05-01,525000.0
2008-06-01,550000.0
2008-07-01,420000.0
2008-12-01,557000.0
2009-02-01,528000.0
2010-12-01,492000.0
2011-01-01,640000.0
2012-01-01,745000.0
2012-03-01,760000.0
2012-06-01,610000.0
2012-11-01,970000.0
2013-01-01,790000.0
2013-04-01,920000.0
2016-05-01,818000.0
2017-12-01,830000.0
2018-05-01,850000.0
2018-08-01,828000.0
2018-10-01,854500.0
2019-05-01,850000.0
2019-06-01,840000.0
2020-09-01,742500.0
2021-02-01,780000.0
2021-03-01,860000.0
2021-04-01,647500.0
2021-06-01,775000.0
2021-12-01,850000.0
2022-02-01,683888.0
2022-03-01,848000.0
2022-05-01,968000.0
2022-11-01,783000.0
2022-11-30,834170.1875
2022-12-31,787085.625
2023-01-31,748629.5625
2023-02-28,836626.5625
2023-03-31,767024.25
2023-04-30,870166.0
2023-05-31,806355.125
2023-06-30,699966.0
2023-07-31,867451.125
2023-08-31,729783.625
2023-09-30,874719.5625
2023-10-31,833609.6875
2023-11-30,840320.5
2023-12-31,788974.0625
2024-01-31,753544.0
2024-02-29,848201.3125
2024-03-31,761624.0
2024-04-30,886282.0
2024-05-31,795102.5625
2024-06-30,715380.6875
2024-07-31,861778.875
2024-08-31,741133.375
2024-09-30,873694.25
2024-10-31,843315.0
2024-11-30,837376.1875
2024-12-31,797383.25
2025-01-31,751662.0
2025-02-28,849603.75
2025-03-31,767818.25
2025-04-30,886540.0625
2025-05-31,803650.5
2025-06-30,714023.75
2025-07-31,869165.5625
2025-08-31,741418.5625
2025-09-30,879614.625
2025-10-31,845247.625
2025-11-30,843540.3125
2025-12-31,799277.0625
2026-01-31,756533.8125
2026-02-28,850948.9375
2026-03-31,774082.875
2026-04-30,886718.875
2026-05-31,812275.9375
2026-06-30,712631.625
2026-07-31,876569.125
2026-08-31,741691.125
2026-09-30,885538.125
2026-10-31,847156.5
2026-11-30,849734.125
2026-12-31,801141.875
2027-01-31,761454.4375
2027-02-28,852238.0
2027-03-31,780416.4375
2027-04-30,886820.4375
2027-05-31,820976.0
2027-06-30,711208.0
2027-07-31,883986.4375
2027-08-31,741953.5625
2027-09-30,891462.6875
2027-10-31,849043.125
