ds,y
2000-01-01,165062.29508196723
2000-02-01,166468.5185185185
2000-03-01,166851.35714285713
2000-04-01,163643.07692307694
2000-05-01,166248.25
2000-06-01,169619.08771929826
2000-07-01,169491.33694915255
2000-08-01,163197.35
2000-09-01,162796.61016949153
2000-10-01,167863.7931034483
2000-11-01,159841.0625
2000-12-01,159365.33333333334
2001-01-01,158108.62068965516
2001-02-01,155287.27272727274
2001-03-01,157850.9090909091
2001-04-01,159730.61224489796
2001-05-01,159083.63636363635
2001-06-01,155156.25
2001-07-01,159552.77192982455
2001-08-01,154408.77192982455
2001-09-01,149989.2857142857
2001-10-01,158478.84615384616
2001-11-01,159152.5090909091
2001-12-01,154652.37931034484
2002-01-01,154200.0
2002-02-01,152146.51162790696
2002-03-01,157223.29411764705
2002-04-01,153109.76
2002-05-01,162577.9411764706
2002-06-01,155734.1463414634
2002-07-01,153462.93333333332
2002-08-01,162429.42592592593
2002-09-01,161696.15789473685
2002-10-01,166119.5652173913
2002-11-01,164245.83333333334
2002-12-01,166842.1052631579
2003-01-01,161565.95744680852
2003-02-01,163665.625
2003-03-01,167850.0
2003-04-01,173526.5306122449
2003-05-01,178572.91666666666
2003-06-01,177873.4693877551
2003-07-01,168175.0
2003-08-01,174275.0
2003-09-01,172269.23076923078
2003-10-01,182480.4347826087
2003-11-01,178652.86111111112
2003-12-01,183130.76923076922
2004-01-01,183058.72727272726
2004-02-01,171796.13725490196
2004-03-01,180810.66666666666
2004-04-01,188060.9756097561
2004-05-01,184301.922
2004-06-01,192017.14285714287
2004-07-01,182316.07142857142
2004-08-01,185206.59649122806
2004-09-01,187592.2
2004-10-01,184940.0
2004-11-01,190123.13636363635
2004-12-01,183718.8679245283
2005-01-01,185529.1923076923
2005-02-01,186686.52631578947
2005-03-01,190006.0
2005-04-01,180459.97846153847
2005-05-01,174866.35897435897
2005-06-01,178828.08163265305
2005-07-01,172785.7142857143
2005-08-01,166659.5744680851
2005-09-01,177589.55102040817
2005-10-01,170509.46341463414
2005-11-01,167818.34604651164
2005-12-01,174234.375
2006-01-01,170040.625
2006-02-01,177579.97777777776
2006-03-01,171684.96296296295
2006-04-01,168355.55555555556
2006-05-01,174179.24528301886
2006-06-01,170593.13333333333
2006-07-01,169922.75409836066
2006-08-01,175979.91304347827
2006-09-01,178692.0
2006-10-01,180179.1794871795
2006-11-01,173506.85714285713
2006-12-01,179589.7435897436
2007-01-01,177944.66666666666
2007-02-01,184793.10344827586
2007-03-01,183257.5
2007-04-01,182187.09677419355
2007-05-01,183663.75
2007-06-01,185424.24242424243
2007-07-01,201062.16216216216
2007-08-01,190183.33333333334
2007-09-01,194797.87234042553
2007-10-01,209192.98245614034
2007-11-01,210811.3488372093
2007-12-01,216026.31578947368
2008-01-01,215084.75
2008-02-01,217887.80487804877
2008-03-01,225950.0
2008-04-01,219762.85714285713
2008-05-01,241840.47619047618
2008-06-01,233464.11764705883
2008-07-01,234527.58974358975
2008-08-01,241605.4054054054
2008-09-01,255567.69811320756
2008-10-01,244640.0
2008-11-01,254940.0
2008-12-01,251043.375
2009-01-01,263634.55555555556
2009-02-01,254196.0
2009-03-01,244190.6976744186
2009-04-01,260740.71794871794
2009-05-01,257820.5128205128
2009-06-01,262723.29411764705
2009-07-01,253238.63636363635
2009-08-01,261268.9655172414
2009-09-01,261652.83018867925
2009-10-01,264452.78125
2009-11-01,270037.5
2009-12-01,273752.5
