ds,y
2000-01-01,551500.0
2000-02-01,533000.0
2000-03-01,530560.0
2000-04-01,553916.6666666666
2000-05-01,527000.0
2000-06-01,526722.0
2000-07-01,546000.0
2000-08-01,520500.0
2000-09-01,498333.3333333333
2000-10-01,566800.0
2000-11-01,564600.0
2001-01-01,550500.0
2001-02-01,601000.0
2001-03-01,595000.0
2001-04-01,569000.0
2001-05-01,526250.0
2001-07-01,514360.0
2001-08-01,445000.0
2001-09-01,550000.0
2001-10-01,533000.0
2001-11-01,479000.0
2002-01-01,523000.0
2002-02-01,451500.0
2002-03-01,493666.6666666667
2002-04-01,499666.6666666667
2002-05-01,500000.0
2002-07-01,544600.0
2002-08-01,495500.0
2002-09-01,506000.0
2002-10-01,540000.0
2002-11-01,558500.0
2003-01-01,536000.0
2003-03-01,538000.0
2003-04-01,400000.0
2003-08-01,429600.0
2003-11-01,408000.0
2003-12-01,412600.0
2004-01-01,398000.0
2004-02-01,441000.0
2004-03-01,465000.0
2004-05-01,444000.0
2004-06-01,420000.0
2004-07-01,479000.0
2004-08-01,413900.0
2004-10-01,381500.0
2004-11-01,438500.0
2004-12-01,390000.0
2005-02-01,485000.0
2005-03-01,427500.0
2005-04-01,440000.0
2005-05-01,472500.0
2005-06-01,433000.0
2005-07-01,362500.0
2005-08-01,346500.0
2005-09-01,453333.3333333333
2005-10-01,440000.0
2005-11-01,420000.0
2005-12-01,381033.3333333333
2006-01-01,399000.0
2006-02-01,420000.0
2006-03-01,435000.0
2006-04-01,413000.0
2006-05-01,355000.0
2006-06-01,414000.0
2006-07-01,386500.0
2006-08-01,401500.0
2006-09-01,488000.0
2006-10-01,381000.0
2006-11-01,510000.0
2006-12-01,428000.0
2007-01-01,405750.0
2007-02-01,507500.0
2007-05-01,450000.0
2007-06-01,436500.0
2007-07-01,443500.0
2007-08-01,451500.0
2007-09-01,622500.0
2007-10-01,455000.0
2007-11-01,510000.0
2008-01-01,555333.3333333334
2008-02-01,604250.0
2008-03-01,567500.0
2008-04-01,515000.0
2008-05-01,596500.0
2008-06-01,639400.0
2008-07-01,590000.0
2008-08-01,430000.0
2008-09-01,617500.0
2008-10-01,621400.0
2008-11-01,630000.0
2008-12-01,623333.3333333334
2009-01-01,510296.2933333333
2009-04-01,650000.0
2009-06-01,550000.0
2009-07-01,666500.0
2009-08-01,543247.0
2009-09-01,553400.0
2009-10-01,575000.0
2009-11-01,623333.3333333334
2009-12-01,462000.0
2010-01-01,567766.6666666666
2010-02-01,540000.0
2010-03-01,602000.0
2010-04-01,605000.0
2010-05-01,680000.0
2010-06-01,550000.0
2010-07-01,664000.0
2010-08-01,569000.0
2010-09-01,600500.0
2010-10-01,720000.0
2010-11-01,632000.0
2010-12-01,750888.0
2011-01-01,748000.0
2011-02-01,650000.0
2011-04-01,669000.0
2011-05-01,718000.0
2011-06-01,780000.0
2011-08-01,690000.0
2011-09-01,610500.0
2011-10-01,738000.0
2011-11-01,694000.0
2012-01-01,745000.0
2012-02-01,754700.0
2012-03-01,778833.3333333334
2012-04-01,772666.6666666666
2012-05-01,715000.0
2012-06-01,802600.0
2012-07-01,782000.0
2012-08-01,800000.0
2012-09-01,797500.0
2012-10-01,772000.0
2012-12-01,909000.0
2013-01-01,795000.0
2013-02-01,800000.0
2013-04-01,964000.0
2013-05-01,940000.0
2013-07-01,785000.0
2013-08-01,741000.0
2013-10-01,905000.0
2013-12-01,803000.0
2014-03-01,851000.0
2014-04-01,700000.0
2014-06-01,820000.0
2014-07-01,700000.0
2014-09-01,769333.3333333334
2014-10-01,870000.0
2014-11-01,788000.0
2014-12-01,858500.0
2015-03-01,848000.0
2015-04-01,790000.0
2015-05-01,790000.0
2015-08-01,721000.0
2015-10-01,826500.0
2015-11-01,785000.0
2016-03-01,910000.0
2016-05-01,810000.0
2016-06-01,980000.0
2016-07-01,790000.0
2016-08-01,770000.0
2016-09-01,757500.0
2016-10-01,804333.3333333334
2016-12-01,900000.0
2017-01-01,905000.0
2017-02-01,837500.0
2017-03-01,768000.0
2017-04-01,861444.0
2017-05-01,850000.0
2017-06-01,772500.0
2017-07-01,935000.0
2017-08-01,890000.0
2017-10-01,812666.6666666666
2017-12-01,958888.0
2018-01-01,954000.0
2018-02-01,743333.3333333334
2018-04-01,750000.0
2018-05-01,758000.0
2018-06-01,888000.0
2018-07-01,750000.0
2018-08-01,826000.0
2018-09-01,874000.0
2018-10-01,650000.0
2018-11-01,740000.0
2019-01-01,688000.0
2019-03-01,700000.0
2019-05-01,686000.0
2019-06-01,670500.0
2019-07-01,600000.0
2019-08-01,774333.3333333334
2019-09-01,728000.0
2019-10-01,699500.0
2019-11-01,740000.0
2019-12-01,802000.0
2020-01-01,827500.0
2020-07-01,726888.0
2020-08-01,787750.0
2020-09-01,846000.0
2020-10-01,748500.0
2020-12-01,792000.0
2021-01-01,795000.0
2021-03-01,837000.0
2021-04-01,910000.0
2021-06-01,867000.0
2021-07-01,819000.0
2021-08-01,933000.0
2021-09-01,764250.0
2021-10-01,898000.0
2021-11-01,936500.0
2021-12-01,856062.5
2022-01-01,961666.6666666666
2022-02-01,910977.6
2022-03-01,962222.0
2022-04-01,889000.0
2022-05-01,1000000.0
2022-07-01,955000.0
2022-09-01,949962.6666666666
2022-10-01,1050000.0
2022-11-01,1069000.0
2022-12-01,850000.0
2023-01-01,1024000.0
2023-02-01,1041000.0
2023-03-01,1010000.0
2023-04-01,924839.0
2023-05-01,925352.125
2023-06-01,934843.3125
2023-07-01,870778.0
2023-08-01,891341.125
2023-09-01,888855.875
2023-10-01,924955.4375
2023-11-01,932907.0625
2023-12-01,948053.8125
2024-01-01,956582.0625
2024-02-01,965122.0625
2024-03-01,967857.875
2024-04-01,940305.4375
2024-05-01,954805.6875
2024-06-01,949491.9375
2024-07-01,896779.25
2024-08-01,905694.9375
2024-09-01,916335.75
2024-10-01,941021.625
2024-11-01,961592.625
2024-12-01,964503.0
2025-01-01,986121.9375
2025-02-01,982188.1875
2025-03-01,988972.0
2025-04-01,964646.0625
2025-05-01,974763.0
2025-06-01,974409.875
2025-07-01,914886.875
2025-08-01,928352.75
2025-09-01,934722.625
2025-10-01,964641.3125
2025-11-01,981610.0625
2025-12-01,988957.375
2026-01-01,1006853.625
2026-02-01,1007092.125
2026-03-01,1009946.9375
2026-04-01,989158.75
2026-05-01,994545.0625
2026-06-01,999516.0625
2026-07-01,932858.125
2026-08-01,951163.5625
2026-09-01,952942.625
2026-10-01,988399.0625
2026-11-01,1001466.1875
2026-12-01,1013560.25
2027-01-01,1027421.6875
2027-02-01,1032146.9375
2027-03-01,1030784.625
2027-04-01,1013842.1875
2027-05-01,1014153.75
2027-06-01,1024808.1875
2027-07-01,950695.5625
2027-08-01,974125.375
2027-09-01,970997.6875
2027-10-01,1012293.125
2027-11-01,1021162.5
2027-12-01,1038310.0
2028-01-01,1047827.375
2028-02-01,1057351.875
2028-03-01,1060222.25
