ds,y
2000-01-01,329813.9534883721
2000-02-01,330685.71428571426
2000-03-01,326206.6666666667
2000-04-01,320858.3333333333
2000-05-01,320025.60975609755
2000-06-01,317115.1515151515
2000-07-01,319152.23214285716
2000-08-01,310904.1884057971
2000-09-01,306652.1230769231
2000-10-01,314631.0
2000-11-01,313584.46078431373
2000-12-01,302860.1176470588
2001-01-01,300858.9090909091
2001-02-01,300424.85714285716
2001-03-01,298157.57575757575
2001-04-01,295771.69369369367
2001-05-01,294289.77777777775
2001-06-01,289072.0588235294
2001-07-01,291829.679389313
2001-08-01,287760.9411764706
2001-09-01,289227.1948051948
2001-10-01,284741.40625
2001-11-01,284287.5968992248
2001-12-01,280292.4859813084
2002-01-01,276464.1785714286
2002-02-01,277917.85714285716
2002-03-01,278516.8439716312
2002-04-01,273072.0022580645
2002-05-01,278277.871559633
2002-06-01,279488.5057471264
2002-07-01,280975.25675675675
2002-08-01,279977.871559633
2002-09-01,283438.94736842107
2002-10-01,277032.25
2002-11-01,279473.2658227848
2002-12-01,277767.36842105264
2003-01-01,280699.94736842107
2003-02-01,278268.2105263158
2003-03-01,281191.5675675676
2003-04-01,286552.6129032258
2003-05-01,288614.8
2003-06-01,287375.0
2003-07-01,285987.85
2003-08-01,285178.7878787879
2003-09-01,288332.8947368421
2003-10-01,288092.4583333333
2003-11-01,285177.21
2003-12-01,285972.45454545453
2004-01-01,283426.25
2004-02-01,282535.40594059404
2004-03-01,286035.88
2004-04-01,282281.4210526316
2004-05-01,288692.8965517241
2004-06-01,286915.59420289856
2004-07-01,283080.6233766234
2004-08-01,277325.8620689655
2004-09-01,283026.37096774194
2004-10-01,283749.9746835443
2004-11-01,285487.7368421053
2004-12-01,289401.69491525425
2005-01-01,285720.4819277108
2005-02-01,288765.2173913043
2005-03-01,290312.16438356164
2005-04-01,278290.625
2005-05-01,278686.6666666667
2005-06-01,268323.63636363635
2005-07-01,272088.44444444444
2005-08-01,271843.8596491228
2005-09-01,274161.8620689655
2005-10-01,269174.15730337077
2005-11-01,270773.07042253524
2005-12-01,271037.037037037
2006-01-01,273908.7272727273
2006-02-01,269237.5
2006-03-01,271991.22807017545
2006-04-01,269386.6666666667
2006-05-01,276245.76271186443
2006-06-01,271495.652173913
2006-07-01,268073.1707317073
2006-08-01,269865.3103448276
2006-09-01,275692.3076923077
2006-10-01,280671.24528301886
2006-11-01,273673.07692307694
2006-12-01,271294.23076923075
2007-01-01,272868.8524590164
2007-02-01,274595.652173913
2007-03-01,274697.87234042556
2007-04-01,277928.9166666667
2007-05-01,278291.0714285714
2007-06-01,276135.0967741936
2007-07-01,277683.5443037975
2007-08-01,279305.55555555556
2007-09-01,282536.5853658537
2007-10-01,288277.3333333333
2007-11-01,294895.5223880597
2007-12-01,293441.63333333336
2008-01-01,302498.46153846156
2008-02-01,306837.5
2008-03-01,311127.4193548387
2008-04-01,311975.5135135135
