ds,y
2000-01-01,153790.56603773584
2000-02-01,153521.0
2000-03-01,155104.7619047619
2000-04-01,154688.37209302327
2000-05-01,152015.76842105263
2000-06-01,149283.0357142857
2000-07-01,148531.70909090908
2000-08-01,146396.9411764706
2000-09-01,144900.0
2000-10-01,143276.92307692306
2000-11-01,141570.58823529413
2000-12-01,142290.66666666666
2001-01-01,137946.46666666667
2001-02-01,139812.90682539684
2001-03-01,140385.94444444444
2001-04-01,136842.70769230768
2001-05-01,136352.63157894736
2001-06-01,135798.115942029
2001-07-01,136659.24637681158
2001-08-01,137655.0
2001-09-01,135485.1851851852
2001-10-01,131912.5
2001-11-01,133114.41666666666
2001-12-01,133801.53846153847
2002-01-01,129653.33333333333
2002-02-01,132087.93103448275
2002-03-01,132692.53731343284
2002-04-01,131030.0
2002-05-01,130828.35714285714
2002-06-01,134379.3650793651
2002-07-01,131346.92134831462
2002-08-01,130470.55813953489
2002-09-01,135158.9180327869
2002-10-01,132964.25316455695
2002-11-01,131510.2564102564
2002-12-01,133446.68354430379
2003-01-01,132556.25
2003-02-01,135641.50943396226
2003-03-01,137378.91666666666
2003-04-01,142600.0
2003-05-01,139485.7142857143
2003-06-01,145828.57142857142
2003-07-01,146697.18309859154
2003-08-01,148251.11111111112
2003-09-01,151596.15384615384
2003-10-01,154101.11392405065
2003-11-01,157598.7951807229
2003-12-01,154214.3188405797
2004-01-01,159120.6081081081
2004-02-01,159619.78021978022
2004-03-01,164633.51351351352
2004-04-01,165840.47619047618
2004-05-01,160771.15384615384
2004-06-01,164211.47540983607
2004-07-01,163908.776119403
2004-08-01,167369.35483870967
2004-09-01,161262.390625
2004-10-01,164412.5
2004-11-01,166348.80597014926
2004-12-01,174086.84210526315
2005-01-01,173877.09523809524
2005-02-01,174938.63636363635
2005-03-01,167896.1348314607
2005-04-01,163732.06451612903
2005-05-01,163109.0909090909
2005-06-01,158007.27272727274
2005-07-01,154250.0
2005-08-01,153153.0303030303
2005-09-01,154450.5507246377
2005-10-01,151545.61403508772
2005-11-01,153002.27272727274
2005-12-01,152288.0
2006-01-01,151934.1463414634
2006-02-01,152311.11111111112
2006-03-01,152791.66666666666
2006-04-01,150847.14285714287
2006-05-01,153948.07692307694
2006-06-01,152911.47540983607
2006-07-01,153803.884057971
2006-08-01,149176.1194029851
2006-09-01,154875.0
2006-10-01,154784.84848484848
2006-11-01,153254.83870967742
2006-12-01,153338.37209302327
2007-01-01,154370.83333333334
2007-02-01,152720.18181818182
2007-03-01,154952.0
2007-04-01,156043.47826086957
2007-05-01,155378.57142857142
2007-06-01,158814.89361702127
2007-07-01,157527.27272727274
2007-08-01,163368.0
2007-09-01,164916.66666666666
2007-10-01,167705.88235294117
2007-11-01,174853.61538461538
2007-12-01,175629.62962962964
2008-01-01,179233.33333333334
2008-02-01,185638.15384615384
2008-03-01,187206.79166666666
2008-04-01,187405.27450980392
2008-05-01,198436.59259259258
2008-06-01,193783.7142857143
2008-07-01,198144.23076923078
2008-08-01,205014.2857142857
2008-09-01,199846.0
2008-10-01,210386.36363636365
2008-11-01,215869.0909090909
2008-12-01,218416.66666666666
2009-01-01,218141.49019607843
2009-02-01,219919.65714285715
2009-03-01,214826.92307692306
2009-04-01,221894.41379310345
2009-05-01,219652.1739130435
2009-06-01,224241.07936507938
2009-07-01,223721.76
2009-08-01,220875.4814814815
2009-09-01,227052.63157894736
2009-10-01,233498.16393442624
2009-11-01,242081.04918032786
2009-12-01,238750.0
2010-01-01,239558.73015873015
2010-02-01,248636.93023255814
2010-03-01,243595.0819672131
2010-04-01,246196.84507042254
2010-05-01,252983.92857142858
2010-06-01,263208.0408163265
2010-07-01,266360.05263157893
2010-08-01,274392.7536231884
2010-09-01,277473.0317460318
2010-10-01,278024.76712328766
2010-11-01,285143.47826086957
2010-12-01,280881.8181818182
2011-01-01,279436.61971830984
2011-02-01,284840.70588235295
2011-03-01,289497.8039215686
2011-04-01,291782.0512820513
2011-05-01,296305.4117647059
2011-06-01,297131.6595744681
2011-07-01,304097.3953488372
2011-08-01,307357.14285714284
2011-09-01,311681.9555555555
2011-10-01,313478.26086956525
2011-11-01,312019.4
2011-12-01,308952.93333333335
2012-01-01,323789.5483870968
2012-02-01,318982.5333333333
2012-03-01,320452.38095238095
2012-04-01,324988.0
2012-05-01,325272.3404255319
2012-06-01,323892.0
2012-07-01,325477.306122449
2012-08-01,324652.42553191487
2012-09-01,328734.7826086957
2012-10-01,332773.8095238095
2012-11-01,338068.2
2012-12-01,340717.8181818182
2013-01-01,340048.8301886792
2013-02-01,340392.0
2013-03-01,339396.26666666666
2013-04-01,345975.3939393939
2013-05-01,344166.6666666667
2013-06-01,336805.4054054054
2013-07-01,341594.4
2013-08-01,339525.86666666664
2013-09-01,336055.55555555556
2013-10-01,326653.9428571428
2013-11-01,322471.4285714286
2013-12-01,320454.82352941175
2014-01-01,317447.2
2014-02-01,317877.2727272727
2014-03-01,318581.3953488372
2014-04-01,320459.9069767442
2014-05-01,308137.9767441861
2014-06-01,313024.0
2014-07-01,309626.3157894737
2014-08-01,303862.93333333335
2014-09-01,302178.4680851064
2014-10-01,297842.2
2014-11-01,296043.47826086957
2014-12-01,294609.375
2015-01-01,289806.4516129032
2015-02-01,292540.0
2015-03-01,297464.8888888889
2015-04-01,291677.4193548387
2015-05-01,288702.30303030304
2015-06-01,296567.7073170732
2015-07-01,285702.8387096774
2015-08-01,298763.85714285716
2015-09-01,291706.28571428574
2015-10-01,289031.25
2015-11-01,296995.1304347826
2015-12-01,298760.0
2016-01-01,287415.52
2016-02-01,293075.52
2016-03-01,287333.3333333333
2016-04-01,298380.26923076925
2016-05-01,287142.85714285716
2016-06-01,291673.17647058825
2016-07-01,293084.1212121212
2016-08-01,288720.7368421053
2016-09-01,293210.28571428574
2016-10-01,291349.29411764705
2016-11-01,291741.93548387097
2016-12-01,287266.6666666667
2017-01-01,290768.0
2017-02-01,281687.5
2017-03-01,287684.3076923077
2017-04-01,282248.3243243243
2017-05-01,282853.82608695654
2017-06-01,286129.0588235294
2017-07-01,283382.6666666667
2017-08-01,280455.52
2017-09-01,278917.4285714286
2017-10-01,270750.0
2017-11-01,271586.0
2017-12-01,275210.28571428574
2018-01-01,273157.3333333333
2018-02-01,279495.6923076923
2018-03-01,265079.3103448276
2018-04-01,271657.8947368421
2018-05-01,266160.8275862069
2018-06-01,275663.2727272727
2018-07-01,264660.92307692306
2018-08-01,261291.92156862744
2018-09-01,263287.8787878788
2018-10-01,270630.84444444446
2018-11-01,264219.2195121951
2018-12-01,268784.1153846154
2019-01-01,282260.77777777775
2019-02-01,262208.3333333333
2019-03-01,264746.8888888889
2019-04-01,270320.23529411765
2019-05-01,262179.4871794872
2019-06-01,275082.5142857143
2019-07-01,270762.93333333335
2019-08-01,285746.70588235295
2019-09-01,269590.9090909091
2019-10-01,284571.6551724138
2019-11-01,261315.24324324325
2019-12-01,272484.07843137253
2020-01-01,283227.73913043475
2020-02-01,274641.29032258067
2020-03-01,278880.1568627451
2020-04-01,267325.86666666664
2020-05-01,265111.1111111111
2020-06-01,277339.56363636366
2020-07-01,280263.4146341463
2020-08-01,285528.94736842107
2020-09-01,290544.63636363635
2020-10-01,297848.48484848486
