ds,y
2000-01-01,466380.0
2000-02-01,443500.0
2000-03-01,444000.0
2000-04-01,440500.0
2000-05-01,441200.0
2000-06-01,436733.3333333333
2000-07-01,411100.0
2000-08-01,415812.5
2000-09-01,418080.7272727273
2000-10-01,427126.1818181818
2000-11-01,414807.6923076923
2000-12-01,413000.0
2001-01-01,411666.6666666667
2001-02-01,412846.1538461539
2001-03-01,400909.0909090909
2001-04-01,410227.2727272727
2001-05-01,409300.0
2001-06-01,402912.5
2001-07-01,393785.71428571426
2001-08-01,396625.0
2001-09-01,394888.8888888889
2001-10-01,393250.0
2001-11-01,376480.0
2001-12-01,370444.44444444444
2002-01-01,374626.1818181818
2002-02-01,363250.0
2002-03-01,368900.0
2002-04-01,379328.5714285714
2002-05-01,358416.6666666667
2002-06-01,373928.5714285714
2002-07-01,376000.0
2002-08-01,378760.0
2002-09-01,352111.1111111111
2002-10-01,365543.1111111111
2002-11-01,373257.14285714284
2002-12-01,381600.0
2003-01-01,363375.0
2003-02-01,365250.0
2003-03-01,376750.0
2003-04-01,347500.0
2003-05-01,373500.0
2003-06-01,372500.0
2003-07-01,365000.0
2003-09-01,361035.71428571426
2003-10-01,374333.1666666667
2003-11-01,341377.6
2003-12-01,375000.0
2004-01-01,341357.14285714284
2004-02-01,359071.4285714286
2004-03-01,341400.0
2004-04-01,342231.3333333333
2004-05-01,352896.0
2004-06-01,347500.0
2004-07-01,337166.6666666667
2004-08-01,350500.0
2004-09-01,358500.0
2004-10-01,349333.3333333333
2004-11-01,344166.6666666667
2004-12-01,349500.0
2005-01-01,322000.0
2005-02-01,326000.0
2005-03-01,352333.3333333333
2005-04-01,340750.0
2005-05-01,359333.3333333333
2005-06-01,320375.0
2005-07-01,337875.0
2005-08-01,340000.0
2005-09-01,336500.0
2005-10-01,356400.0
2005-11-01,310750.0
2005-12-01,335444.36363636365
2006-01-01,308552.28571428574
2006-02-01,333666.6666666667
2006-03-01,333600.0
2006-04-01,325833.3333333333
2006-05-01,334714.28571428574
2006-06-01,344353.45454545453
2006-07-01,323875.0
2006-08-01,331800.0
2006-09-01,325125.0
2006-10-01,317500.0
2006-11-01,330333.3333333333
2006-12-01,327333.3333333333
2007-01-01,309875.0
2007-02-01,351248.0
2007-03-01,342416.6666666667
2007-04-01,310750.0
2007-05-01,320200.0
2007-06-01,342426.1818181818
2007-07-01,370125.0
2007-08-01,341833.3333333333
2007-09-01,349142.85714285716
2007-10-01,334457.14285714284
2007-11-01,373428.5714285714
2007-12-01,341000.0
2008-01-01,345488.875
2008-02-01,349833.3333333333
2008-03-01,408722.0
2008-04-01,365481.3333333333
2008-05-01,378500.0
2008-06-01,376666.5
2008-07-01,391363.63636363635
2008-08-01,392400.0
2008-09-01,435000.0
2008-10-01,401833.3333333333
2008-11-01,407285.71428571426
2008-12-01,418898.0
2009-01-01,383800.0
2009-02-01,401875.0
2009-03-01,417250.0
2009-04-01,386400.0
2009-05-01,480166.6666666667
2009-06-01,420236.0
2009-07-01,422125.0
2009-08-01,466500.0
2009-09-01,438750.0
2009-10-01,412400.0
2009-11-01,421488.8
2009-12-01,482250.0
2010-01-01,427500.0
2010-02-01,449226.1818181818
2010-03-01,460722.22222222225
2010-04-01,495555.55555555556
2010-05-01,453125.0
2010-06-01,474486.0
2010-07-01,461849.14285714284
2010-08-01,485735.71428571426
2010-09-01,485625.0
2010-10-01,491618.1818181818
2010-11-01,518000.0
2010-12-01,574333.3333333334
2011-01-01,521434.1818181818
2011-02-01,550227.6
2011-03-01,496000.0
2011-04-01,490000.0
2011-05-01,485000.0
2011-06-01,489000.0
2011-07-01,528944.4444444445
2011-08-01,568000.0
2011-09-01,550977.6
2011-10-01,544142.8571428572
2011-11-01,579833.3333333334
2011-12-01,538000.0
2012-01-01,585600.0
2012-02-01,667500.0
2012-03-01,577900.0
2012-04-01,599500.0
2012-05-01,625545.4545454546
2012-06-01,582571.4285714285
2012-07-01,616714.2857142857
2012-08-01,582333.3333333334
2012-09-01,593000.0
2012-10-01,617944.0
2012-11-01,602977.6
2012-12-01,612666.6666666666
2013-01-01,607600.0
2013-02-01,604000.0
2013-03-01,625750.0
2013-04-01,626909.0909090909
2013-05-01,597500.0
2013-06-01,595960.0
2013-07-01,635000.0
2013-08-01,605333.3333333334
2013-09-01,649573.5
2013-10-01,561000.0
2013-11-01,599750.0
2013-12-01,685000.0
2014-01-01,667333.3333333334
2014-02-01,628000.0
2014-03-01,536500.0
2014-04-01,558366.6666666666
2014-05-01,623814.6666666666
2014-06-01,552000.0
2014-07-01,561722.0
2014-08-01,561319.8571428572
2014-09-01,599000.0
2014-10-01,554500.0
2014-11-01,527962.6666666666
2014-12-01,603750.0
2015-01-01,537962.6666666666
2015-02-01,584577.6
2015-03-01,610000.0
2015-04-01,593912.5714285715
2015-05-01,626400.0
2015-06-01,614825.1428571428
2015-07-01,568571.4285714285
2015-08-01,622916.6666666666
2015-09-01,605000.0
2015-10-01,669972.0
2015-11-01,585666.6666666666
2015-12-01,583500.0
2016-01-01,589577.6
2016-02-01,554500.0
2016-03-01,573272.7272727273
2016-04-01,604000.0
2016-05-01,569333.3333333334
2016-06-01,614000.0
2016-07-01,625972.0
2016-08-01,595750.0
2016-09-01,547600.0
2016-10-01,553285.7142857143
2016-11-01,633326.8571428572
2016-12-01,676500.0
2017-01-01,631333.3333333334
2017-02-01,571636.3636363636
2017-03-01,609666.6666666666
2017-04-01,588000.0
2017-05-01,569750.0
2017-06-01,588571.4285714285
2017-07-01,633250.0
2017-08-01,587984.0
2017-09-01,587962.6666666666
2017-10-01,499000.0
2017-11-01,602148.0
2017-12-01,563600.0
2018-01-01,550000.0
2018-02-01,588600.0
2018-03-01,614000.0
2018-04-01,539876.8
2018-05-01,567955.2
2018-06-01,753000.0
2018-07-01,573777.6
2018-08-01,590000.0
2018-09-01,564861.0
2018-10-01,522000.0
2018-11-01,602841.1428571428
2018-12-01,634000.0
2019-01-01,660666.6666666666
2019-02-01,561857.1428571428
2019-03-01,558861.0
2019-04-01,541000.0
2019-05-01,523571.4285714286
2019-06-01,579133.3333333334
2019-07-01,580600.0
2019-08-01,541153.8461538461
2019-09-01,594706.8181818182
2019-10-01,561000.0
