ds,y
2000-01-01,453000.0
2000-02-01,435000.0
2000-05-01,425000.0
2000-06-01,459000.0
2000-07-01,470000.0
2000-09-01,489000.0
2001-01-01,420000.0
2001-02-01,450000.0
2001-03-01,457933.3333333333
2001-04-01,435000.0
2001-06-01,430000.0
2001-07-01,470000.0
2001-08-01,447750.0
2001-10-01,455000.0
2001-11-01,395000.0
2002-07-01,408000.0
2002-08-01,448500.0
2003-01-01,360000.0
2003-02-01,447000.0
2003-06-01,365000.0
2003-07-01,427000.0
2003-10-01,458000.0
2003-11-01,420000.0
2003-12-01,367000.0
2004-01-01,415000.0
2004-08-01,399500.0
2004-09-01,415000.0
2005-03-01,420000.0
2005-04-01,377500.0
2006-01-01,345000.0
2006-03-01,399000.0
2006-05-01,390000.0
2006-07-01,381500.0
2006-08-01,330000.0
2006-11-01,400000.0
2006-12-01,398000.0
2007-02-01,385000.0
2007-03-01,357500.0
2007-05-01,400000.0
2007-06-01,362500.0
2007-07-01,340000.0
2007-08-01,396500.0
2007-10-01,450000.0
2007-11-01,450000.0
2008-01-01,520000.0
2008-03-01,410000.0
2008-05-01,385000.0
2008-06-01,452000.0
2008-08-01,469000.0
2008-09-01,452000.0
2008-10-01,415000.0
2008-12-01,495000.0
2009-03-01,462000.0
2009-06-01,488500.0
2009-08-01,486000.0
2009-10-01,460000.0
2009-12-01,535000.0
2010-02-01,525000.0
2010-06-01,592000.0
2010-07-01,600000.0
2010-10-01,638962.6666666666
2010-12-01,605000.0
2011-02-01,708000.0
2011-04-01,642500.0
2011-05-01,686000.0
2011-06-01,670000.0
2011-08-01,645000.0
2011-09-01,666000.0
2012-04-01,720000.0
2012-05-01,694000.0
2013-01-01,710000.0
2013-03-01,726000.0
2013-06-01,767000.0
2013-08-01,753888.0
2013-10-01,703000.0
2014-03-01,730000.0
2014-05-01,690000.0
2014-09-01,686000.0
2016-03-01,688000.0
2016-09-01,650000.0
2016-12-01,735000.0
2017-09-01,700000.0
2017-11-01,695000.0
2018-04-01,728888.0
2018-06-01,765000.0
2018-07-01,770000.0
2018-08-01,778000.0
2018-09-01,802500.0
2018-10-01,764000.0
2018-11-01,750000.0
2019-02-01,840000.0
2019-04-01,740000.0
2019-05-01,718000.0
2019-06-01,798888.0
2019-07-01,744500.0
2019-08-01,764444.0
2020-07-01,775000.0
2020-08-01,725000.0
2020-10-01,765000.0
2020-11-01,730000.0
2021-01-01,860000.0
2021-03-01,860000.0
2021-10-01,760000.0
2021-11-01,838000.0
2021-12-01,865000.0
2022-01-01,785000.0
2022-02-01,843500.0
2022-05-01,862000.0
2022-09-01,880000.0
2022-10-01,1021250.0
2022-11-01,960000.0
2023-01-01,1080000.0
2023-01-31,918815.8125
2023-02-28,948178.0625
2023-03-31,880518.9375
2023-04-30,908137.3125
2023-05-31,925221.8125
2023-06-30,934782.875
2023-07-31,869879.4375
2023-08-31,950043.3125
2023-09-30,900053.0625
2023-10-31,942967.4375
2023-11-30,924988.9375
2023-12-31,1008141.5
2024-01-31,951510.5625
2024-02-29,973760.0625
2024-03-31,927274.3125
2024-04-30,930745.25
2024-05-31,977099.875
2024-06-30,955156.125
2024-07-31,919023.4375
2024-08-31,972630.9375
2024-09-30,949208.9375
2024-10-31,964825.9375
2024-11-30,976617.4375
2024-12-31,1033647.6875
2025-01-31,1001644.8125
2025-02-28,1016189.8125
2025-03-31,957741.0625
2025-04-30,970323.5625
2025-05-31,1009166.625
2025-06-30,997042.3125
2025-07-31,947032.1875
2025-08-31,1014571.125
2025-09-30,979135.9375
2025-10-31,1005945.0625
2025-11-30,1007290.3125
2025-12-31,1078239.5
2026-01-31,1034337.8125
2026-02-28,1059112.0
2026-03-31,987729.1875
2026-04-30,1010407.5
2026-05-31,1040642.8125
2026-06-30,1039557.75
2026-07-31,974434.75
2026-08-31,1057072.875
2026-09-30,1008516.75
2026-10-31,1047623.6875
2026-11-30,1037373.3125
2026-12-31,1123372.25
2027-01-31,1066533.125
2027-02-28,1102519.5
2027-03-31,1017243.5625
2027-04-30,1050992.625
2027-05-31,1071531.5
2027-06-30,1082696.0
2027-07-31,1001237.4375
2027-08-31,1100131.0
2027-09-30,1037357.6875
2027-10-31,1089857.75
2027-11-30,1066872.875
2027-12-31,1169040.25
